,Sivir,Ezreal,Kai'Sa,Xayah,Lucian,Caitlyn,Draven,Vayne,Jhin,Jinx
Caitlyn,0.4435483870967742,0.5357142857142857,0.5,0.5081967213114754,0.4634146341463415,0.0,0.5294117647058824,0.44,0.3695652173913043,0.5666666666666667
Draven,0.5227272727272727,0.5119047619047619,0.6233766233766234,0.5116279069767442,0.3448275862068966,0.47058823529411764,0.0,0.2857142857142857,0.5263157894736842,0.7142857142857143
Ezreal,0.5191740412979351,0.0,0.5345911949685535,0.5337078651685393,0.46496815286624205,0.4642857142857143,0.4880952380952381,0.4915254237288136,0.5084745762711864,0.5166666666666667
Jhin,0.5,0.4915254237288136,0.515625,0.41935483870967744,0.6,0.6304347826086957,0.47368421052631576,0.3157894736842105,0.0,0.6
Jinx,0.525,0.48333333333333334,0.5833333333333334,0.5348837209302325,0.6333333333333333,0.43333333333333335,0.2857142857142857,0.875,0.4,0.0
Kai'Sa,0.5098039215686274,0.46540880503144655,0.0,0.5494505494505495,0.45098039215686275,0.5,0.37662337662337664,0.4523809523809524,0.484375,0.4166666666666667
Lucian,0.4367816091954023,0.535031847133758,0.5490196078431373,0.4111111111111111,0.0,0.5365853658536586,0.6551724137931034,0.5625,0.4,0.36666666666666664
Tristana,0.41304347826086957,0.5,0.5925925925925926,0.42857142857142855,0.25,0.375,0.5454545454545454,0.3157894736842105,0.46153846153846156,0.5
Vayne,0.5673076923076923,0.5084745762711864,0.5476190476190477,0.40540540540540543,0.4375,0.56,0.7142857142857143,0.0,0.6842105263157895,0.125
Xayah,0.5756097560975609,0.46629213483146065,0.45054945054945056,0.0,0.5888888888888889,0.4918032786885246,0.4883720930232558,0.5945945945945946,0.5806451612903226,0.46511627906976744
Sivir,0.0,0.4808259587020649,0.49019607843137253,0.424390243902439,0.5632183908045977,0.5564516129032258,0.4772727272727273,0.4326923076923077,0.5,0.475
Ashe,0.6190476190476191,0.5357142857142857,0.5,0.5,0.3,0.7727272727272727,0.3333333333333333,1.0,0.6,0.42857142857142855
