jung,result
Kindred,0
Xin Zhao,0
Nunu & Willump,0
Rek'Sai,1
Rek'Sai,0
Kayn,1
Lee Sin,0
Kha'Zix,0
Lee Sin,0
Nidalee,0
Kayn,1
Vi,0
Nidalee,0
Rammus,0
Graves,0
Jarvan IV,0
Udyr,0
Gragas,0
Elise,0
Lee Sin,0
Lee Sin,0
Rek'Sai,0
Elise,0
Lee Sin,0
Karthus,0
Olaf,0
Elise,1
Gragas,0
Karthus,1
Taliyah,0
Lee Sin,0
Rek'Sai,0
Karthus,1
Elise,0
Nunu & Willump,1
Taliyah,0
Sejuani,0
Olaf,0
Taliyah,0
Aatrox,0
Rek'Sai,0
Aatrox,0
Taliyah,0
Karthus,0
Kayn,1
Kayn,0
Lee Sin,0
Sejuani,0
Elise,0
Sejuani,1
Taliyah,0
Xin Zhao,1
Elise,0
Xin Zhao,0
Rek'Sai,0
Lee Sin,0
Elise,0
Lee Sin,0
Kai'Sa,0
Karthus,0
Karthus,0
Evelynn,0
Lee Sin,0
Kayn,0
Nocturne,0
Rek'Sai,0
Jarvan IV,0
Twitch,1
Zac,1
Rek'Sai,0
Skarner,0
Trundle,0
Sejuani,0
Taliyah,0
Mordekaiser,1
Kayn,0
Elise,0
Gragas,0
Hecarim,0
Evelynn,1
Hecarim,1
Kayn,0
Skarner,0
Xin Zhao,0
Elise,0
Kayn,1
Kayn,0
Lee Sin,0
Kindred,0
Kayn,0
Kindred,0
Kayn,0
Lee Sin,0
Xin Zhao,0
Skarner,1
Cho'Gath,0
Nunu & Willump,0
Nidalee,1
Kha'Zix,0
Twitch,0
Ivern,0
Kha'Zix,0
Shyvana,0
Vi,1
Ivern,0
Janna,0
Nunu & Willump,0
Lee Sin,0
Mordekaiser,0
Nunu & Willump,0
Sejuani,0
Evelynn,1
Shyvana,0
Elise,0
Kha'Zix,0
Kha'Zix,0
Xin Zhao,1
Lee Sin,0
Sylas,0
Camille,0
Sejuani,0
Rek'Sai,0
Nidalee,0
Sejuani,0
Kha'Zix,0
Hecarim,0
Sejuani,0
Kha'Zix,0
Jarvan IV,0
Sejuani,1
Kha'Zix,0
Camille,0
Kai'Sa,0
Rek'Sai,0
Sejuani,0
Aatrox,1
Twisted Fate,0
Hecarim,0
Lee Sin,0
Vi,0
Sejuani,0
Nunu & Willump,1
Hecarim,0
Xin Zhao,0
Sejuani,0
Kha'Zix,0
Kha'Zix,1
Kha'Zix,0
Evelynn,0
Kindred,0
Elise,0
Karthus,0
Rengar,0
Xin Zhao,0
Jax,0
Lee Sin,0
Trundle,0
Elise,0
Rek'Sai,0
Sejuani,0
Xin Zhao,0
Jarvan IV,1
Olaf,0
Kha'Zix,0
Hecarim,0
Lee Sin,0
Vi,1
Elise,0
Olaf,0
Rengar,1
Hecarim,0
Gragas,0
Warwick,0
Kha'Zix,1
Amumu,0
Xin Zhao,0
Xin Zhao,0
Sejuani,0
Hecarim,1
Elise,0
Camille,0
Kha'Zix,0
Sejuani,0
Trundle,0
Kindred,0
Lee Sin,0
Sejuani,0
Skarner,1
Taliyah,0
Jarvan IV,0
Kha'Zix,0
Kha'Zix,0
Vi,0
Lee Sin,1
Karthus,0
Olaf,0
Kha'Zix,0
Sylas,0
Elise,0
Lee Sin,0
Vi,0
Kha'Zix,0
Warwick,0
Sejuani,1
Zac,0
Warwick,1
Master Yi,0
Lee Sin,0
Sejuani,0
Sejuani,1
Rengar,0
Lee Sin,0
Karthus,0
Evelynn,0
Evelynn,0
Kindred,1
Hecarim,0
Kindred,1
Kayn,0
Lee Sin,0
Hecarim,1
Kayn,0
Vi,0
Sejuani,0
Zac,0
Rek'Sai,0
Hecarim,0
Riven,0
Hecarim,0
Evelynn,0
Nidalee,0
Kha'Zix,0
Jarvan IV,0
Hecarim,0
Evelynn,1
Jarvan IV,0
Kayn,0
Jarvan IV,0
Zac,0
Kha'Zix,0
Lee Sin,1
Evelynn,0
Vi,0
Kayn,0
Jarvan IV,1
