jung,result
Jarvan IV,0
Elise,0
Taliyah,1
Kayn,0
Zac,1
Nidalee,0
Taliyah,0
Lee Sin,0
Amumu,0
Kindred,0
Kha'Zix,0
Kha'Zix,0
Kha'Zix,0
Lee Sin,0
Sejuani,0
Nunu & Willump,0
Lee Sin,0
Lee Sin,0
Taliyah,0
Gragas,0
Cho'Gath,0
Gragas,0
Elise,0
Karthus,0
Rammus,1
Taliyah,1
Elise,1
Olaf,0
Gragas,0
Kindred,1
Taliyah,0
Olaf,0
Elise,0
Sejuani,1
Kha'Zix,0
Elise,0
Kha'Zix,0
Sejuani,0
Evelynn,0
Rek'Sai,0
Xin Zhao,0
Rengar,0
Rek'Sai,0
Vi,0
Gragas,0
Shyvana,0
Karthus,0
Evelynn,1
Kayn,1
Karthus,1
Xin Zhao,1
Rek'Sai,0
Hecarim,1
Jarvan IV,0
Kindred,0
Lee Sin,0
Shaco,0
Amumu,0
Hecarim,1
Pantheon,0
Elise,0
Vi,0
Jarvan IV,0
Elise,0
Amumu,1
Volibear,0
Kha'Zix,0
Karthus,1
Kayn,0
Kha'Zix,0
Xin Zhao,0
Karthus,0
Hecarim,0
Gragas,0
Elise,1
Trundle,1
Evelynn,0
Evelynn,0
Evelynn,1
Hecarim,0
Taliyah,0
Twitch,0
Taliyah,0
Kha'Zix,0
Evelynn,1
Shaco,0
Sejuani,0
Kha'Zix,0
Jax,0
Sejuani,0
Lee Sin,1
Evelynn,0
Aatrox,0
Rammus,0
Poppy,0
Rek'Sai,1
Mordekaiser,0
Aatrox,1
Kindred,0
Jax,0
Elise,0
Kha'Zix,0
Skarner,0
Sejuani,0
Jarvan IV,0
Sejuani,0
Hecarim,0
Hecarim,0
Hecarim,1
Jarvan IV,0
Master Yi,0
Sejuani,0
Kayn,0
Kha'Zix,0
Master Yi,0
Kha'Zix,0
Elise,0
Zac,0
Sejuani,1
Lee Sin,1
Volibear,1
Jarvan IV,0
Rengar,0
Rek'Sai,0
Elise,0
Lee Sin,0
Lee Sin,0
Rengar,0
Sejuani,0
Elise,0
Hecarim,0
Elise,0
Rek'Sai,0
Kindred,0
Nunu & Willump,1
Jarvan IV,1
Taliyah,0
Sylas,0
Jarvan IV,1
Lee Sin,0
Hecarim,1
Sejuani,0
Jarvan IV,0
Kindred,0
Jarvan IV,0
Jarvan IV,0
Elise,0
Nidalee,0
Sejuani,0
Hecarim,0
