jung,result
Fiddlesticks,1
Rek'Sai,0
Vi,0
Elise,0
Evelynn,0
Gragas,0
Sejuani,0
Zac,1
Lee Sin,0
Camille,0
Rengar,0
Graves,1
Gragas,0
Evelynn,0
Elise,0
Vi,0
Kayn,0
Lee Sin,0
Lee Sin,0
Kayn,0
Lee Sin,1
Volibear,1
Hecarim,1
Ryze,1
Warwick,1
Kha'Zix,0
Nunu & Willump,0
Nunu & Willump,0
Kindred,0
Olaf,0
Lee Sin,0
Kindred,0
Olaf,0
Zac,0
Nunu & Willump,0
Elise,0
Sejuani,0
Aatrox,0
Lee Sin,1
Olaf,0
Elise,0
Lee Sin,0
Karthus,0
Lee Sin,0
Karthus,0
Gragas,0
Lee Sin,0
Rek'Sai,0
Kindred,0
Lee Sin,0
Olaf,0
Xin Zhao,0
Nidalee,0
Xin Zhao,1
Lee Sin,0
Lee Sin,0
Kayn,1
Lee Sin,0
Nidalee,0
Sejuani,0
Olaf,0
Lee Sin,0
Elise,0
Jarvan IV,1
Taliyah,1
Gragas,1
Sejuani,0
Olaf,1
Kayn,0
Gragas,1
Sejuani,0
Lee Sin,1
Nunu & Willump,1
Olaf,0
Elise,0
Rek'Sai,0
Lee Sin,0
Sejuani,0
Kayn,0
Elise,0
Sejuani,0
Lee Sin,0
Fiddlesticks,0
Kha'Zix,0
Rek'Sai,0
Olaf,1
Sejuani,0
Lee Sin,0
Xin Zhao,0
Xin Zhao,0
Rek'Sai,1
Lee Sin,0
Elise,0
Lee Sin,0
Aatrox,0
Olaf,0
Kayn,1
Rek'Sai,1
Nidalee,1
Rek'Sai,0
Elise,0
Olaf,1
Rek'Sai,0
Olaf,0
Gragas,0
Olaf,0
Evelynn,0
Taliyah,0
Olaf,1
Gragas,0
Kha'Zix,0
Nunu & Willump,0
Xin Zhao,1
Taliyah,0
Olaf,0
Olaf,0
Sejuani,0
Sejuani,0
Sejuani,0
Lee Sin,0
Nidalee,0
Sejuani,1
Lee Sin,0
Rek'Sai,0
Rek'Sai,1
Elise,1
Xin Zhao,0
Nidalee,1
Kayn,0
Lee Sin,0
Elise,1
Olaf,0
Urgot,0
Sejuani,0
Rek'Sai,1
Rek'Sai,1
Taliyah,0
Taliyah,0
Taliyah,1
Sejuani,0
Olaf,0
Olaf,0
Sejuani,1
Rek'Sai,0
Kha'Zix,0
Rek'Sai,0
Karthus,0
Xin Zhao,0
Sylas,1
Xin Zhao,0
Gragas,0
Rek'Sai,0
Olaf,0
Gragas,0
Olaf,0
Olaf,0
Taliyah,0
Olaf,0
Kai'Sa,0
Olaf,0
Rek'Sai,1
Rengar,1
Rammus,0
Gragas,0
Lee Sin,0
Olaf,0
Gragas,0
Jarvan IV,0
Sejuani,0
Evelynn,1
Lee Sin,0
Rek'Sai,1
Olaf,0
Olaf,0
Sejuani,0
Elise,0
Lee Sin,0
Lee Sin,0
Elise,0
Lee Sin,1
Olaf,0
Kindred,0
Karthus,0
Kayn,0
Rek'Sai,1
Sejuani,0
Lee Sin,1
Xin Zhao,0
Kai'Sa,0
Aatrox,0
Kayn,0
Kayn,0
Lee Sin,0
Kai'Sa,0
Lee Sin,0
Karthus,0
Olaf,0
Nunu & Willump,0
Jarvan IV,0
Sejuani,0
Urgot,0
Gragas,0
Lee Sin,1
Nidalee,0
Gragas,0
Taliyah,1
Kayn,1
Nidalee,0
Rengar,0
Sejuani,0
Sejuani,0
Aatrox,1
Sylas,0
Aatrox,1
Kayn,0
Lee Sin,1
Olaf,0
Sejuani,1
Taliyah,0
Xin Zhao,1
Rek'Sai,1
Sejuani,0
Aatrox,1
Gragas,0
Aatrox,0
Olaf,0
Nidalee,0
Nocturne,0
Aatrox,0
Kayn,0
Lee Sin,1
Lee Sin,0
Lee Sin,0
Aatrox,0
Karthus,1
Rammus,0
Rek'Sai,0
Gragas,0
Nidalee,0
Kindred,0
Taliyah,0
Lee Sin,0
Taliyah,0
Olaf,0
Hecarim,0
Elise,0
Gragas,1
Elise,0
Rek'Sai,0
Hecarim,0
Taliyah,0
Pantheon,0
Rengar,1
Kayn,0
Elise,1
Lee Sin,0
Lee Sin,0
Evelynn,0
Sejuani,0
Lee Sin,0
Olaf,1
Master Yi,1
Olaf,0
Nunu & Willump,0
Rek'Sai,0
Sejuani,0
Elise,0
Sejuani,0
Rek'Sai,0
Jarvan IV,1
Hecarim,1
