jung,result
Rengar,0
Kindred,0
Evelynn,0
Rek'Sai,0
Kayn,0
Kayn,0
Elise,0
Kindred,1
Gragas,0
Aatrox,0
Kha'Zix,1
Olaf,0
Lee Sin,0
Rengar,0
Rek'Sai,0
Hecarim,0
Kayn,0
Mordekaiser,1
Rengar,0
Kayn,1
Jarvan IV,0
Kha'Zix,0
Lee Sin,0
Nunu & Willump,0
Kayn,1
Shyvana,1
Kindred,1
Hecarim,0
Nunu & Willump,0
Nunu & Willump,0
Evelynn,0
Hecarim,1
Hecarim,0
Lee Sin,0
Karthus,0
Skarner,0
Sejuani,1
Kha'Zix,1
Shaco,0
Zac,0
Hecarim,1
Warwick,0
Warwick,0
Mordekaiser,0
Xin Zhao,0
Kayn,0
Rengar,0
Jarvan IV,0
Xin Zhao,1
Olaf,0
Jarvan IV,1
Olaf,0
Mordekaiser,0
Kayn,0
Lee Sin,0
Sylas,0
Sejuani,0
Jarvan IV,0
Taliyah,0
Karthus,0
Amumu,0
Olaf,0
Lee Sin,1
Hecarim,1
Lee Sin,0
Sejuani,0
Lee Sin,1
Udyr,0
Kindred,0
Rengar,0
Evelynn,0
Sejuani,0
Gragas,0
Gragas,0
Taliyah,0
Rumble,0
Vi,0
Hecarim,0
Nunu & Willump,0
Aatrox,0
Nidalee,0
Skarner,0
Evelynn,0
Jarvan IV,0
Hecarim,0
Xin Zhao,0
Elise,1
Gragas,0
Lee Sin,0
Elise,0
Elise,0
Jarvan IV,1
Lee Sin,0
Sejuani,0
Nidalee,1
Sejuani,0
Warwick,1
Xin Zhao,0
Gragas,1
Master Yi,0
Kindred,0
Karthus,0
Fiddlesticks,0
Mordekaiser,0
Ekko,0
Skarner,0
Hecarim,0
Rek'Sai,0
Lee Sin,0
Hecarim,0
Karthus,0
Jax,1
Jarvan IV,0
Hecarim,0
Lee Sin,0
Lee Sin,0
Taliyah,0
Elise,0
Xin Zhao,1
Lee Sin,1
Kha'Zix,1
Rammus,0
Kayn,0
Elise,0
Jarvan IV,0
Hecarim,0
Kha'Zix,0
Nidalee,0
Zac,1
Vi,0
Karthus,0
Rek'Sai,0
Jax,0
Rek'Sai,1
Gragas,0
Elise,0
Hecarim,1
Nunu & Willump,0
Lee Sin,0
Hecarim,1
Evelynn,0
Nunu & Willump,0
Rengar,0
Kayn,0
Aatrox,0
Kayn,0
Rengar,0
Taliyah,0
Sejuani,0
Kayn,1
Lee Sin,0
Karthus,0
Gragas,0
Kai'Sa,0
Gragas,0
Rek'Sai,1
Karthus,0
Nidalee,1
Jarvan IV,0
Sejuani,0
Elise,0
Volibear,0
Trundle,0
Rek'Sai,0
Kha'Zix,0
Sylas,1
Evelynn,0
Lee Sin,0
Sejuani,0
Elise,0
Shaco,0
Elise,0
Jarvan IV,0
Zac,0
Trundle,1
Trundle,0
Hecarim,0
Zac,0
Karthus,0
Fiddlesticks,0
Lee Sin,0
Kha'Zix,0
Shaco,0
Olaf,0
Lee Sin,1
Jarvan IV,0
Vi,0
Sejuani,0
Elise,0
Elise,1
Sejuani,0
Lee Sin,0
Zac,1
Karthus,0
Sejuani,0
Kayn,0
Vi,1
Kayn,0
Nunu & Willump,1
Lee Sin,1
Lee Sin,1
Olaf,1
Karthus,1
Lee Sin,1
Sejuani,1
Olaf,0
Karthus,1
Sejuani,1
Karthus,1
Kayn,1
Kindred,0
Kindred,1
Kha'Zix,1
Rengar,1
Gragas,1
Kayn,1
Rek'Sai,1
Shaco,1
Nocturne,1
Elise,1
Kha'Zix,1
Gragas,1
Karthus,0
Rek'Sai,1
Karthus,1
Vi,1
Elise,1
Kha'Zix,1
Jax,0
Lee Sin,0
Jarvan IV,1
Kha'Zix,1
Kayn,0
Jarvan IV,1
Rengar,1
Taliyah,1
Evelynn,1
Skarner,0
Zac,1
Master Yi,1
Graves,1
Evelynn,1
Sejuani,0
Hecarim,1
Rengar,1
Shaco,0
Jarvan IV,1
Fiddlesticks,1
Kayn,0
Sejuani,1
Shyvana,1
Elise,1
