jung,result
Graves,0
Graves,0
Lee Sin,0
Kindred,0
Kindred,0
Kha'Zix,0
Nidalee,0
Elise,1
Aatrox,0
Elise,0
Lee Sin,0
Karthus,0
Camille,1
Nidalee,0
Sejuani,0
Graves,0
Karthus,0
Gragas,0
Xin Zhao,0
Nidalee,1
Aatrox,1
Kindred,0
Kindred,1
Rek'Sai,0
Xin Zhao,1
Gragas,0
Graves,0
Xin Zhao,1
Olaf,0
Rek'Sai,1
Lee Sin,0
Rek'Sai,1
Taliyah,1
Lee Sin,0
Gragas,1
Olaf,0
Rek'Sai,0
Rek'Sai,0
Kayn,0
Jarvan IV,0
Karthus,0
Rek'Sai,1
Rammus,0
Kindred,0
Xin Zhao,0
Gragas,0
Aatrox,0
Nidalee,0
Karthus,0
Elise,0
Taliyah,0
Taliyah,0
Taliyah,0
Sejuani,0
Sylas,0
Sylas,1
Aatrox,0
Kindred,0
Olaf,1
Rek'Sai,0
Taliyah,0
Sejuani,0
Gragas,0
Olaf,0
Elise,0
Aatrox,0
Xin Zhao,0
Taliyah,0
Nidalee,0
Kha'Zix,1
Graves,0
Karthus,1
Rek'Sai,0
Sejuani,0
Rek'Sai,0
Amumu,1
Hecarim,0
Gragas,0
Rek'Sai,1
Skarner,0
Kindred,0
Jarvan IV,0
Rengar,0
Lee Sin,0
Lee Sin,0
Vi,1
Master Yi,0
Jarvan IV,0
Sejuani,0
Nunu & Willump,0
Vi,0
Hecarim,0
Skarner,0
Udyr,1
Gragas,0
Ivern,0
Rek'Sai,1
Jarvan IV,0
Zac,0
Master Yi,0
Hecarim,1
Rengar,0
Kayn,0
Evelynn,0
Taliyah,0
Sejuani,0
Lee Sin,0
Ivern,0
Sejuani,0
Kindred,0
Rammus,0
Ivern,0
Zac,0
Sejuani,1
Nunu & Willump,1
Lee Sin,0
Rengar,0
Elise,0
Hecarim,0
Aatrox,0
Jax,0
Sejuani,0
Sejuani,0
Xin Zhao,1
Kha'Zix,0
Kayn,0
Sejuani,0
Graves,0
Kindred,0
Ivern,0
Nidalee,0
Nidalee,0
Trundle,0
Zac,0
Jarvan IV,1
Rek'Sai,0
Lee Sin,0
Hecarim,0
Skarner,0
Rek'Sai,0
Vi,0
Hecarim,1
Sejuani,0
Kayn,0
Kha'Zix,0
Kha'Zix,0
Sejuani,0
Camille,0
Sejuani,0
Karthus,0
Rek'Sai,1
Sejuani,0
Skarner,1
Sion,0
Zac,0
Zac,0
Sejuani,1
Rengar,1
Kha'Zix,0
Rek'Sai,1
Kha'Zix,1
Nunu & Willump,0
Trundle,0
Lee Sin,0
Amumu,1
Elise,0
Kha'Zix,1
Fiddlesticks,0
Kayn,0
Evelynn,0
Hecarim,0
Kayn,0
Kha'Zix,0
Kha'Zix,0
Jax,1
Sejuani,0
Lee Sin,0
Tahm Kench,0
Kindred,0
Rek'Sai,1
Rengar,0
Volibear,0
Taliyah,0
Hecarim,0
Hecarim,0
Rammus,1
Nidalee,1
Vi,1
Nocturne,1
Sejuani,0
Lee Sin,1
Lee Sin,1
Taliyah,1
Kayn,1
Taliyah,1
Elise,1
Lee Sin,1
Jarvan IV,0
Xin Zhao,1
Olaf,1
Olaf,0
Elise,0
Rek'Sai,1
Kayn,1
Rek'Sai,1
Aatrox,1
Lee Sin,1
Elise,1
Rek'Sai,1
Gragas,1
Lee Sin,1
Lee Sin,1
Kayn,1
Taliyah,1
Kha'Zix,1
Sejuani,1
Elise,1
Xin Zhao,1
Olaf,1
Rammus,0
Gragas,1
Taliyah,1
Olaf,1
Rammus,1
Sejuani,0
Kindred,1
Kindred,1
Kha'Zix,1
Kayn,1
Olaf,1
Kayn,1
Lee Sin,1
Jarvan IV,1
Gragas,0
Taliyah,1
Rek'Sai,1
Pantheon,1
Jarvan IV,1
Xin Zhao,0
Lee Sin,1
Lee Sin,1
Elise,1
Sejuani,0
Rek'Sai,1
Lee Sin,1
Kayn,1
Aatrox,0
Aatrox,1
Olaf,1
Evelynn,0
Nidalee,1
Karthus,0
Gragas,1
Jarvan IV,1
Hecarim,1
Gragas,1
Kayn,1
Taliyah,1
Taliyah,1
Rek'Sai,0
Karthus,1
Sejuani,1
Warwick,1
Xin Zhao,1
Lee Sin,0
Hecarim,1
Camille,1
Evelynn,1
Rammus,1
Gragas,1
Kindred,1
Lee Sin,1
Lee Sin,1
Shaco,0
Evelynn,1
Shaco,1
Master Yi,1
Evelynn,1
Jarvan IV,1
Zac,1
Jax,1
Nocturne,1
Sejuani,1
Kindred,0
Elise,1
Nunu & Willump,1
Zac,0
Gragas,1
Gragas,1
Elise,1
Poppy,1
Kindred,1
Kindred,1
Gragas,1
Aatrox,0
Lee Sin,1
Elise,1
Elise,1
Sylas,1
Twitch,1
Sejuani,1
Elise,0
Kindred,1
Hecarim,1
Skarner,0
Rengar,1
Nocturne,1
Kayn,1
Xin Zhao,0
Sejuani,1
Lee Sin,1
Evelynn,1
Skarner,1
Gragas,1
Mordekaiser,1
Jarvan IV,1
Nidalee,1
Warwick,1
Sejuani,0
Ivern,1
Kha'Zix,1
Kayn,1
Kayn,0
Hecarim,1
Hecarim,1
Mordekaiser,1
Evelynn,1
Hecarim,1
Sejuani,1
Sejuani,1
Sejuani,1
Kindred,1
Jarvan IV,0
Kindred,1
Hecarim,1
Lee Sin,1
Hecarim,1
Olaf,1
Kayn,1
Camille,1
Gragas,1
Aatrox,1
Vayne,0
Kha'Zix,1
Evelynn,1
Hecarim,1
Nunu & Willump,1
Hecarim,1
Xin Zhao,1
Ekko,1
Lee Sin,1
Elise,1
Taliyah,1
Elise,1
Taliyah,1
Amumu,1
Hecarim,1
Sejuani,1
Rek'Sai,0
Graves,1
Taliyah,1
Lee Sin,1
Kayn,1
Shaco,1
Elise,1
Evelynn,1
Nidalee,0
