jung,result
Lee Sin,1
Graves,0
Graves,0
Master Yi,0
Master Yi,1
Gragas,0
Jarvan IV,1
Rek'Sai,1
Kayn,0
Poppy,1
Gragas,0
Vi,0
Karthus,0
Rek'Sai,1
Rek'Sai,0
Gragas,1
Sejuani,0
Graves,0
Karthus,0
Shaco,0
Kayn,0
Kha'Zix,0
Xin Zhao,0
Elise,0
Hecarim,0
Sejuani,0
Nidalee,0
Sejuani,0
Taliyah,0
Rengar,0
Karthus,0
Kayn,0
Hecarim,0
Vi,0
Kayn,0
Taliyah,0
Lee Sin,0
Kha'Zix,0
Sejuani,0
Kayn,0
Taliyah,0
Sejuani,0
Lee Sin,0
Aatrox,1
Gragas,0
Kindred,0
Rek'Sai,0
Elise,0
Gragas,0
Graves,0
Sejuani,0
Trundle,0
Lee Sin,0
Gragas,0
Karthus,1
Taliyah,0
Gragas,0
Rek'Sai,0
Kindred,0
Rek'Sai,0
Kindred,0
Elise,0
Sejuani,1
Aatrox,1
Kindred,1
Nidalee,0
Rek'Sai,1
Gragas,1
Xin Zhao,1
Gragas,0
Rammus,1
Gragas,0
Olaf,0
Gragas,0
Lee Sin,0
Rek'Sai,0
Taliyah,1
Elise,0
Nidalee,1
Graves,0
Rammus,0
Nidalee,0
Kha'Zix,1
Lee Sin,0
Lee Sin,1
Rek'Sai,0
Nidalee,1
Taliyah,1
Lee Sin,1
Xin Zhao,0
Taliyah,0
Karthus,0
Sylas,0
Taliyah,1
Xin Zhao,1
Karthus,0
Kindred,0
Sejuani,0
Kayn,0
Karthus,1
Sejuani,0
Xin Zhao,0
Kindred,0
Taliyah,0
Lee Sin,0
Lee Sin,0
Skarner,0
Kayn,0
Lee Sin,0
Gragas,0
Rengar,0
Lee Sin,0
Sejuani,0
Lee Sin,0
Elise,0
Karthus,0
Rek'Sai,0
Lee Sin,0
Gragas,0
Elise,1
Volibear,1
Xin Zhao,0
Sejuani,1
Lee Sin,0
Sejuani,0
Taliyah,0
Rek'Sai,0
Gragas,0
Gragas,0
Karthus,1
Lee Sin,0
Olaf,0
Rek'Sai,0
Lee Sin,0
Xin Zhao,0
Taliyah,0
Kayn,0
Rek'Sai,0
Rek'Sai,0
Trundle,0
Sejuani,0
Nidalee,0
Sejuani,0
Jarvan IV,1
Xin Zhao,0
Karthus,0
Karthus,0
Lee Sin,0
Gragas,0
Sejuani,0
Kayn,0
Rek'Sai,0
Lee Sin,0
Olaf,0
Lee Sin,0
Taliyah,0
Nidalee,0
Aatrox,0
Olaf,0
Elise,0
Olaf,0
Xin Zhao,1
Gragas,0
Lee Sin,0
Sejuani,0
Lee Sin,1
Taliyah,1
Elise,0
Sejuani,1
Olaf,1
Nocturne,0
Sejuani,1
Kayn,0
Xin Zhao,1
Kindred,1
Kindred,0
Gragas,0
Olaf,0
Sejuani,1
Vi,0
Kayn,0
Nidalee,0
Aatrox,0
Taliyah,1
Aatrox,0
Lee Sin,1
Sejuani,1
Elise,1
Aatrox,0
Sejuani,0
Rek'Sai,0
Karthus,0
Olaf,0
Lee Sin,0
Lee Sin,0
Rek'Sai,1
Olaf,0
Taliyah,0
Kayn,0
Xin Zhao,0
Gragas,0
Kindred,0
Taliyah,0
Sejuani,0
Graves,0
Lee Sin,0
Lee Sin,0
Sejuani,1
Taliyah,0
Sejuani,0
Lee Sin,0
Lee Sin,0
Xin Zhao,1
Sejuani,1
Xin Zhao,0
Elise,1
Rammus,0
Nunu & Willump,0
Kayn,0
Graves,1
Fiddlesticks,1
Elise,0
Graves,0
Sejuani,0
Twitch,0
Gragas,0
Elise,0
Sejuani,0
Xin Zhao,0
Taliyah,0
Xin Zhao,0
Shaco,1
Lee Sin,0
Sejuani,1
Warwick,0
Hecarim,0
Sejuani,1
Lee Sin,1
Hecarim,1
Elise,1
Xin Zhao,0
Lee Sin,0
Rek'Sai,0
Sejuani,0
Lee Sin,0
Olaf,1
Udyr,0
Elise,0
Sejuani,1
Kayn,0
Olaf,0
Olaf,0
Rek'Sai,0
Lee Sin,1
Sejuani,0
Skarner,0
Evelynn,0
Sejuani,0
Olaf,0
Xin Zhao,0
Vi,0
Xin Zhao,0
Gragas,0
Rek'Sai,0
Gragas,0
Lee Sin,0
Kindred,0
Rengar,1
Rengar,0
Vi,0
Kayn,0
Fiddlesticks,1
Taliyah,0
Kayn,1
Rek'Sai,1
Sejuani,0
Sejuani,0
Gragas,0
Nunu & Willump,1
Kayn,0
Kayn,0
Evelynn,0
Kayn,0
Elise,0
Kindred,0
Sejuani,1
Graves,0
Graves,1
Gragas,0
Kayn,0
Evelynn,0
Lee Sin,0
Hecarim,0
Evelynn,0
Shaco,0
Kayn,0
Udyr,0
Hecarim,0
Kayn,0
Jarvan IV,1
