jung,result
Hecarim,0
Aatrox,1
Kai'Sa,0
Hecarim,0
Xin Zhao,0
Sylas,0
Kayn,0
Nidalee,0
Rengar,0
Elise,0
Rek'Sai,0
Xin Zhao,0
Elise,0
Jarvan IV,0
Kayn,1
Kayn,0
Aatrox,0
Nidalee,0
Rek'Sai,1
Sejuani,0
Xin Zhao,0
Karthus,0
Sejuani,0
Rek'Sai,0
Rek'Sai,0
Gragas,0
Gragas,0
Xin Zhao,0
Elise,0
Jarvan IV,0
Olaf,0
Olaf,0
Karthus,0
Evelynn,0
Olaf,0
Elise,1
Elise,0
Elise,0
Karthus,0
Kayn,1
Sejuani,0
Kayn,0
Elise,0
Trundle,0
Kindred,0
Lee Sin,0
Taliyah,1
Kayn,0
Rek'Sai,0
Taliyah,0
Ekko,0
Sejuani,0
Sejuani,0
Sejuani,0
Sejuani,1
Kindred,0
Kindred,0
Sejuani,0
Aatrox,1
Kayn,0
Olaf,1
Zac,1
Aatrox,0
Sejuani,0
Trundle,0
Gragas,0
Lee Sin,0
Lee Sin,0
Evelynn,0
Aatrox,0
Master Yi,0
Rek'Sai,0
Sejuani,0
Rek'Sai,1
Gragas,0
Rek'Sai,0
Kayn,0
Kayn,1
Nidalee,1
Elise,0
Elise,0
Rek'Sai,0
Lee Sin,0
Gragas,0
Kayn,0
Lee Sin,0
Rek'Sai,0
Rek'Sai,0
Elise,0
Lee Sin,0
Gragas,0
Rek'Sai,0
Hecarim,0
Xin Zhao,1
Kayn,0
Lee Sin,0
Kindred,1
Olaf,1
Jarvan IV,0
Lee Sin,0
Olaf,0
Sejuani,0
Kindred,1
Olaf,0
Nidalee,0
Kha'Zix,0
Lee Sin,0
Kayn,0
Lee Sin,0
Nidalee,1
Lee Sin,0
Aatrox,0
Elise,0
Nidalee,1
Lee Sin,0
Elise,1
Lee Sin,0
Kayn,1
Lee Sin,0
Sylas,0
Gragas,1
Evelynn,1
Evelynn,1
Trundle,0
Olaf,1
Aatrox,0
Lee Sin,1
Nidalee,0
Nidalee,0
Gragas,0
Sejuani,1
Gragas,0
Taliyah,1
Sejuani,0
Sejuani,0
Xin Zhao,0
Taliyah,0
Taliyah,0
Rek'Sai,0
Lee Sin,1
Olaf,0
Kindred,0
Lee Sin,1
Rek'Sai,0
Elise,0
Olaf,0
Sejuani,0
Hecarim,0
Olaf,0
Sylas,0
Fiddlesticks,0
Zac,0
Taliyah,0
Taliyah,1
Shaco,0
Gragas,0
Karthus,0
Olaf,1
Lee Sin,0
Lee Sin,0
Lee Sin,0
Olaf,0
Elise,0
Nidalee,0
Sejuani,1
Sejuani,0
Nidalee,0
Nidalee,0
Sejuani,0
Kindred,0
Kindred,0
Gragas,0
Kayn,1
Lee Sin,1
Olaf,0
Gragas,0
Gragas,1
Fiddlesticks,0
Gragas,0
Kayn,0
Zac,0
Xin Zhao,0
Lee Sin,0
Hecarim,0
Sejuani,0
Rammus,0
Lee Sin,0
Elise,0
Lee Sin,0
Kayn,0
Lee Sin,0
Graves,0
Lee Sin,0
