jung,result
Kha'Zix,0
Kindred,0
Nidalee,0
Elise,1
Hecarim,0
Amumu,0
Lee Sin,0
Kha'Zix,0
Jarvan IV,0
Taliyah,1
Rek'Sai,0
Elise,0
Kindred,0
Amumu,0
Sejuani,0
Rengar,0
Gragas,0
Hecarim,0
Rek'Sai,0
Nidalee,0
Gragas,0
Shaco,0
Rek'Sai,0
Elise,0
Taliyah,0
Lee Sin,0
Kha'Zix,0
Hecarim,0
Elise,0
Kha'Zix,0
Graves,0
Kayn,0
Urgot,0
Nidalee,0
Kha'Zix,0
Elise,0
Lee Sin,0
Sejuani,1
Kayn,0
Taliyah,0
Lee Sin,0
Kai'Sa,0
Lee Sin,1
Taliyah,1
Rek'Sai,0
Gragas,0
Kindred,0
Lee Sin,1
Karthus,0
Rek'Sai,0
Gragas,0
Karthus,0
Lee Sin,0
Evelynn,0
Rek'Sai,0
Aatrox,0
Kayn,1
Rek'Sai,1
Olaf,0
Lee Sin,1
Kayn,0
Kindred,0
Kayn,1
Elise,0
Xin Zhao,0
Karthus,1
Graves,1
Elise,1
Rek'Sai,0
Olaf,0
Kha'Zix,0
Sylas,1
Rek'Sai,0
Nidalee,0
Lee Sin,0
Sejuani,1
Rek'Sai,0
Aatrox,1
Olaf,0
Sejuani,0
Lee Sin,1
Elise,1
Sejuani,0
Sejuani,0
Taliyah,0
Gragas,0
Gragas,0
Lee Sin,1
Nidalee,0
Elise,0
Sejuani,0
Karthus,0
Sejuani,0
Lee Sin,1
Aatrox,0
Mordekaiser,0
Gragas,0
Sejuani,0
Nidalee,0
Nunu & Willump,0
Olaf,0
Elise,1
Olaf,1
Rek'Sai,1
Aatrox,0
Kayn,1
Lee Sin,0
Camille,0
Olaf,1
Rek'Sai,0
Taliyah,0
Trundle,1
Xin Zhao,1
Rek'Sai,1
Twitch,0
Skarner,0
Olaf,0
Gragas,0
Rek'Sai,1
Graves,0
Xin Zhao,0
Xin Zhao,0
Sejuani,0
Sejuani,0
Kindred,0
Rammus,0
Elise,0
Taliyah,0
Elise,0
Rek'Sai,0
Xin Zhao,0
Lee Sin,0
Rek'Sai,0
Rek'Sai,0
Taliyah,0
Rek'Sai,0
Lee Sin,1
Karthus,0
Rek'Sai,0
Sejuani,0
Taliyah,0
Sejuani,0
Karthus,0
Karthus,0
Elise,0
Rek'Sai,0
Karthus,1
Sejuani,0
Lee Sin,0
Rek'Sai,0
Lee Sin,0
Rek'Sai,0
Elise,1
Elise,1
Sejuani,0
Rek'Sai,0
Gragas,0
Lee Sin,0
Jarvan IV,0
Nidalee,0
Nidalee,0
Xin Zhao,0
Lee Sin,0
Elise,0
Olaf,0
Nidalee,0
Lee Sin,0
Hecarim,0
Rek'Sai,0
Taliyah,0
Olaf,1
Kindred,0
Olaf,0
Kha'Zix,0
Gragas,0
Olaf,0
Sejuani,0
Xin Zhao,0
Evelynn,0
Olaf,0
Kayn,0
Karthus,0
Xin Zhao,0
Kayn,0
Kayn,1
Xin Zhao,0
Xin Zhao,0
Lee Sin,0
Olaf,0
Evelynn,0
Sejuani,0
Rek'Sai,0
Graves,1
Sejuani,1
Sejuani,0
Sejuani,0
Taliyah,0
Gragas,0
Kayn,0
Nidalee,0
Kayn,0
Karthus,0
Hecarim,1
Olaf,1
Elise,0
Sejuani,0
Lee Sin,0
Rammus,0
Rek'Sai,0
Lee Sin,1
Sejuani,0
Kayn,0
Kayn,1
Rek'Sai,0
Jarvan IV,0
Rek'Sai,0
Gragas,1
Aatrox,0
Olaf,0
Elise,0
Sejuani,1
Karthus,0
Lee Sin,0
Lee Sin,0
Karthus,0
Elise,0
Lee Sin,0
Aatrox,1
Kindred,0
Kindred,0
Olaf,0
Kha'Zix,1
Olaf,1
Gragas,1
Xin Zhao,0
Gragas,0
Karthus,0
Kindred,0
Elise,0
Aatrox,0
Rek'Sai,0
Karthus,0
Nidalee,0
Xin Zhao,1
Kayn,0
Xin Zhao,0
Taliyah,0
Lee Sin,0
Rek'Sai,0
Jarvan IV,0
Kindred,0
Zac,1
Karthus,0
Zac,0
Xin Zhao,0
Olaf,1
Lee Sin,0
Kindred,0
Karthus,0
Nocturne,0
Elise,0
Elise,0
Sejuani,1
Kai'Sa,0
Kayn,0
Kha'Zix,0
Taliyah,0
Ivern,0
Sejuani,0
Sejuani,0
Lee Sin,0
Lee Sin,0
Sejuani,0
Kindred,0
Taliyah,0
Pantheon,0
Kayn,1
Karthus,0
Gragas,0
Kayn,1
Kindred,0
Kha'Zix,0
Jarvan IV,0
Elise,0
Gragas,0
Nunu & Willump,0
Sejuani,0
Xin Zhao,0
Graves,0
Lee Sin,0
Elise,1
Kayn,0
Evelynn,0
Vi,1
Elise,1
Kindred,0
Kayn,0
Rengar,0
Jarvan IV,0
Rammus,0
Zac,0
Lee Sin,0
Graves,1
Karthus,0
Jarvan IV,0
Nunu & Willump,0
Lee Sin,0
Sejuani,1
Lee Sin,0
Kayn,0
Jarvan IV,0
Kindred,0
Taliyah,1
Rengar,1
Kindred,0
Karthus,0
