jung,result
Graves,0
Elise,1
Sejuani,0
Mordekaiser,0
Gragas,0
Vi,0
Rammus,0
Elise,0
Hecarim,0
Taliyah,0
Poppy,0
Kayn,0
Kha'Zix,0
Nidalee,0
Olaf,0
Lee Sin,0
Kayn,0
Neeko,0
Lee Sin,0
Nidalee,1
Kayn,1
Nidalee,1
Gragas,0
Elise,0
Olaf,0
Olaf,0
Evelynn,0
Jax,1
Kayn,0
Kha'Zix,0
Jarvan IV,0
Kayn,0
Lee Sin,1
Kayn,0
Lee Sin,0
Jayce,0
Zac,0
Lee Sin,0
Rek'Sai,0
Kayn,0
Ivern,0
Ryze,0
Karthus,1
Vi,0
Trundle,0
Sejuani,1
Nidalee,0
Elise,0
Rammus,0
Kha'Zix,0
Olaf,0
Aatrox,0
Rengar,0
Kayn,0
Xin Zhao,1
Lee Sin,1
Nunu & Willump,0
Amumu,0
Xin Zhao,0
Lee Sin,0
Kha'Zix,0
Hecarim,0
Shaco,1
Kha'Zix,0
Rek'Sai,0
Kha'Zix,1
Sejuani,1
Lee Sin,0
Kindred,0
Warwick,1
Hecarim,0
Ryze,0
Mordekaiser,0
Jarvan IV,0
Rek'Sai,0
Master Yi,0
Kindred,0
Ekko,1
Rek'Sai,0
Jarvan IV,0
Hecarim,0
Evelynn,0
Shyvana,0
Nocturne,0
Lee Sin,1
Gragas,0
Graves,1
Rammus,1
Karthus,0
Shyvana,0
Lee Sin,0
Lee Sin,0
Jarvan IV,0
Twitch,0
Trundle,1
Trundle,1
Jarvan IV,0
Sejuani,0
Lee Sin,1
Master Yi,0
Lee Sin,0
Xin Zhao,1
Kha'Zix,0
Nunu & Willump,0
Rammus,1
Volibear,0
Rek'Sai,0
Sejuani,0
Ekko,0
Kayn,0
Rek'Sai,1
Sejuani,0
Elise,1
Evelynn,0
Rengar,0
Camille,0
Hecarim,0
Nunu & Willump,1
Hecarim,1
Master Yi,0
Xin Zhao,0
Nocturne,1
Gragas,1
Kayn,1
Karthus,0
Jarvan IV,0
Pantheon,1
Rengar,1
Lee Sin,1
Evelynn,0
Kayn,0
Hecarim,0
Sejuani,0
Hecarim,0
Vi,0
Olaf,0
Hecarim,0
Master Yi,0
Mordekaiser,0
Lee Sin,0
Gragas,0
Kindred,0
Xin Zhao,0
Karthus,1
Warwick,0
Elise,0
Lee Sin,1
Taliyah,0
Gragas,1
Zac,0
Kha'Zix,1
Jarvan IV,0
Kha'Zix,0
Jarvan IV,1
Rek'Sai,0
Karthus,0
Sejuani,0
Nocturne,0
Rek'Sai,0
Wukong,0
Jarvan IV,0
Hecarim,1
Mordekaiser,1
Xin Zhao,1
Evelynn,1
Rengar,0
Karthus,0
Sejuani,0
Gragas,1
Shaco,0
Karthus,0
Elise,0
Skarner,0
Rammus,0
Hecarim,1
Taliyah,0
Jarvan IV,0
Kindred,0
Kayn,0
Sejuani,0
Master Yi,0
Elise,0
Amumu,0
Sejuani,0
Hecarim,0
Lee Sin,0
Kindred,0
Lee Sin,0
Kha'Zix,0
Sejuani,0
Graves,1
Kha'Zix,0
Hecarim,0
Hecarim,0
Sejuani,0
Lee Sin,1
Elise,0
Kha'Zix,0
Mordekaiser,0
Mordekaiser,1
Rek'Sai,1
Kindred,0
Rek'Sai,0
Elise,0
Kayn,0
Jarvan IV,0
Sejuani,0
Rengar,0
Taliyah,0
Sejuani,0
Lee Sin,0
Kha'Zix,0
Poppy,1
Lee Sin,0
Hecarim,0
Kayn,0
Hecarim,0
Karthus,0
Dr. Mundo,0
Kha'Zix,1
Master Yi,0
Zac,0
Hecarim,0
Xin Zhao,0
Nidalee,1
Ezreal,0
Sejuani,0
Kha'Zix,1
Sejuani,1
Brand,1
Kayn,1
Sylas,1
Kayn,1
Jarvan IV,1
Jarvan IV,1
Gragas,1
Nunu & Willump,1
Elise,1
Sejuani,1
Xin Zhao,1
Gragas,1
Sejuani,0
Sylas,0
Elise,1
Gragas,1
Lee Sin,0
Gragas,1
Xin Zhao,1
Kha'Zix,1
Kai'Sa,1
Sylas,1
Jarvan IV,0
Xin Zhao,1
Gragas,1
Elise,1
Karthus,1
Lee Sin,1
Olaf,1
Taliyah,0
Kayn,0
Rek'Sai,1
Nidalee,1
Evelynn,1
Lee Sin,1
Sejuani,1
Taliyah,1
Jarvan IV,1
Sejuani,1
Nidalee,1
Karthus,1
Kha'Zix,0
Xin Zhao,1
Rammus,1
Vi,1
Kha'Zix,1
Amumu,1
Warwick,1
Kindred,1
Gragas,1
Nidalee,1
Udyr,1
Kayn,1
Gragas,1
Kindred,1
Jarvan IV,1
Hecarim,0
Warwick,1
Master Yi,1
Kha'Zix,1
Mordekaiser,1
Jarvan IV,1
Zac,1
Shaco,1
Kindred,1
Evelynn,0
Sejuani,0
Trundle,1
Lee Sin,0
Master Yi,1
Lee Sin,1
Xin Zhao,1
Elise,1
Ezreal,1
Kha'Zix,1
Nunu & Willump,0
Elise,1
Kayn,1
Hecarim,1
Lee Sin,1
Kayn,1
Nunu & Willump,1
Rek'Sai,1
Skarner,1
Gragas,1
Graves,1
Kled,0
Kha'Zix,1
Hecarim,1
Hecarim,1
Rammus,0
Zac,0
Elise,1
Sejuani,1
Gragas,1
Hecarim,1
Hecarim,1
Kindred,1
Jarvan IV,1
Volibear,0
Elise,1
Lee Sin,1
Rek'Sai,1
Elise,1
Taric,0
Evelynn,0
Nunu & Willump,1
Rek'Sai,1
Lee Sin,1
Jax,1
Warwick,1
Nunu & Willump,1
Kayn,1
Xin Zhao,1
Lee Sin,1
Amumu,1
Elise,1
Kayn,1
Warwick,1
Elise,0
Kindred,1
Kindred,1
Gragas,1
Rammus,1
Hecarim,1
Taliyah,1
Sejuani,1
Kha'Zix,1
Elise,1
Xin Zhao,1
Nidalee,1
Nunu & Willump,1
Taliyah,1
Evelynn,1
Taliyah,1
Shaco,1
Kha'Zix,1
Elise,1
Olaf,0
Nidalee,1
Sejuani,1
Rek'Sai,1
Jax,1
Kindred,1
Rengar,1
Xin Zhao,1
Gragas,1
Nidalee,1
Kha'Zix,1
Sejuani,1
Nautilus,0
Elise,1
Vi,1
Elise,1
Hecarim,1
Hecarim,1
Sejuani,0
Lee Sin,1
Gragas,1
Ivern,1
Ivern,1
Warwick,1
Vi,1
Taliyah,1
Gragas,1
Sejuani,1
Vi,1
Jax,1
Kayn,1
Trundle,0
Hecarim,0
Rek'Sai,0
Hecarim,1
Nunu & Willump,0
Hecarim,1
Kayn,1
Sejuani,1
Evelynn,1
Hecarim,1
Taliyah,1
Elise,1
Shyvana,1
Elise,1
Rammus,1
Aatrox,1
Hecarim,1
Sejuani,1
Sejuani,1
Kindred,1
Hecarim,1
Master Yi,1
Jarvan IV,1
Lee Sin,0
Gragas,1
Aatrox,1
Karthus,1
Jarvan IV,0
Elise,1
Jarvan IV,1
Rek'Sai,0
Taliyah,1
Lee Sin,1
Karthus,1
Rengar,1
Graves,1
Hecarim,1
