jung,result
Elise,0
Taliyah,1
Kindred,1
Rek'Sai,0
Sejuani,0
Rengar,0
Karthus,0
Lee Sin,1
Rek'Sai,1
Sejuani,0
Jarvan IV,0
Karthus,0
Karthus,0
Sejuani,1
Kayn,0
Shaco,0
Kayn,0
Gragas,0
Vi,0
Mordekaiser,0
Trundle,1
Lee Sin,1
Graves,0
Xin Zhao,0
Udyr,0
Evelynn,0
Trundle,0
Nidalee,0
Xin Zhao,0
Rek'Sai,0
Karthus,0
Kayn,1
Sejuani,0
Jax,0
Kai'Sa,0
Lee Sin,1
Kayn,0
Riven,0
Xin Zhao,1
Elise,1
Nidalee,0
Rek'Sai,0
Karthus,0
Elise,0
Kindred,0
Olaf,0
Rek'Sai,0
Olaf,0
Taliyah,0
Lee Sin,0
Nidalee,0
Rengar,0
Olaf,1
Xin Zhao,0
Aatrox,0
Graves,0
Rek'Sai,0
Elise,0
Sejuani,0
Kindred,0
Elise,0
Lee Sin,0
Lee Sin,0
Rek'Sai,0
Gragas,0
Lee Sin,0
Lee Sin,1
Nidalee,0
Karthus,0
Rek'Sai,0
Taliyah,0
Gragas,0
Sejuani,0
Rek'Sai,0
Xin Zhao,0
Master Yi,0
Lee Sin,0
Hecarim,0
Nidalee,0
Sejuani,1
Gragas,0
Lee Sin,1
Sejuani,1
Karthus,0
Xin Zhao,0
Lee Sin,0
Rek'Sai,1
Olaf,0
Xin Zhao,0
Olaf,0
Lee Sin,0
Jarvan IV,1
Olaf,0
Nidalee,0
Lee Sin,0
Elise,0
Kai'Sa,0
Pantheon,0
Skarner,0
Nunu & Willump,0
Kayn,1
Sejuani,0
Gragas,0
Sejuani,0
Nidalee,0
Karthus,0
Sejuani,0
Elise,0
Kayn,0
Kai'Sa,0
Taliyah,0
Taliyah,1
Rek'Sai,1
Elise,0
Taliyah,0
Olaf,0
Sejuani,1
Sejuani,1
Olaf,0
Karthus,0
Gragas,0
Olaf,0
Rek'Sai,1
Taliyah,0
Sejuani,0
Sejuani,1
Lee Sin,0
Taliyah,1
Xin Zhao,0
Taliyah,1
Lee Sin,1
Olaf,1
Taliyah,0
Lee Sin,0
Rek'Sai,0
Karthus,0
Lee Sin,0
Sejuani,0
Rengar,1
Hecarim,0
Zac,1
Jarvan IV,0
Lee Sin,1
Lee Sin,0
Karthus,0
Rek'Sai,0
Gragas,0
Hecarim,0
Xin Zhao,0
Kayn,0
Shaco,0
Kha'Zix,1
Evelynn,0
Sejuani,0
Diana,0
Xin Zhao,1
Elise,1
Kayn,0
Lee Sin,0
Kayn,0
Rek'Sai,0
Evelynn,0
Rengar,0
Elise,0
Evelynn,0
Sejuani,0
Kayn,0
Lee Sin,0
Sejuani,0
Shaco,0
Hecarim,0
Camille,0
Twitch,0
Mordekaiser,0
Shaco,0
Sejuani,0
Zac,0
Master Yi,0
Jax,0
Sejuani,0
Aatrox,0
Sejuani,0
Gragas,0
Kha'Zix,1
Kha'Zix,1
Twitch,0
Poppy,1
Nidalee,0
Rammus,0
Amumu,1
Rek'Sai,0
Rammus,0
Taliyah,0
Rek'Sai,0
Sejuani,1
Lee Sin,0
Hecarim,0
Lee Sin,0
Fiddlesticks,0
Elise,0
Nunu & Willump,0
Master Yi,0
Hecarim,0
Kayn,0
Nidalee,0
Evelynn,0
Hecarim,0
Nautilus,0
Gragas,0
Kayn,0
Olaf,0
Nunu & Willump,0
Elise,0
Lee Sin,1
Zac,0
Lee Sin,1
Xin Zhao,0
Jarvan IV,1
Sejuani,0
Kha'Zix,0
Jarvan IV,0
Evelynn,1
Vi,1
Rek'Sai,0
Rengar,0
Hecarim,0
Kindred,1
Kayn,0
Sejuani,0
Jarvan IV,1
Elise,1
Olaf,0
Olaf,0
Shaco,1
Rek'Sai,0
Sejuani,0
Skarner,0
Zac,1
Lee Sin,0
Lee Sin,0
Lee Sin,0
Ivern,0
Elise,0
Lee Sin,0
Lee Sin,0
Rammus,0
Elise,0
Kayn,0
Kha'Zix,0
Kha'Zix,1
Taliyah,0
Lee Sin,0
Sejuani,0
Kindred,0
Olaf,0
Kindred,0
Talon,0
Evelynn,0
Xin Zhao,0
Nunu & Willump,0
Lee Sin,0
Gragas,0
Kayn,0
Gragas,0
Hecarim,0
Rek'Sai,0
Kayn,0
Ivern,1
Kayn,0
Nidalee,0
Lee Sin,0
Nocturne,0
Rek'Sai,0
Elise,0
Gragas,0
Hecarim,0
Warwick,0
Taliyah,1
Hecarim,0
Lee Sin,0
Kha'Zix,0
Zac,0
Hecarim,0
Rengar,0
Nunu & Willump,1
Nidalee,0
Lee Sin,0
Nunu & Willump,0
Lee Sin,0
Kindred,0
Sejuani,0
Gragas,1
Lee Sin,0
Jarvan IV,0
Rek'Sai,0
Rek'Sai,0
Gragas,1
Kha'Zix,0
Hecarim,0
Hecarim,1
Sejuani,1
Rek'Sai,1
Sejuani,0
Graves,0
Jarvan IV,0
Rengar,0
Volibear,0
Karthus,0
Vi,0
Jarvan IV,0
Xin Zhao,1
Evelynn,1
Rumble,0
Vi,0
Hecarim,1
Rek'Sai,0
Sejuani,0
Aatrox,0
Rek'Sai,0
Sejuani,1
Jarvan IV,0
Elise,0
Sejuani,0
Jarvan IV,0
Jarvan IV,0
Rengar,1
Sejuani,1
Jarvan IV,0
Elise,0
Taliyah,0
Kha'Zix,0
Jarvan IV,1
Rek'Sai,0
Lee Sin,0
Nocturne,0
Hecarim,0
Jarvan IV,1
Sejuani,0
Jax,0
Elise,1
Trundle,0
Hecarim,0
Karthus,0
Lee Sin,1
Twitch,0
Nidalee,0
Amumu,0
Karthus,0
Gragas,0
Lee Sin,0
Sylas,1
Aatrox,0
Hecarim,0
Nocturne,1
Sejuani,0
Xin Zhao,0
Evelynn,0
Lee Sin,0
Lee Sin,1
Elise,0
Sejuani,1
Master Yi,0
Lee Sin,0
Hecarim,1
Lee Sin,0
Skarner,0
Kha'Zix,0
Rammus,0
Cho'Gath,0
Kayn,0
Evelynn,0
Taliyah,0
Jarvan IV,0
Jarvan IV,0
Trundle,0
Shaco,0
Sylas,0
Twitch,0
Nidalee,0
Vi,0
Evelynn,0
Rek'Sai,0
Elise,0
Elise,0
Sejuani,0
Lee Sin,0
Taliyah,0
Lee Sin,0
Amumu,0
Kha'Zix,0
Lee Sin,0
Lee Sin,0
Lee Sin,0
Kha'Zix,0
Kindred,0
Lee Sin,0
Pantheon,0
Elise,0
Vi,0
Sejuani,1
Graves,0
Rek'Sai,1
Kha'Zix,0
Rek'Sai,0
Lee Sin,1
Elise,0
Rammus,0
Kindred,0
Elise,0
Zac,1
Elise,0
Elise,0
Aatrox,0
Elise,0
Jarvan IV,0
Jarvan IV,0
Elise,0
Ryze,0
Aatrox,0
Rengar,0
Taliyah,0
Olaf,0
Ryze,0
Zac,0
Gragas,1
Jarvan IV,0
Rek'Sai,0
Shaco,0
Sylas,0
Ivern,1
Kindred,0
Karthus,1
Rengar,0
Rek'Sai,1
Elise,0
Lee Sin,0
Jarvan IV,0
Skarner,0
Lee Sin,0
Pantheon,0
Ivern,0
Elise,0
Aatrox,1
Kha'Zix,0
Jarvan IV,0
Urgot,0
Trundle,0
Sejuani,0
Sylas,0
Kindred,0
Taliyah,1
Kha'Zix,0
Shaco,1
Ryze,1
Taliyah,0
Fiddlesticks,1
Nunu & Willump,0
Kha'Zix,1
Zac,0
Olaf,0
Elise,0
Lee Sin,1
Evelynn,0
Lee Sin,1
Jax,1
Lee Sin,0
Jarvan IV,1
Karthus,0
Jarvan IV,0
Olaf,0
Kha'Zix,0
Taliyah,0
Sejuani,0
Hecarim,0
Hecarim,0
Lee Sin,0
Ryze,0
Vi,0
Jarvan IV,0
Sylas,0
Kha'Zix,0
Sejuani,0
Kindred,0
Karthus,0
Sejuani,0
Lee Sin,0
Kindred,0
Gragas,0
Taliyah,0
Jarvan IV,0
Shyvana,0
Ivern,0
Ekko,0
Ekko,1
Elise,0
Xin Zhao,0
Master Yi,0
Sejuani,0
Karthus,0
Sejuani,0
Sejuani,1
Evelynn,1
Diana,0
Lee Sin,0
Sejuani,1
Taliyah,0
Lee Sin,0
Fiddlesticks,0
Skarner,0
Evelynn,1
Urgot,1
Lee Sin,1
Olaf,1
Hecarim,1
Elise,1
Sejuani,1
Rammus,1
Elise,1
Kha'Zix,0
Graves,1
Rek'Sai,1
Rammus,1
Kindred,1
Lee Sin,1
Udyr,1
Gragas,1
Graves,1
Gragas,1
Sejuani,1
Kayn,1
Lee Sin,1
Taliyah,1
Rek'Sai,1
Nidalee,1
Lee Sin,1
Kindred,1
Sejuani,1
Nidalee,1
Elise,1
Karthus,0
Karthus,1
Gragas,1
Sejuani,1
Nidalee,1
Elise,1
Karthus,1
Sejuani,1
Olaf,1
Elise,1
Kayn,1
Olaf,0
Rek'Sai,1
Sejuani,1
Kayn,1
Elise,1
Gragas,1
Sejuani,1
Sejuani,1
Rek'Sai,1
Kha'Zix,0
Taliyah,1
Lee Sin,1
Kha'Zix,1
Kayn,1
Gragas,1
Taliyah,0
Evelynn,0
Karthus,0
Olaf,0
Nidalee,1
Rek'Sai,1
Kayn,1
Kha'Zix,1
Lee Sin,1
Taliyah,0
Sejuani,1
Lee Sin,1
Kayn,1
Aatrox,1
Sejuani,1
Taliyah,1
Kayn,0
Rek'Sai,1
Gragas,1
Kayn,1
Aatrox,1
Sejuani,1
Gragas,1
Xin Zhao,1
Kayn,1
Sejuani,1
Xin Zhao,1
Jarvan IV,1
Master Yi,1
Gragas,1
Kindred,1
Rek'Sai,1
Gragas,1
Jarvan IV,1
Jax,1
Xin Zhao,1
Karthus,1
Kha'Zix,1
Kha'Zix,1
Taliyah,1
Kindred,1
Taliyah,1
Kayn,0
Olaf,1
Kindred,1
Olaf,1
Kindred,1
Sejuani,1
Lee Sin,1
Skarner,1
Elise,1
Gragas,1
Nidalee,1
Sejuani,1
Gragas,0
Sylas,1
Aatrox,1
Sejuani,1
Sejuani,1
Sejuani,1
Rek'Sai,0
Kha'Zix,1
Sejuani,1
Olaf,1
Lee Sin,0
Lee Sin,1
Rek'Sai,1
Kindred,1
Rumble,1
Taliyah,0
Aatrox,1
Taliyah,1
Kha'Zix,1
Sejuani,1
Lee Sin,1
Kha'Zix,1
Rek'Sai,0
Rek'Sai,1
Xin Zhao,0
Kayn,0
Lee Sin,1
Kayn,1
Hecarim,1
Lee Sin,0
Gragas,1
Kayn,1
Rek'Sai,1
Nidalee,0
Mordekaiser,1
Jarvan IV,1
Gragas,1
Nidalee,1
Olaf,1
Nidalee,1
Kayn,1
Kindred,0
Hecarim,1
Hecarim,1
Elise,1
Lee Sin,1
Kayn,1
Hecarim,1
Elise,1
Graves,0
Udyr,1
Elise,1
Rek'Sai,1
Lee Sin,0
Lee Sin,1
Rengar,1
Evelynn,1
Elise,1
Trundle,1
Elise,1
Jarvan IV,1
Sejuani,1
Jarvan IV,1
Rengar,1
Karthus,1
Jarvan IV,1
Shaco,1
Gragas,1
Rengar,0
Lee Sin,1
Sejuani,1
Neeko,1
Sejuani,1
Elise,1
Elise,1
Sejuani,1
Xin Zhao,0
Kha'Zix,0
Aatrox,1
Shyvana,0
Rengar,1
Gragas,1
Rengar,1
Zac,1
Lee Sin,1
Sejuani,1
Sejuani,1
Skarner,0
Master Yi,1
Vi,0
Sejuani,0
Hecarim,1
Hecarim,1
Lee Sin,0
Kayn,1
Gragas,1
Evelynn,1
Graves,0
Taliyah,0
Lee Sin,0
Sejuani,1
Xin Zhao,1
Nunu & Willump,0
Lee Sin,0
Evelynn,0
Lee Sin,0
Sejuani,0
Zac,0
Kha'Zix,1
Olaf,0
Udyr,0
Olaf,1
Shaco,0
Rek'Sai,1
Sejuani,1
Jarvan IV,1
Nidalee,1
Lee Sin,1
Warwick,1
Nunu & Willump,1
Lee Sin,1
Lee Sin,1
Rengar,0
Zac,0
Evelynn,1
Jax,1
Kindred,0
Kindred,1
Gragas,1
Tryndamere,1
Nunu & Willump,1
Sejuani,0
Nunu & Willump,0
Gragas,1
Kha'Zix,1
Karthus,0
Rengar,1
Rek'Sai,1
Vi,1
Trundle,1
Sejuani,1
Lee Sin,1
Mordekaiser,0
Sylas,1
Rek'Sai,1
Rumble,1
Kindred,1
Olaf,1
Gragas,1
Hecarim,1
Hecarim,1
Sejuani,1
Skarner,1
Sejuani,1
Udyr,1
Hecarim,1
Vi,1
Kindred,1
Evelynn,1
Hecarim,1
Kindred,1
Gragas,0
Karthus,1
Hecarim,1
Lee Sin,1
Hecarim,1
Taliyah,1
Lee Sin,1
Rengar,1
Rengar,1
Elise,1
Taliyah,1
Elise,1
Hecarim,1
Karthus,1
Jax,1
Karthus,1
Evelynn,1
Ekko,1
Hecarim,1
Nidalee,0
Nunu & Willump,1
Warwick,1
Volibear,1
Kha'Zix,1
Skarner,1
Evelynn,1
Nunu & Willump,1
Graves,0
Mordekaiser,0
Kayn,1
Kha'Zix,0
Lee Sin,1
Kha'Zix,1
Elise,1
Nidalee,1
Lee Sin,1
Nunu & Willump,1
Rek'Sai,1
Nidalee,1
Gragas,1
Gragas,1
Taliyah,1
Kayn,1
Xin Zhao,1
Hecarim,1
Lee Sin,1
Sejuani,1
Gragas,1
Rek'Sai,1
Vi,1
Evelynn,0
Rammus,1
Evelynn,1
Rengar,1
Sejuani,0
Jarvan IV,1
Hecarim,1
Kha'Zix,1
Kha'Zix,1
Evelynn,1
Jarvan IV,0
Taliyah,1
Fiddlesticks,1
Fiddlesticks,1
Rek'Sai,1
Elise,1
Xin Zhao,1
Evelynn,1
Taliyah,0
Hecarim,1
Rengar,1
Hecarim,1
Rek'Sai,0
Lee Sin,0
Elise,1
Mordekaiser,1
Kayn,1
Lee Sin,1
Karthus,1
Kayn,1
Kayn,1
Hecarim,1
Twitch,0
Nocturne,1
Karthus,0
Gragas,1
Kayn,0
Jarvan IV,1
Hecarim,1
Jayce,0
Nidalee,0
Elise,1
Ivern,1
Xin Zhao,0
Rek'Sai,0
Kayn,1
Nunu & Willump,1
Gragas,1
Sylas,1
Lee Sin,1
Karthus,1
Sylas,1
Nocturne,0
Elise,1
Twitch,1
Rek'Sai,1
Kindred,1
Karthus,1
Evelynn,1
Gragas,1
Sejuani,1
Nunu & Willump,0
Nidalee,0
Rek'Sai,0
Sejuani,0
Poppy,1
Kayn,1
Lee Sin,1
Xin Zhao,0
Rengar,0
Udyr,1
Kayn,1
Nidalee,1
Evelynn,1
Sejuani,0
Sejuani,1
Shaco,1
Master Yi,1
Vi,1
Evelynn,1
Jarvan IV,1
Rek'Sai,1
Rengar,1
Nidalee,1
Taliyah,1
Sejuani,1
Gragas,1
Gragas,1
Sejuani,1
Graves,1
Mordekaiser,1
Gragas,1
Rek'Sai,1
Gragas,1
Kayn,1
Jarvan IV,1
Xin Zhao,1
Taliyah,1
Taliyah,1
Lee Sin,1
Skarner,1
Lee Sin,1
Sejuani,1
Kindred,1
Gragas,1
Lee Sin,1
Skarner,1
Karthus,0
Lee Sin,1
Graves,1
Elise,1
Rek'Sai,1
Hecarim,1
Lee Sin,1
Kayn,1
Gragas,1
Pantheon,1
Kayn,1
Lee Sin,1
Karthus,1
Taliyah,1
Kindred,1
Sejuani,1
Taliyah,1
Mordekaiser,1
Aatrox,1
Nunu & Willump,1
Sylas,1
Vi,1
Kayn,1
Elise,0
Aatrox,0
Camille,1
Jarvan IV,1
Rek'Sai,1
Lee Sin,1
Kayn,1
Mordekaiser,1
Sejuani,1
Kha'Zix,1
Jarvan IV,1
Lee Sin,0
Rek'Sai,1
Rek'Sai,0
Jarvan IV,1
Lee Sin,0
Evelynn,1
Kha'Zix,1
Olaf,1
Lee Sin,1
Rek'Sai,0
Ivern,1
Rek'Sai,0
Olaf,1
Sejuani,1
Rek'Sai,1
Taliyah,1
Taliyah,1
Gragas,1
Olaf,1
Elise,0
Jarvan IV,0
Olaf,1
Kayn,1
Taliyah,1
Olaf,0
Jarvan IV,1
Lee Sin,1
Rengar,1
Gragas,1
Kayn,1
Elise,1
Jarvan IV,1
Lee Sin,0
Nunu & Willump,1
Nidalee,1
Rengar,1
Sejuani,1
Lee Sin,1
Kayn,1
Jarvan IV,1
Elise,1
Kindred,1
Kindred,1
Sejuani,1
Shaco,1
Poppy,1
Elise,0
Xin Zhao,1
Rammus,1
Elise,1
Lee Sin,1
Olaf,1
Olaf,1
Jax,1
Lee Sin,1
Elise,1
Elise,1
Lee Sin,1
Rek'Sai,0
Sejuani,1
Lee Sin,1
Taliyah,1
Kindred,0
Jarvan IV,1
Kha'Zix,1
Elise,1
Kindred,0
Kindred,1
Skarner,1
Rek'Sai,1
Elise,1
Jax,0
Graves,1
Karthus,1
Xin Zhao,1
Aatrox,0
Karthus,0
Nunu & Willump,1
