jung,result
Graves,0
Kha'Zix,0
Nidalee,0
Evelynn,0
Amumu,0
Lee Sin,0
Lee Sin,0
Lee Sin,0
Xin Zhao,0
Kayn,0
Graves,1
Kayn,1
Gragas,0
Kindred,0
Kayn,0
Udyr,0
Lee Sin,0
Elise,0
Rek'Sai,0
Jarvan IV,0
Kayn,0
Olaf,0
Xin Zhao,1
Kayn,0
Aatrox,1
Taliyah,0
Xin Zhao,0
Aatrox,0
Sejuani,1
Twitch,1
Rengar,1
Taliyah,0
Karthus,0
Rengar,0
Lee Sin,0
Rek'Sai,0
Xin Zhao,1
Hecarim,1
Nunu & Willump,0
Twitch,0
Gragas,0
Jarvan IV,0
Warwick,0
Kha'Zix,0
Lee Sin,0
Shaco,0
Elise,0
Nunu & Willump,0
Rengar,0
Rengar,0
Jarvan IV,0
Graves,1
Hecarim,0
Lee Sin,0
Evelynn,0
Lee Sin,0
Rengar,0
Gragas,0
Lee Sin,0
Kha'Zix,1
Zac,0
Kayn,0
Zac,0
Rengar,0
Gragas,0
Zac,1
Sylas,1
Hecarim,1
Lee Sin,0
Rammus,0
Kindred,0
Cho'Gath,0
Jarvan IV,0
Kha'Zix,0
Skarner,0
Skarner,0
Kayn,1
Kha'Zix,0
Graves,0
Taliyah,1
Zac,0
Lee Sin,0
Kayn,0
Nunu & Willump,1
Rammus,0
Sejuani,0
Skarner,0
Lee Sin,0
Teemo,1
Kayn,0
Sylas,0
Xin Zhao,0
Graves,0
Jarvan IV,0
Hecarim,1
Lee Sin,1
Hecarim,0
Kayn,0
Ekko,1
Vi,0
Sejuani,1
Warwick,1
Jarvan IV,1
Kha'Zix,0
Hecarim,0
Ivern,1
Graves,0
Xin Zhao,0
Sejuani,0
Lee Sin,0
Hecarim,0
Nunu & Willump,0
Hecarim,0
Kayn,0
Xin Zhao,0
Nocturne,0
Xin Zhao,1
Hecarim,0
Lee Sin,0
Rek'Sai,0
Kha'Zix,1
Kha'Zix,0
Sejuani,0
Sejuani,1
Hecarim,1
Kayn,0
Rammus,0
Kha'Zix,0
Kayn,0
Rengar,0
Lee Sin,0
Warwick,0
Elise,0
Rek'Sai,0
Hecarim,0
Karthus,0
Gragas,1
Elise,0
Lee Sin,0
Twisted Fate,0
Lee Sin,1
Lee Sin,1
Hecarim,0
Elise,0
Xin Zhao,0
Nidalee,1
Master Yi,0
Kayn,0
Rek'Sai,0
Kha'Zix,0
Elise,1
Lee Sin,0
Warwick,0
Lee Sin,0
Hecarim,0
Twitch,0
Kha'Zix,0
Mordekaiser,1
Elise,1
Taliyah,0
Kindred,0
Lee Sin,1
Lee Sin,0
Elise,1
