jung,result
Lee Sin,1
Rek'Sai,0
Olaf,0
Lee Sin,0
Sejuani,1
Lee Sin,1
Elise,1
Nunu & Willump,0
Aatrox,1
Elise,0
Kayn,1
Aatrox,0
Kindred,0
Lee Sin,1
Nidalee,1
Karthus,1
Kayn,0
Rek'Sai,0
Olaf,0
Rek'Sai,0
Karthus,0
Xin Zhao,0
Evelynn,0
Rek'Sai,0
Lee Sin,1
Olaf,0
Elise,1
Aatrox,1
Rek'Sai,1
Aatrox,0
Kindred,0
Kindred,0
Kayn,0
Lee Sin,0
Lee Sin,0
Rek'Sai,0
Lee Sin,0
Kha'Zix,1
Camille,0
Evelynn,0
Rek'Sai,0
Elise,0
Lee Sin,0
Urgot,0
Kayn,0
Rek'Sai,1
Taliyah,0
Lee Sin,0
Rek'Sai,0
Aatrox,1
Xin Zhao,1
Olaf,0
Lee Sin,0
Xin Zhao,0
Elise,0
Sejuani,0
Evelynn,0
Olaf,0
Aatrox,0
Rek'Sai,0
Xin Zhao,0
Olaf,0
Rek'Sai,1
Olaf,0
Kindred,0
Sejuani,0
Kindred,0
Kai'Sa,0
Aatrox,0
Kayn,0
Elise,0
Aatrox,1
Sejuani,1
Lee Sin,0
Sejuani,0
Sylas,0
Rek'Sai,1
Lee Sin,1
Rammus,0
Taliyah,0
Rek'Sai,0
Xin Zhao,0
Warwick,0
Elise,0
Olaf,1
Lee Sin,0
Xin Zhao,0
Rek'Sai,0
Sejuani,0
Lee Sin,0
Jarvan IV,1
Shaco,0
Kayn,0
Sejuani,0
Hecarim,1
Graves,1
Evelynn,0
Kindred,0
Kayn,1
Aatrox,0
Kha'Zix,0
Master Yi,1
Rammus,0
Hecarim,0
Lee Sin,0
Jarvan IV,0
Evelynn,0
Sejuani,0
Hecarim,0
Kai'Sa,0
Hecarim,0
Nidalee,0
Kindred,0
Lee Sin,0
Xin Zhao,1
Olaf,0
Jarvan IV,0
Karthus,0
Nidalee,0
Hecarim,0
Sejuani,0
Trundle,0
Sejuani,1
Lee Sin,0
Kindred,1
Nocturne,0
Evelynn,0
Lee Sin,0
Kayn,0
Pyke,0
Rammus,1
Kayn,0
Jax,0
Karthus,0
Sejuani,0
Sylas,0
Camille,0
Volibear,0
Taliyah,0
Xin Zhao,1
Lee Sin,0
Sejuani,0
Master Yi,0
Nidalee,0
Lee Sin,0
Taliyah,0
Kayn,0
Jarvan IV,0
Taliyah,0
Lee Sin,0
Kayn,0
Rek'Sai,0
Rek'Sai,0
Kha'Zix,1
Lee Sin,0
Elise,0
Elise,0
Karthus,1
Lee Sin,0
Kha'Zix,0
Vi,1
Lee Sin,1
Hecarim,0
Elise,0
Fiddlesticks,0
Kindred,1
Shaco,0
Sejuani,0
Kindred,0
Lee Sin,0
Graves,0
Kindred,0
Lee Sin,0
Kindred,0
Elise,1
Jarvan IV,0
Olaf,0
Hecarim,0
Aatrox,0
Evelynn,0
Hecarim,0
Graves,1
Warwick,0
Olaf,1
Gragas,1
Kayn,1
Nunu & Willump,1
Lee Sin,1
Gragas,1
Aatrox,1
Trundle,1
Kindred,1
Sejuani,0
Kindred,1
Taliyah,1
Olaf,1
Xin Zhao,1
Olaf,1
Olaf,1
Sejuani,0
Sejuani,1
Graves,0
Olaf,0
Lee Sin,1
Olaf,1
Rek'Sai,0
Lee Sin,0
Kindred,1
Taliyah,1
Jax,0
Aatrox,1
Elise,1
Olaf,1
Kayn,1
Olaf,1
Kayn,1
Elise,0
Aatrox,0
Aatrox,1
Xin Zhao,1
Olaf,0
Lee Sin,1
Jarvan IV,1
Kindred,1
Sejuani,0
Graves,0
Kindred,1
Kindred,1
Kha'Zix,1
Kai'Sa,0
Elise,1
Rek'Sai,1
Olaf,1
Fiddlesticks,1
Karthus,1
Lee Sin,0
Rek'Sai,1
Aatrox,0
Hecarim,1
Nidalee,1
Sejuani,1
Lee Sin,1
Skarner,1
Rek'Sai,0
Kai'Sa,1
Sejuani,1
Kindred,1
Aatrox,0
Karthus,1
Sejuani,1
Olaf,0
Rek'Sai,1
Kayn,1
Karthus,1
Aatrox,1
Aatrox,0
Nidalee,1
Lee Sin,1
Gragas,1
Kha'Zix,1
Sejuani,1
Hecarim,0
Lee Sin,1
Evelynn,0
Karthus,1
Kayn,1
Heimerdinger,0
Lee Sin,0
Rengar,1
Xin Zhao,1
Evelynn,1
Evelynn,1
Elise,0
Hecarim,1
Jarvan IV,1
Elise,1
Sejuani,1
Camille,1
Kayn,1
Aatrox,1
Hecarim,1
Skarner,1
Xin Zhao,1
Kayn,1
Xin Zhao,1
Kayn,1
Gragas,1
Lee Sin,1
Diana,1
Poppy,1
Elise,1
Lee Sin,1
Hecarim,1
Camille,1
Lee Sin,1
Volibear,0
Gragas,1
Olaf,1
Elise,1
Rengar,1
Xin Zhao,0
Sylas,1
Gragas,1
Kha'Zix,1
Olaf,1
Elise,1
Aatrox,1
Rengar,0
Sejuani,1
Hecarim,1
Hecarim,1
Sejuani,1
Sejuani,1
Aatrox,0
Fiddlesticks,0
Mordekaiser,1
Karthus,1
Mordekaiser,1
Kindred,0
Master Yi,1
Graves,1
Urgot,1
Ivern,1
Evelynn,1
Sejuani,0
Gragas,1
Lee Sin,1
Sejuani,1
Lee Sin,1
Gragas,0
Aatrox,1
Jarvan IV,1
Rek'Sai,1
Rek'Sai,0
Xin Zhao,1
Karthus,0
Lee Sin,0
Lee Sin,1
Lee Sin,1
Lee Sin,1
Skarner,1
Taliyah,0
Taliyah,0
Hecarim,1
Lee Sin,1
Gragas,1
Lee Sin,1
Taliyah,1
Lee Sin,1
Kayn,1
Sejuani,1
Lee Sin,1
Zac,1
Zac,1
Rengar,1
Jarvan IV,0
Lee Sin,1
Rengar,1
Gragas,1
Sejuani,1
Mordekaiser,1
Lee Sin,1
Kayn,1
Kha'Zix,1
Elise,1
Jax,0
Karthus,1
Lee Sin,1
Rek'Sai,1
Kha'Zix,1
Rengar,1
Kha'Zix,1
Graves,1
Master Yi,1
