jung,result
Rek'Sai,0
Rek'Sai,1
Kayn,0
Nidalee,0
Xin Zhao,0
Xin Zhao,0
Olaf,0
Lee Sin,1
Gragas,0
Elise,0
Lee Sin,1
Trundle,0
Taliyah,0
Rek'Sai,0
Elise,1
Karthus,0
Elise,0
Lee Sin,0
Sejuani,1
Nidalee,0
Sejuani,0
Gragas,0
Sejuani,0
Kha'Zix,0
Sejuani,0
Sejuani,0
Rek'Sai,1
Sejuani,0
Kha'Zix,0
Taliyah,0
Sejuani,0
Elise,0
Sejuani,0
Elise,0
Sejuani,0
Olaf,0
Kayn,0
Nidalee,0
Sejuani,0
Kayn,0
Elise,0
Sejuani,0
Taliyah,1
Sejuani,0
Sejuani,1
Xin Zhao,1
Nidalee,0
Gragas,0
Kayn,0
Rek'Sai,0
Sejuani,0
Taliyah,0
Xin Zhao,0
Sejuani,0
Sejuani,0
Sejuani,1
Kayn,0
Kayn,1
Olaf,0
Kha'Zix,0
Taliyah,0
Nidalee,1
Sejuani,0
Sejuani,0
Kayn,1
Nidalee,0
Elise,1
Sejuani,1
Gragas,0
Elise,0
Sejuani,0
Lee Sin,1
Olaf,0
Fiddlesticks,1
Sejuani,1
Rek'Sai,0
Karthus,1
Udyr,0
Kayn,0
Sejuani,0
Trundle,0
Evelynn,0
Rengar,0
Xin Zhao,0
Rek'Sai,0
Elise,0
Lee Sin,1
Kindred,0
Sejuani,0
Mordekaiser,1
Evelynn,0
Elise,1
Rammus,0
Elise,0
Lee Sin,0
Evelynn,0
Xin Zhao,0
Elise,0
Nidalee,1
Gragas,0
Elise,0
Camille,0
Xin Zhao,1
Elise,0
Olaf,0
Ryze,0
Jarvan IV,0
Kha'Zix,0
Gragas,0
Elise,0
Kha'Zix,0
Fiddlesticks,0
Nocturne,0
Kha'Zix,0
Lee Sin,0
Karthus,0
Vi,0
Kindred,0
Rengar,0
Kayn,0
Kha'Zix,1
Sejuani,0
Karthus,0
Lee Sin,0
Sejuani,0
Sejuani,0
Sylas,0
Sejuani,1
Sejuani,1
Kha'Zix,0
Elise,1
Lee Sin,0
Xin Zhao,0
Sejuani,0
Sejuani,0
Karthus,1
Lee Sin,0
Gragas,0
Lee Sin,0
Lee Sin,0
Ivern,1
Hecarim,0
Rek'Sai,0
Nocturne,1
Rek'Sai,0
Kindred,0
Zac,0
Gragas,1
Rek'Sai,0
Lee Sin,0
Evelynn,1
Sejuani,0
Hecarim,0
Kha'Zix,1
Elise,0
Sejuani,0
Sion,0
Kha'Zix,0
Evelynn,1
Sejuani,0
Shaco,0
Rek'Sai,0
Karthus,0
Lee Sin,0
Taliyah,0
Camille,0
Kha'Zix,0
Lee Sin,0
Karthus,1
Sejuani,0
Karthus,1
Sejuani,0
Nidalee,1
Shaco,1
Sejuani,1
Lee Sin,0
Sejuani,0
Nidalee,1
Kayn,0
Gragas,0
Rek'Sai,0
Sejuani,0
Shaco,0
Evelynn,0
Sejuani,0
Sejuani,0
Evelynn,0
Lee Sin,0
Taliyah,0
Kayn,0
Lee Sin,0
Gragas,0
Kha'Zix,0
Elise,0
Camille,0
Kha'Zix,0
Elise,0
Kindred,0
Gragas,0
Kindred,0
Vi,0
Sejuani,1
Camille,0
Tahm Kench,0
Elise,0
Nocturne,0
Aatrox,0
Evelynn,1
Gragas,1
Elise,0
Jarvan IV,0
Sejuani,0
Kha'Zix,1
Sejuani,0
Nunu & Willump,0
Sejuani,1
Sejuani,0
Sejuani,0
Taliyah,1
Lee Sin,0
Sejuani,1
Lee Sin,0
Ivern,0
Rengar,0
Sylas,0
Elise,0
Karthus,0
Sejuani,0
Hecarim,0
Sejuani,0
Evelynn,1
Elise,0
Rumble,0
Vi,0
Karthus,0
Sejuani,0
Taliyah,0
Lee Sin,0
Lee Sin,0
Kindred,0
Evelynn,0
Gragas,0
Ivern,0
Elise,0
Elise,0
Kindred,0
Karthus,0
Elise,0
Lee Sin,0
Urgot,1
Sejuani,0
Hecarim,1
Lee Sin,1
Hecarim,1
Sejuani,1
Elise,1
Kayn,1
Nidalee,1
Taliyah,1
Taliyah,0
Nidalee,1
Karthus,1
Mordekaiser,1
Karthus,1
Sejuani,1
Sejuani,0
Gragas,1
Olaf,1
Sejuani,1
Lee Sin,1
Gragas,1
Elise,1
Elise,1
Taliyah,1
Taliyah,1
Sejuani,1
Gragas,0
Sejuani,1
Kindred,1
Kai'Sa,1
Rek'Sai,1
Nidalee,1
Elise,1
Taliyah,1
Sejuani,0
Sejuani,0
Sejuani,1
Lee Sin,1
Sejuani,1
Taliyah,1
Mordekaiser,0
Elise,0
Elise,1
Kai'Sa,1
Elise,1
Taliyah,1
Rek'Sai,0
Sejuani,1
Elise,1
Karthus,0
Kha'Zix,1
Sejuani,1
Sejuani,1
Nidalee,1
Sejuani,1
Sejuani,1
Karthus,1
Taliyah,1
