jung,result
Kindred,0
Vi,0
Kha'Zix,0
Nidalee,0
Lee Sin,0
Lee Sin,0
Karthus,0
Xin Zhao,0
Gragas,0
Lee Sin,0
Xin Zhao,1
Gragas,1
Rek'Sai,0
Olaf,0
Kayn,0
Olaf,0
Graves,0
Nidalee,0
Rek'Sai,0
Nidalee,0
Sejuani,0
Nidalee,1
Olaf,1
Gragas,0
Lee Sin,0
Taliyah,0
Lee Sin,0
Rek'Sai,0
Skarner,0
Xin Zhao,1
Kha'Zix,0
Lee Sin,0
Zac,1
Aatrox,1
Aatrox,0
Rengar,0
Rek'Sai,0
Olaf,0
Olaf,0
Rek'Sai,0
Kayn,0
Olaf,0
Olaf,0
Rek'Sai,0
Sejuani,1
Olaf,0
Sejuani,1
Kha'Zix,0
Olaf,0
Nidalee,0
Lee Sin,0
Hecarim,0
Sejuani,0
Xin Zhao,1
Kai'Sa,1
Lee Sin,1
Lee Sin,0
Kindred,0
Elise,0
Rek'Sai,0
Kayn,0
Nunu & Willump,0
Kayn,0
Urgot,0
Olaf,0
Aatrox,0
Aatrox,0
Sylas,0
Evelynn,1
Karthus,0
Sejuani,1
Karthus,0
Lee Sin,0
Nidalee,0
Aatrox,1
Nidalee,0
Sejuani,0
Taliyah,0
Lee Sin,0
Karthus,0
Aatrox,0
Karthus,0
Rengar,0
Olaf,1
Rek'Sai,0
Nocturne,0
Rek'Sai,0
Olaf,0
Olaf,0
Nocturne,0
Kindred,0
Hecarim,0
Kayn,1
Taliyah,0
Jarvan IV,0
Kayn,0
Kha'Zix,0
Zac,0
Kha'Zix,0
Nunu & Willump,0
Zac,0
Jax,0
Shaco,1
Rengar,1
Rek'Sai,0
Sejuani,0
Kha'Zix,0
Sylas,0
Sejuani,0
Nunu & Willump,0
Rek'Sai,0
Sylas,0
Skarner,0
Aatrox,1
Nocturne,0
Nidalee,0
Sejuani,0
Kayn,0
Lee Sin,0
Jarvan IV,0
Kindred,1
Lee Sin,0
Cho'Gath,1
Shaco,0
Evelynn,0
Elise,1
Trundle,0
Rengar,1
Vi,0
Kha'Zix,0
Nunu & Willump,1
Jarvan IV,1
Kayn,0
Rek'Sai,0
Hecarim,0
Sejuani,0
Rek'Sai,0
Olaf,0
Shaco,1
Nunu & Willump,0
Rek'Sai,1
Kayn,0
Sejuani,0
Evelynn,0
Sejuani,1
Elise,0
Sejuani,0
Kayn,1
Olaf,0
Rammus,0
Kayn,0
Warwick,0
Gragas,1
Lee Sin,0
Lee Sin,0
Sejuani,0
Kayn,0
Vi,0
Lee Sin,1
Nunu & Willump,0
Jarvan IV,1
Vi,0
Rengar,0
Lee Sin,0
Kayn,1
Master Yi,0
Jarvan IV,0
Fiddlesticks,0
Lee Sin,0
Kha'Zix,0
Gragas,0
Taliyah,0
Taliyah,0
Rek'Sai,1
Shyvana,0
Elise,0
Nocturne,0
Kindred,0
Kayn,0
Olaf,0
Kha'Zix,0
Lee Sin,0
Kayn,1
Fiddlesticks,0
Gragas,1
Jarvan IV,0
Rek'Sai,0
Elise,0
Zac,0
Gragas,0
Rengar,0
Rek'Sai,0
Jarvan IV,0
Nunu & Willump,0
Elise,0
Taliyah,0
Aatrox,0
Karthus,0
Rengar,0
Rek'Sai,0
Kindred,0
Vi,0
Rek'Sai,0
Sejuani,0
Elise,1
Rek'Sai,0
Xin Zhao,0
Ezreal,0
Kayn,1
Jarvan IV,1
Kayn,1
Lee Sin,1
Lee Sin,1
Poppy,0
Taliyah,1
Gragas,1
Sylas,1
Xin Zhao,1
Sejuani,1
Lee Sin,1
Rammus,1
Lee Sin,0
Taliyah,1
Olaf,1
Sejuani,1
Olaf,1
Camille,1
Lee Sin,1
Kayn,1
Kha'Zix,0
Lee Sin,1
Elise,1
Sejuani,1
Lee Sin,0
Taliyah,1
Olaf,1
Kha'Zix,1
Gragas,1
Taliyah,1
Nidalee,1
Lee Sin,1
Lee Sin,1
Kindred,1
Olaf,1
Lee Sin,0
Lee Sin,1
Lee Sin,1
Olaf,1
Aatrox,1
Xin Zhao,1
Lee Sin,1
Nidalee,1
Rek'Sai,1
Elise,1
Sylas,1
Kayn,0
Kha'Zix,1
Elise,0
Taliyah,1
Lee Sin,1
Sylas,1
Elise,1
Graves,0
Sylas,0
Lee Sin,1
Kayn,1
Lee Sin,1
Aatrox,0
Gragas,1
Olaf,1
Sejuani,1
Aatrox,1
Rek'Sai,1
Olaf,0
Olaf,1
Rek'Sai,1
Graves,1
Kindred,0
Kindred,1
Kayn,0
Sejuani,0
Taliyah,1
Olaf,0
Rek'Sai,0
Sejuani,1
Xin Zhao,1
Elise,0
Kayn,1
Olaf,1
Sejuani,1
Xin Zhao,0
Kayn,1
Lee Sin,1
Kindred,1
Hecarim,1
Kayn,1
Lee Sin,1
Lee Sin,1
Lee Sin,1
Kayn,1
Karthus,1
Graves,1
Gragas,1
Nocturne,1
Gragas,0
Kayn,1
Sejuani,1
Karthus,1
Gragas,1
Rek'Sai,1
Mordekaiser,1
Hecarim,1
Xin Zhao,0
Shaco,1
Nunu & Willump,1
Shaco,0
Poppy,1
Jarvan IV,1
Kha'Zix,1
Lee Sin,1
Rek'Sai,0
Lee Sin,0
Jarvan IV,1
Rek'Sai,1
Jax,1
Ryze,1
Master Yi,1
Skarner,0
Lee Sin,0
Kayn,1
Elise,0
Aatrox,1
Graves,1
Ekko,1
Evelynn,1
Gragas,1
Ryze,0
Sejuani,1
Rek'Sai,1
Rammus,0
Graves,1
Lee Sin,1
Kindred,0
Xin Zhao,0
Zac,1
Rek'Sai,1
Sejuani,1
Olaf,1
Rek'Sai,1
Vi,1
Sejuani,1
Hecarim,0
Graves,0
Kayn,1
Kha'Zix,1
Volibear,1
Vi,1
Gragas,1
Olaf,0
Evelynn,1
Xin Zhao,0
Elise,1
Sejuani,1
Rengar,1
Master Yi,1
Warwick,1
Sejuani,1
Sejuani,1
Gragas,0
Kayn,1
Shyvana,1
Fiddlesticks,1
Vi,1
Kayn,0
Hecarim,1
Rek'Sai,1
Shaco,1
Hecarim,1
Kayn,1
Master Yi,1
Kayn,1
Hecarim,1
Kindred,1
Kha'Zix,0
Rengar,1
Evelynn,1
Skarner,1
Lee Sin,1
Olaf,1
Mordekaiser,1
Hecarim,0
Rek'Sai,1
Olaf,0
Aatrox,0
Kha'Zix,1
Sejuani,1
Jarvan IV,1
Karthus,0
Sylas,0
Olaf,0
Lee Sin,1
Sejuani,1
Elise,0
Sejuani,1
Lee Sin,1
Rek'Sai,1
Jarvan IV,1
Lee Sin,1
Rek'Sai,0
Hecarim,1
Sejuani,1
Nunu & Willump,1
Vi,1
Kha'Zix,1
Kha'Zix,1
Elise,0
Rek'Sai,1
Zac,0
