jung,result
Elise,0
Nunu & Willump,0
Jarvan IV,0
Jarvan IV,0
Lee Sin,0
Karthus,0
Shaco,0
Hecarim,0
Lee Sin,1
Jarvan IV,0
Elise,0
Kha'Zix,0
Elise,1
Kha'Zix,0
Lee Sin,0
Kindred,0
Kayn,0
Rek'Sai,0
Kayn,0
Sejuani,0
Lee Sin,0
Karthus,0
Elise,0
Graves,0
Evelynn,0
Kayn,0
Sylas,1
Lee Sin,0
Xin Zhao,0
Kayn,1
Riven,0
Elise,1
Nidalee,0
Cho'Gath,0
Olaf,0
Lee Sin,1
Olaf,0
Evelynn,0
Lee Sin,1
Olaf,0
Taliyah,0
Ekko,0
Kindred,0
Karthus,0
Skarner,0
Aatrox,0
Elise,1
Lee Sin,0
Rek'Sai,0
Jarvan IV,1
Lee Sin,0
Lee Sin,0
Kayn,0
Xin Zhao,0
Olaf,0
Rek'Sai,0
Kayn,0
Olaf,0
Kayn,0
Elise,0
Olaf,1
Nocturne,0
Karthus,0
Xin Zhao,1
Vi,0
Kayn,0
Jarvan IV,0
Rek'Sai,1
Lee Sin,0
Sejuani,1
Evelynn,1
Rek'Sai,1
Lee Sin,0
Lee Sin,0
Kha'Zix,0
Xin Zhao,1
Taliyah,1
Nidalee,0
Lee Sin,0
Kayn,0
Taliyah,0
Lee Sin,0
Rek'Sai,0
Elise,0
Elise,0
Trundle,1
Sejuani,0
Zac,1
Jarvan IV,0
Taliyah,0
Sejuani,1
Kai'Sa,0
Shyvana,0
Lee Sin,1
Lee Sin,0
Olaf,0
Olaf,0
Lee Sin,0
Xin Zhao,0
Rek'Sai,0
Nunu & Willump,1
Hecarim,0
Lee Sin,0
Kayn,0
Nunu & Willump,0
Kindred,0
Jarvan IV,0
Jarvan IV,1
Rek'Sai,0
Amumu,0
Kha'Zix,0
Lee Sin,0
Lee Sin,0
Warwick,0
Sejuani,0
Sejuani,0
Hecarim,0
Jax,0
Taliyah,0
Elise,1
Poppy,1
Gragas,0
Mordekaiser,0
Rek'Sai,1
Sejuani,1
Elise,0
Olaf,0
Mordekaiser,0
Elise,0
Nocturne,0
Kayn,0
Kindred,0
Jarvan IV,0
Elise,0
Olaf,0
Sejuani,1
Lee Sin,0
Shyvana,0
Sejuani,0
Rengar,0
Olaf,0
Lee Sin,1
Sejuani,0
Graves,1
Gragas,0
Olaf,0
Sejuani,0
Lee Sin,1
Hecarim,0
Kindred,1
Riven,0
Olaf,1
Elise,0
Xin Zhao,0
Kayn,0
Lee Sin,0
Kayn,0
Xin Zhao,0
Lee Sin,0
Sejuani,0
Ivern,1
Kindred,0
Jarvan IV,0
Hecarim,0
Lee Sin,0
Elise,0
Hecarim,0
Karthus,0
Xin Zhao,1
Tahm Kench,0
Urgot,0
Lee Sin,0
Kayn,0
Nidalee,0
Warwick,1
Jax,0
Lee Sin,0
Master Yi,0
Gragas,0
Hecarim,0
Evelynn,0
Nocturne,0
Rammus,0
Lee Sin,0
Sejuani,0
Lee Sin,0
Kindred,0
Kha'Zix,0
Lee Sin,0
Olaf,0
Nunu & Willump,0
Kindred,0
Master Yi,0
Amumu,1
Sejuani,0
Rek'Sai,1
Nunu & Willump,0
Xin Zhao,0
Xin Zhao,0
Mordekaiser,0
Evelynn,0
Jarvan IV,0
Rek'Sai,0
Kha'Zix,0
Jarvan IV,0
Tryndamere,0
Jax,0
Hecarim,1
Kindred,0
Vi,0
Elise,1
Hecarim,0
Kha'Zix,0
Skarner,0
Rengar,0
Rek'Sai,0
Hecarim,0
Urgot,0
Karthus,0
Nocturne,0
Mordekaiser,1
Kayn,1
Hecarim,0
Sejuani,1
Hecarim,0
Taliyah,1
Lee Sin,1
Sejuani,0
Elise,0
Kai'Sa,0
Sejuani,0
Karthus,0
Lee Sin,0
Hecarim,0
Master Yi,0
Hecarim,0
Kha'Zix,0
Rammus,0
Hecarim,1
Kayn,0
Kindred,0
Evelynn,0
Rengar,0
Jarvan IV,0
Rek'Sai,0
Sejuani,1
Master Yi,0
Rengar,0
Graves,0
Rek'Sai,0
Hecarim,0
Kayn,0
Nidalee,0
Lee Sin,1
Elise,1
Kha'Zix,0
Rengar,0
Kha'Zix,0
Kindred,0
Jarvan IV,0
Evelynn,0
Sejuani,0
Graves,0
Rek'Sai,0
Kindred,1
Lee Sin,0
Kha'Zix,0
Lee Sin,0
Evelynn,0
Kindred,0
Poppy,0
Elise,0
Gragas,1
Jarvan IV,0
Jarvan IV,0
Lee Sin,1
Kayn,0
Sylas,0
Trundle,0
Lee Sin,1
Karthus,0
Lee Sin,0
Kayn,0
Nidalee,0
Sejuani,1
Lee Sin,0
Gragas,0
Gragas,0
Kayn,0
Kha'Zix,0
Rengar,1
Kindred,0
Lee Sin,0
Vi,1
Sejuani,0
Shyvana,0
Sylas,0
Hecarim,0
Sejuani,0
Lee Sin,0
Sejuani,0
Nidalee,0
Elise,1
Gragas,1
Kayn,0
Kayn,1
Hecarim,1
Karthus,1
Kha'Zix,0
Hecarim,1
Jarvan IV,1
Jarvan IV,1
Kayn,0
Elise,1
Xin Zhao,1
Elise,1
Sejuani,1
Lee Sin,1
Lee Sin,1
Fiddlesticks,0
Sylas,1
Olaf,1
Xin Zhao,0
Sejuani,0
Rek'Sai,1
Kha'Zix,1
Gragas,0
Elise,1
Olaf,1
Rek'Sai,1
Xin Zhao,1
Kayn,1
Olaf,1
Taliyah,1
Gragas,1
Kai'Sa,1
Rammus,1
Rammus,0
Kai'Sa,1
Sejuani,1
Olaf,1
Kayn,1
Xin Zhao,0
Kayn,1
Aatrox,1
Elise,1
Taliyah,1
Kha'Zix,1
Rek'Sai,1
Kha'Zix,1
Lee Sin,1
Elise,1
Evelynn,1
Nocturne,1
Volibear,1
Lee Sin,1
Kayn,0
Rek'Sai,1
Lee Sin,1
Rek'Sai,1
Olaf,1
Skarner,1
Sylas,1
Lee Sin,1
Kindred,1
Elise,1
Kayn,0
Kayn,0
Lee Sin,1
Elise,1
Lee Sin,1
Jarvan IV,1
Lee Sin,1
Sejuani,1
Kindred,1
Rek'Sai,0
Kha'Zix,1
