jung,result
Lee Sin,0
Kha'Zix,0
Zac,1
Rek'Sai,0
Lee Sin,0
Rammus,0
Evelynn,0
Olaf,0
Elise,1
Lee Sin,0
Sejuani,0
Lee Sin,0
Rek'Sai,0
Lee Sin,0
Olaf,0
Lee Sin,0
Lee Sin,0
Olaf,0
Aatrox,0
Aatrox,1
Pantheon,0
Rek'Sai,0
Olaf,1
Gragas,0
Sejuani,0
Lee Sin,0
Kayn,1
Taliyah,1
Xin Zhao,0
Kayn,0
Elise,1
Rammus,1
Rammus,0
Lee Sin,0
Taliyah,1
Jax,1
Olaf,0
Olaf,0
Olaf,0
Olaf,0
Olaf,0
Kindred,1
Rek'Sai,0
Jarvan IV,0
Sejuani,1
Rek'Sai,0
Sejuani,0
Olaf,0
Nidalee,0
Olaf,0
Elise,0
Taliyah,0
Olaf,0
Nidalee,0
Lee Sin,0
Aatrox,0
Lee Sin,0
Sejuani,1
Kayn,0
Lee Sin,0
Sejuani,0
Kindred,0
Taliyah,0
Olaf,0
Lee Sin,0
Nidalee,0
Taliyah,1
Kai'Sa,1
Aatrox,1
Xin Zhao,0
Kindred,0
Sejuani,0
Kayn,0
Lee Sin,0
Olaf,1
Lee Sin,0
Nidalee,0
Xin Zhao,0
Rek'Sai,0
Sejuani,0
Xin Zhao,0
Taliyah,0
Lee Sin,0
Hecarim,0
Sejuani,0
Kayn,1
Olaf,1
Lee Sin,0
Olaf,1
Rek'Sai,0
Kindred,0
Kindred,0
Elise,0
Kindred,0
Amumu,1
Hecarim,1
Jarvan IV,0
Jarvan IV,0
Evelynn,0
Hecarim,0
Lee Sin,0
Elise,1
Rengar,0
Lee Sin,1
Shyvana,0
Skarner,0
Fiddlesticks,0
Kayn,0
Sejuani,0
Hecarim,0
Hecarim,0
Rengar,0
Master Yi,0
Aatrox,0
Kindred,0
Rek'Sai,0
Lee Sin,0
Jarvan IV,0
Xin Zhao,0
Twitch,0
Rengar,1
Rengar,0
Zac,0
Sejuani,0
Sejuani,0
Xin Zhao,0
Rek'Sai,0
Lee Sin,0
Rengar,1
Xin Zhao,0
Jarvan IV,0
Kayn,0
Kayn,0
Jarvan IV,1
Amumu,0
Nunu & Willump,0
Amumu,0
Kayn,1
Skarner,0
Elise,0
Warwick,0
Kayn,1
Jax,1
Rek'Sai,0
Hecarim,0
Hecarim,0
Lee Sin,0
Ivern,1
Rengar,0
Lee Sin,0
Lee Sin,1
Camille,0
Gragas,0
Xin Zhao,0
Xin Zhao,0
Kindred,0
Nidalee,0
Karthus,0
Rengar,1
Kha'Zix,1
Gragas,0
Kled,0
Zac,0
Gragas,1
Evelynn,0
Jarvan IV,0
Rengar,0
Hecarim,0
Lee Sin,0
Mordekaiser,1
Hecarim,1
Skarner,0
Rek'Sai,0
Jarvan IV,0
Urgot,0
Jarvan IV,0
Cho'Gath,0
Taliyah,0
Sejuani,0
Lee Sin,0
Kha'Zix,0
Elise,0
Gragas,0
Aatrox,0
Graves,0
Gragas,0
Amumu,0
Lee Sin,0
Lee Sin,0
Olaf,1
Kha'Zix,0
Xin Zhao,0
Volibear,0
Shaco,0
Lee Sin,0
Elise,0
Vi,0
Skarner,0
Elise,0
Evelynn,0
Rek'Sai,0
Elise,0
Graves,0
Shyvana,0
Kayn,0
Vi,0
Taliyah,0
Sejuani,0
Sejuani,1
Amumu,0
Hecarim,1
Lee Sin,0
Rengar,0
Kindred,1
Sejuani,0
Nunu & Willump,1
Hecarim,1
Nocturne,1
Aatrox,1
Elise,1
Sejuani,1
Kindred,1
Elise,1
Karthus,1
Kayn,1
Karthus,0
Kindred,1
Rek'Sai,1
Sejuani,1
Kha'Zix,1
Gragas,1
Taliyah,1
Nocturne,1
Elise,1
Elise,0
Nidalee,0
Taliyah,1
Elise,0
Kindred,1
Lee Sin,0
Kayn,0
Kindred,1
Kindred,1
Gragas,1
Lee Sin,1
Nidalee,1
Jarvan IV,1
Lee Sin,1
Karthus,1
Kindred,1
Sejuani,1
Kha'Zix,1
Sejuani,1
Lee Sin,1
Lee Sin,1
Jarvan IV,1
Aatrox,1
Lee Sin,0
Lee Sin,1
Jarvan IV,1
Kayn,1
Xin Zhao,0
Rek'Sai,1
Olaf,1
Olaf,1
Kha'Zix,1
Nidalee,1
Aatrox,1
Elise,1
Sejuani,1
Fiddlesticks,1
Rek'Sai,0
Kha'Zix,1
Lee Sin,0
Lee Sin,0
Lee Sin,1
Taliyah,1
Olaf,1
Lee Sin,1
Lee Sin,1
Taliyah,1
Lee Sin,0
Rek'Sai,1
Kha'Zix,1
Kayn,0
Nidalee,1
Lee Sin,0
Sejuani,1
Sejuani,1
Elise,1
Sejuani,1
Kayn,1
Kayn,1
Rammus,1
Hecarim,1
Jax,0
Shyvana,1
Sejuani,0
Kha'Zix,1
Shaco,0
Volibear,1
Vi,1
Olaf,0
Rammus,1
Rek'Sai,0
Kha'Zix,1
Xin Zhao,0
Kha'Zix,0
Lee Sin,0
Rek'Sai,1
Pyke,1
Rek'Sai,1
Xin Zhao,1
Olaf,1
Sejuani,1
Lee Sin,0
Sejuani,1
Rek'Sai,1
Lee Sin,0
