jung,result
Fiddlesticks,1
Elise,1
Graves,0
Kindred,1
Nunu & Willump,0
Kha'Zix,0
Elise,0
Kindred,0
Kayn,0
Nidalee,0
Kindred,0
Elise,0
Karthus,0
Kha'Zix,0
Nidalee,0
Lee Sin,0
Gragas,1
Kindred,1
Elise,0
Taliyah,0
Olaf,1
Rek'Sai,0
Sejuani,0
Evelynn,0
Lee Sin,0
Lee Sin,0
Lee Sin,1
Lee Sin,0
Taliyah,0
Rek'Sai,0
Kindred,0
Elise,0
Elise,0
Lee Sin,0
Sejuani,0
Sejuani,1
Lee Sin,0
Nidalee,0
Lee Sin,1
Nidalee,0
Elise,0
Kai'Sa,0
Gragas,0
Sejuani,1
Taliyah,0
Olaf,1
Kindred,0
Elise,0
Elise,0
Zac,1
Graves,1
Ivern,0
Sejuani,0
Lee Sin,0
Nidalee,0
Karthus,1
Gragas,0
Kayn,0
Jarvan IV,0
Xin Zhao,1
Zac,0
Skarner,0
Elise,1
Sejuani,0
Evelynn,0
Elise,0
Kha'Zix,0
Kayn,0
Jarvan IV,0
Rengar,1
Elise,0
Elise,0
Hecarim,0
Lee Sin,0
Aatrox,1
Master Yi,0
Kindred,0
Evelynn,0
Kayn,0
Kayn,1
Elise,0
Taliyah,0
Nidalee,0
Olaf,0
Jarvan IV,0
Gragas,1
Nidalee,0
Evelynn,1
Sejuani,0
Gragas,0
Poppy,0
Karthus,1
Karthus,1
Gragas,0
Sejuani,0
Xin Zhao,0
Wukong,1
Rammus,0
Zac,1
Kayn,0
Aatrox,0
Elise,1
Jarvan IV,0
Elise,1
Xin Zhao,0
Nidalee,1
Shyvana,1
Evelynn,0
Elise,0
Karthus,0
Shyvana,0
Mordekaiser,0
Lee Sin,0
Hecarim,0
Nunu & Willump,0
Gragas,0
Volibear,0
Taliyah,0
Riven,0
Lee Sin,0
Sejuani,0
Evelynn,0
Lee Sin,0
Evelynn,0
Kindred,0
Lee Sin,1
Gragas,0
Karthus,0
Ivern,0
Nunu & Willump,1
Elise,0
Elise,0
Jarvan IV,1
Hecarim,0
Nocturne,0
Kayn,0
Master Yi,0
Camille,0
Master Yi,0
Karthus,0
Master Yi,0
Kha'Zix,0
Rek'Sai,0
Kha'Zix,0
Vi,0
Jarvan IV,0
Karthus,0
Nidalee,0
Evelynn,0
Skarner,0
Sejuani,1
Taliyah,0
Taliyah,0
Karthus,0
Trundle,0
Karthus,0
Lee Sin,0
Shyvana,0
Hecarim,0
Skarner,0
Xin Zhao,0
Lee Sin,0
Ryze,0
Amumu,0
Lee Sin,0
Gragas,0
Xin Zhao,0
Olaf,0
Karthus,0
Kindred,0
Elise,1
Sejuani,1
Hecarim,1
Lee Sin,0
Jarvan IV,1
Karthus,0
Graves,1
Sejuani,1
Elise,0
Lee Sin,0
Lee Sin,0
Jarvan IV,0
Poppy,1
Elise,0
Graves,1
Karthus,0
Sejuani,1
Rengar,1
Evelynn,1
Hecarim,1
Sejuani,1
Nidalee,0
Rek'Sai,1
Taliyah,1
Amumu,1
Evelynn,1
Kayn,1
Kayn,1
Graves,1
Taliyah,1
Nidalee,0
Elise,1
Karthus,0
Olaf,1
Karthus,1
Rek'Sai,1
Elise,0
Elise,1
Evelynn,0
Nidalee,1
Elise,0
Olaf,0
Taliyah,1
Elise,1
Taliyah,1
Gragas,1
Olaf,1
Rammus,0
Kayn,1
Elise,0
Kindred,0
Gragas,1
Gragas,1
Gragas,0
Taliyah,1
Sejuani,1
Xin Zhao,1
Sejuani,0
Skarner,1
Nidalee,1
Taliyah,0
Nidalee,1
Evelynn,1
Rumble,1
Taliyah,0
Aatrox,1
Nidalee,1
Nidalee,1
Gragas,0
Zac,1
Sejuani,1
Sejuani,1
Olaf,0
Sejuani,1
Nidalee,1
Xin Zhao,1
Aatrox,1
Hecarim,0
Nocturne,1
Kindred,0
Elise,1
Lee Sin,1
Taliyah,1
Nidalee,1
Rengar,1
Elise,1
Hecarim,1
Trundle,1
Nidalee,1
Evelynn,1
Pantheon,1
Zac,1
Sejuani,0
Jarvan IV,1
Shyvana,1
Nunu & Willump,1
Rek'Sai,0
Elise,0
Kayn,1
Gragas,1
Lee Sin,1
Gragas,1
Master Yi,0
Aatrox,1
Rek'Sai,1
Nunu & Willump,1
Elise,1
Kha'Zix,1
Kindred,1
Master Yi,1
Vi,1
Elise,1
Sejuani,0
Nunu & Willump,1
Jax,1
Taliyah,1
Nunu & Willump,1
Zac,1
Elise,1
Rek'Sai,0
Elise,1
Lee Sin,1
Gragas,1
Rek'Sai,1
Vi,1
Elise,0
Kindred,1
Sejuani,1
Sejuani,1
Rammus,1
Kindred,1
Gragas,1
Gragas,0
Karthus,0
Sejuani,1
Gragas,1
Sejuani,1
Sejuani,1
Elise,1
Kha'Zix,0
Gragas,0
Elise,1
Ekko,1
Nidalee,1
Gragas,1
Nunu & Willump,0
Gragas,1
Elise,1
Sejuani,1
Kindred,0
Kha'Zix,1
Elise,0
Kindred,1
Kayn,0
Evelynn,1
Nunu & Willump,1
Kha'Zix,0
Nidalee,1
Jarvan IV,1
Aatrox,0
Hecarim,1
Sejuani,1
Hecarim,0
Nasus,1
Rengar,1
Evelynn,1
Shaco,1
Elise,1
Vi,0
Karthus,0
Evelynn,1
Elise,1
Sejuani,1
Elise,0
Elise,1
Shaco,1
Mordekaiser,0
Elise,1
