jung,result
Sejuani,0
Rek'Sai,0
Lee Sin,1
Vi,0
Taliyah,0
Shaco,0
Kai'Sa,0
Mordekaiser,0
Jarvan IV,0
Urgot,0
Kha'Zix,0
Kha'Zix,0
Elise,0
Zac,0
Gragas,0
Lee Sin,1
Kha'Zix,0
Lee Sin,0
Olaf,0
Olaf,0
Gragas,0
Olaf,0
Lee Sin,0
Gragas,0
Karthus,0
Karthus,0
Lee Sin,0
Xin Zhao,0
Karthus,0
Kayn,0
Olaf,0
Olaf,0
Kayn,1
Xin Zhao,0
Lee Sin,0
Lee Sin,0
Lee Sin,0
Taliyah,0
Kha'Zix,0
Elise,0
Rek'Sai,0
Xin Zhao,0
Karthus,1
Kayn,0
Sylas,0
Fiddlesticks,0
Kayn,0
Rek'Sai,0
Taliyah,0
Evelynn,0
Lee Sin,0
Kayn,1
Sejuani,0
Kha'Zix,0
Sejuani,1
Sejuani,0
Karthus,0
Hecarim,0
Sejuani,1
Xin Zhao,0
Jarvan IV,0
Hecarim,1
Sejuani,0
Nidalee,0
Evelynn,0
Skarner,0
Kindred,0
Poppy,0
Taliyah,0
Lee Sin,0
Mordekaiser,0
Nunu & Willump,1
Kayn,0
Pyke,0
Kha'Zix,0
Rek'Sai,0
Hecarim,0
Kayn,0
Rengar,0
Rengar,0
Zac,0
Elise,0
Hecarim,1
Rengar,1
Master Yi,0
Sejuani,0
Jax,0
Jayce,0
Ivern,0
Olaf,0
Olaf,1
Trundle,1
Rengar,0
Olaf,1
Zac,0
Olaf,1
Olaf,0
Elise,0
Nunu & Willump,0
Rammus,1
Elise,0
Volibear,0
Sejuani,0
Rek'Sai,0
Olaf,0
Rek'Sai,0
Lee Sin,0
Sejuani,0
Zac,0
Vi,0
Hecarim,0
Hecarim,0
Nunu & Willump,1
Kayn,0
Jarvan IV,0
Nidalee,0
Amumu,0
Olaf,0
Rengar,0
Amumu,1
Kayn,1
Hecarim,0
Jarvan IV,0
Kindred,0
Evelynn,1
Xin Zhao,0
Vi,0
Master Yi,0
Rek'Sai,0
Jax,0
Gragas,0
Lee Sin,0
Lee Sin,0
Shaco,0
Lee Sin,0
Sylas,1
Nidalee,0
Warwick,0
Evelynn,0
Olaf,1
Ryze,1
Rek'Sai,0
Kha'Zix,0
Kayn,0
Master Yi,0
Rengar,0
Evelynn,0
Lee Sin,0
Taliyah,1
Master Yi,0
Amumu,0
Evelynn,0
Kha'Zix,0
Kindred,0
Lee Sin,0
Sejuani,1
Rek'Sai,0
Kindred,0
Elise,0
Poppy,0
Lee Sin,0
Lee Sin,0
Kha'Zix,0
Jarvan IV,1
Kha'Zix,0
Lee Sin,0
Jarvan IV,0
Rek'Sai,0
Mordekaiser,0
Karthus,0
Ryze,0
Gragas,0
Karma,0
Lee Sin,0
Lee Sin,0
Jarvan IV,1
Sejuani,0
Olaf,0
Gragas,1
Taliyah,0
Lee Sin,0
Zac,1
Rek'Sai,0
Nidalee,1
Xin Zhao,0
Kayn,1
Pantheon,0
Vi,1
Taliyah,1
Hecarim,1
Udyr,1
Nidalee,1
Kayn,1
Jarvan IV,1
Rengar,1
Rek'Sai,1
Olaf,1
Rek'Sai,1
