jung,result
Xin Zhao,0
Rengar,0
Jarvan IV,1
Nidalee,0
Taliyah,0
Volibear,1
Kayn,0
Elise,0
Taliyah,0
Gragas,0
Gragas,0
Lee Sin,0
Elise,0
Rek'Sai,0
Gragas,0
Gragas,0
Sejuani,0
Gragas,1
Gragas,1
Gragas,0
Gragas,0
Taliyah,0
Gragas,0
Gragas,0
Nunu & Willump,0
Trundle,0
Olaf,0
Rek'Sai,0
Lee Sin,1
Gragas,0
Sejuani,0
Kayn,0
Sejuani,1
Karthus,0
Gragas,0
Rek'Sai,0
Gragas,0
Gragas,1
Gragas,1
Trundle,0
Lee Sin,0
Sejuani,0
Rek'Sai,1
Gragas,0
Gragas,0
Gragas,0
Gragas,0
Nunu & Willump,0
Evelynn,1
Lee Sin,0
Gragas,0
Sejuani,0
Gragas,0
Taliyah,0
Lee Sin,1
Aatrox,0
Gragas,0
Gragas,0
Sejuani,0
Olaf,0
Gragas,1
Lee Sin,0
Gragas,0
Aatrox,0
Gragas,0
Zac,0
Karthus,0
Lee Sin,0
Hecarim,1
Gragas,0
Jarvan IV,0
Sejuani,1
Lee Sin,0
Nunu & Willump,0
Taliyah,0
Gragas,0
Sejuani,0
Rek'Sai,1
Gragas,0
Elise,0
Karthus,1
Rengar,0
Kindred,0
Jarvan IV,0
Gragas,0
Kayn,0
Nunu & Willump,0
Nunu & Willump,0
Shaco,0
Kayn,0
Taliyah,1
Kha'Zix,0
Hecarim,0
Jarvan IV,0
Twitch,0
Udyr,0
Kha'Zix,0
Hecarim,1
Mordekaiser,0
Zac,1
Kha'Zix,0
Sylas,0
Gragas,0
Ryze,0
Kayn,0
Lee Sin,0
Gragas,0
Gragas,0
Gragas,0
Amumu,0
Kayn,0
Kindred,0
Lee Sin,0
Gragas,0
Master Yi,0
Hecarim,0
Shaco,0
Rek'Sai,0
Sejuani,0
Jarvan IV,0
Hecarim,0
Sejuani,0
Gragas,1
Kayn,0
Gragas,0
Gragas,0
Gragas,0
Sejuani,1
Sejuani,0
Lee Sin,0
Gragas,1
Kha'Zix,0
Lee Sin,0
Skarner,0
Gragas,1
Gragas,0
Gragas,0
Nunu & Willump,0
Taliyah,0
Sejuani,0
Skarner,0
Rammus,0
Mordekaiser,1
Lee Sin,0
Gragas,1
Xin Zhao,0
Elise,0
Kayn,0
Graves,0
Nunu & Willump,0
Shaco,0
Udyr,0
Elise,0
Zac,0
Jarvan IV,0
Kayn,0
Nocturne,0
Sejuani,1
Xin Zhao,0
Kayn,0
Zac,0
Nidalee,0
Kayn,0
Zac,0
Gragas,1
Lee Sin,1
Lee Sin,1
Evelynn,0
Nocturne,0
Hecarim,0
Kayn,0
Rengar,1
Lee Sin,0
Amumu,0
Trundle,0
Hecarim,1
Evelynn,1
Vi,0
Hecarim,0
Hecarim,0
