jung,result
Graves,0
Taliyah,1
Elise,0
Elise,1
Kayn,1
Gragas,0
Karthus,0
Gragas,0
Kha'Zix,0
Lee Sin,0
Kayn,0
Karthus,0
Rek'Sai,1
Karthus,1
Elise,0
Karthus,0
Karthus,0
Taliyah,0
Lee Sin,0
Taliyah,0
Elise,0
Evelynn,0
Olaf,0
Karthus,0
Trundle,0
Kindred,0
Nidalee,1
Fiddlesticks,0
Elise,0
Rek'Sai,0
Karthus,0
Lee Sin,0
Elise,0
Vi,0
Kayn,1
Ryze,0
Jarvan IV,0
Rengar,1
Karthus,0
Amumu,0
Graves,0
Elise,1
Rengar,0
Jarvan IV,1
Volibear,0
Kha'Zix,0
Elise,0
Lee Sin,0
Kayn,0
Karthus,0
Shaco,0
Trundle,1
Sejuani,0
Kha'Zix,0
Evelynn,1
Taliyah,0
Fiddlesticks,0
Fizz,0
Zac,0
Master Yi,0
Evelynn,1
Gragas,0
Lee Sin,0
Lee Sin,0
Warwick,1
Amumu,1
Olaf,0
Kha'Zix,0
Sejuani,0
Kha'Zix,0
Taliyah,0
Jarvan IV,0
Lee Sin,0
Zac,1
Vi,1
Karthus,0
Kha'Zix,0
Hecarim,0
Graves,1
Kindred,0
Elise,0
Aatrox,0
Elise,0
Karthus,0
Teemo,1
Lee Sin,0
Gragas,0
Hecarim,0
Hecarim,0
Sejuani,0
Sejuani,0
Nunu & Willump,0
Hecarim,0
Sylas,0
Sylas,0
Elise,1
Olaf,0
Lee Sin,0
Sejuani,0
Sejuani,0
Lee Sin,0
Elise,0
Gragas,0
Shaco,1
Karthus,1
Lee Sin,0
Nidalee,0
Elise,0
Nunu & Willump,0
Elise,0
Elise,1
Kha'Zix,0
Gragas,0
Gragas,0
Zac,0
Nunu & Willump,0
Kindred,0
Elise,0
Kayn,0
Sejuani,0
Kindred,0
Elise,0
Gragas,1
Hecarim,0
Jarvan IV,0
Zac,0
Evelynn,0
Sejuani,0
Karthus,0
Lee Sin,0
Evelynn,0
Kha'Zix,1
Gragas,1
Zac,0
Graves,0
Evelynn,0
Mordekaiser,0
Elise,1
Evelynn,0
Kayn,0
Evelynn,0
Mordekaiser,0
Evelynn,0
Evelynn,1
Nautilus,0
Nidalee,1
Rammus,0
Twitch,0
Wukong,0
Karthus,1
Sejuani,0
Hecarim,0
Kayn,0
Sejuani,1
Mordekaiser,1
Karthus,1
Kayn,1
Zac,1
Kindred,0
Hecarim,1
Vi,1
Sejuani,0
Taliyah,0
Elise,0
Olaf,0
Jarvan IV,0
Rek'Sai,1
Karthus,0
Karthus,0
Karthus,0
Sejuani,0
Rek'Sai,0
Nidalee,0
Taliyah,0
Karthus,1
Amumu,0
Gragas,0
Kha'Zix,0
Hecarim,0
Mordekaiser,1
Kayn,0
Ivern,1
Vi,0
Lee Sin,0
Jarvan IV,0
Karthus,0
Karthus,0
Sylas,0
Sejuani,0
Karthus,0
Gragas,0
Jarvan IV,0
Elise,0
Karthus,0
Kha'Zix,0
Hecarim,0
Elise,0
Rengar,0
Sylas,0
Shaco,0
Kindred,0
Sejuani,0
Elise,1
Elise,0
Kayn,0
Karthus,0
Rek'Sai,0
Lee Sin,1
Elise,1
Kha'Zix,0
Jarvan IV,0
Lee Sin,0
Karthus,0
Zac,0
Karthus,1
Nocturne,0
Sejuani,0
Rek'Sai,0
Elise,0
Graves,0
Lee Sin,0
Rek'Sai,1
Lee Sin,1
Kindred,0
Rek'Sai,1
Nidalee,0
Shaco,0
Sejuani,0
Lee Sin,0
Karthus,0
Graves,0
Olaf,0
Diana,0
Evelynn,0
Rek'Sai,0
Hecarim,1
Lee Sin,0
Graves,0
Taliyah,0
Elise,1
Xin Zhao,0
Rengar,1
Master Yi,1
Kha'Zix,0
Kha'Zix,0
Kayn,1
Sejuani,1
Olaf,1
Nidalee,1
Nunu & Willump,1
Taliyah,1
Hecarim,0
Taliyah,1
Sejuani,1
Sylas,1
Kayn,1
Taliyah,0
Nidalee,0
Nidalee,0
Elise,1
Kai'Sa,0
Sejuani,1
Karthus,1
Gragas,1
Taliyah,1
Karthus,1
Jarvan IV,1
Kindred,0
Kayn,1
Evelynn,0
Sejuani,1
Karthus,0
Kindred,1
Rengar,0
Kha'Zix,0
Kayn,1
Rengar,1
Kha'Zix,1
Amumu,1
Sejuani,1
Warwick,1
Diana,1
Evelynn,1
Evelynn,1
Rek'Sai,1
Kayn,1
Udyr,1
Nidalee,1
Elise,1
Hecarim,1
Kayn,1
Jarvan IV,1
Nocturne,1
Vi,1
Taliyah,1
Evelynn,0
Nidalee,0
Evelynn,1
Fiddlesticks,1
Vi,1
Volibear,0
Rengar,1
Olaf,1
Sejuani,1
Elise,1
Ryze,1
Kayn,1
Ryze,0
Kayn,1
Kha'Zix,1
Graves,0
Lee Sin,1
Lee Sin,1
Elise,1
Hecarim,1
Sejuani,1
Elise,1
Hecarim,1
Sejuani,0
Kha'Zix,0
Karthus,0
Skarner,1
Elise,1
Warwick,1
Elise,0
Skarner,1
Karthus,1
Nunu & Willump,0
Sylas,0
Karthus,0
Rengar,0
Elise,1
Sejuani,1
Lee Sin,1
Renekton,1
Evelynn,1
Master Yi,1
Jarvan IV,1
Nunu & Willump,1
Elise,1
Hecarim,1
Karthus,0
Zac,0
Karthus,1
Sejuani,0
Elise,1
Rumble,1
Evelynn,0
Volibear,1
Kindred,0
Rengar,1
Jarvan IV,1
Warwick,1
Nunu & Willump,1
Rengar,0
Sejuani,1
Jarvan IV,1
Kindred,0
Olaf,1
Rek'Sai,1
Volibear,0
Elise,1
Lee Sin,1
Sejuani,1
Kindred,0
Kha'Zix,1
Karthus,1
Jarvan IV,1
Sejuani,1
Evelynn,0
Gragas,1
Vi,1
Vi,1
Graves,0
Lee Sin,0
Gragas,0
Sejuani,1
Evelynn,0
Elise,1
Kha'Zix,1
Hecarim,1
Rek'Sai,1
Rek'Sai,0
Kha'Zix,1
Hecarim,1
Elise,1
Lee Sin,1
Hecarim,1
Lee Sin,0
Nautilus,0
Jarvan IV,0
Hecarim,1
Gragas,1
Rek'Sai,1
Olaf,1
Ivern,1
Evelynn,1
Taliyah,1
Rengar,1
Lee Sin,1
Rengar,1
Lee Sin,1
Lee Sin,1
Taliyah,1
Sejuani,1
Kayn,0
Elise,0
Hecarim,0
Master Yi,1
Lee Sin,0
Amumu,0
Gragas,1
Rengar,1
Vi,1
Gragas,1
Shaco,1
Gragas,1
Nidalee,1
Mordekaiser,1
Hecarim,1
Mordekaiser,1
Sejuani,1
Rek'Sai,1
Gragas,1
Elise,0
Xin Zhao,1
Elise,1
Rengar,0
Elise,0
Kayn,1
Taliyah,1
Hecarim,1
Elise,1
Gragas,1
Kayn,1
Evelynn,0
Elise,1
Kayn,1
Sylas,1
Elise,1
Karthus,1
Mordekaiser,1
Elise,1
Lee Sin,0
Rek'Sai,1
Olaf,1
Hecarim,1
Kayn,1
Rengar,1
Rumble,1
Zac,1
Evelynn,1
Lee Sin,1
Sejuani,1
Elise,0
Sejuani,1
