jung,result
Karthus,0
Gragas,0
Vi,0
Kha'Zix,0
Kayn,0
Ivern,0
Kayn,0
Evelynn,0
Gragas,0
Sejuani,0
Lee Sin,0
Taliyah,1
Kayn,0
Aatrox,0
Graves,0
Sejuani,0
Aatrox,0
Sejuani,0
Kayn,0
Karthus,0
Lee Sin,0
Sejuani,0
Xin Zhao,0
Xin Zhao,0
Olaf,0
Olaf,0
Gragas,0
Taliyah,0
Aatrox,0
Rek'Sai,0
Rek'Sai,1
Evelynn,0
Lee Sin,0
Rek'Sai,0
Rengar,0
Zac,0
Jarvan IV,0
Sejuani,1
Rengar,1
Rengar,1
Lee Sin,0
Lee Sin,0
Xin Zhao,0
Sejuani,0
Kayn,1
Gragas,1
Kai'Sa,0
Lee Sin,0
Nunu & Willump,0
Elise,0
Jarvan IV,0
Jarvan IV,1
Sejuani,1
Vi,0
Hecarim,1
Shaco,0
Rammus,0
Kayn,0
Amumu,0
Jarvan IV,0
Rengar,0
Karthus,0
Hecarim,0
Udyr,1
Fiddlesticks,0
Rammus,0
Taliyah,0
Rek'Sai,1
Evelynn,0
Kayn,1
Xin Zhao,0
Ivern,0
Zac,0
Xin Zhao,0
Shaco,0
Lee Sin,0
Karthus,0
Rumble,1
Mordekaiser,0
Kha'Zix,0
Kha'Zix,0
Kayn,0
Sejuani,0
Lee Sin,0
Gragas,0
Gragas,1
Master Yi,0
Evelynn,0
Jayce,0
Sejuani,0
Lee Sin,0
Elise,0
Kayn,0
Kindred,1
Master Yi,0
Lee Sin,0
Jarvan IV,1
Hecarim,1
Lee Sin,0
Lee Sin,1
Lee Sin,1
Master Yi,0
Gragas,1
Xin Zhao,0
Kha'Zix,0
Sejuani,1
Hecarim,0
Amumu,0
Taliyah,1
Hecarim,1
Rek'Sai,0
Olaf,0
Sejuani,0
Nunu & Willump,0
Lee Sin,0
Gragas,1
Kayn,0
Kayn,0
Ekko,1
Shyvana,1
Jarvan IV,0
Jarvan IV,1
Kha'Zix,0
Sejuani,1
Udyr,0
Hecarim,0
Kha'Zix,0
Lee Sin,0
Sejuani,0
Taliyah,0
Taliyah,0
Jarvan IV,0
Nocturne,0
Jarvan IV,0
Jarvan IV,0
Ekko,0
Vi,0
Hecarim,0
Rengar,0
Kayn,1
Kindred,0
Mordekaiser,0
Gragas,0
Jarvan IV,0
Hecarim,0
Kindred,0
Ivern,0
Taliyah,0
Sejuani,0
Kindred,0
Karthus,0
Zac,0
Karthus,0
Hecarim,0
Nocturne,0
Lee Sin,0
Hecarim,0
Jarvan IV,0
Jarvan IV,0
Vi,0
Hecarim,0
Nunu & Willump,0
Xin Zhao,0
Kayn,1
Nidalee,1
Evelynn,0
Xin Zhao,1
Lee Sin,0
Hecarim,0
Sylas,0
Karthus,0
Taliyah,0
Camille,0
Volibear,0
Kha'Zix,0
Rengar,0
Gragas,0
Kayn,0
Taliyah,0
Kayn,1
Hecarim,1
Hecarim,1
Karthus,0
Evelynn,0
Rengar,0
Twitch,0
Taliyah,0
Karthus,0
Poppy,0
Jarvan IV,0
Kayn,0
Sejuani,0
Master Yi,0
Graves,0
Graves,0
