jung,result
Graves,0
Vi,0
Kindred,0
Nunu & Willump,0
Udyr,1
Sejuani,0
Gragas,0
Zac,1
Jarvan IV,0
Karthus,0
Kayn,1
Poppy,0
Kha'Zix,0
Xin Zhao,0
Mordekaiser,0
Elise,0
Taliyah,0
Graves,0
Lee Sin,1
Ryze,1
Gragas,0
Graves,1
Vi,0
Lee Sin,0
Lee Sin,0
Elise,0
Sejuani,0
Lee Sin,1
Taliyah,0
Lee Sin,1
Karthus,0
Lee Sin,0
Aatrox,0
Lee Sin,0
Xin Zhao,0
Xin Zhao,0
Lee Sin,0
Xin Zhao,0
Kayn,0
Lee Sin,0
Elise,0
Kindred,0
Jarvan IV,0
Kindred,1
Olaf,0
Lee Sin,1
Elise,1
Xin Zhao,1
Gragas,0
Elise,0
Elise,1
Gragas,0
Karthus,1
Elise,0
Lee Sin,0
Kayn,1
Xin Zhao,0
Nidalee,0
Aatrox,0
Lee Sin,0
Aatrox,1
Trundle,1
Rek'Sai,0
Aatrox,1
Xin Zhao,1
Taliyah,0
Lee Sin,1
Olaf,0
Olaf,1
Kindred,0
Rek'Sai,0
Lee Sin,0
Taliyah,0
Nidalee,0
Rek'Sai,0
Rek'Sai,0
Xin Zhao,0
Karthus,0
Kayn,0
Olaf,0
Urgot,0
Rek'Sai,0
Taliyah,0
Elise,0
Kayn,0
Olaf,0
Sejuani,0
Karthus,0
Xin Zhao,0
Kayn,0
Sylas,1
Xin Zhao,0
Olaf,0
Xin Zhao,0
Rek'Sai,0
Karthus,0
Rek'Sai,1
Evelynn,0
Olaf,1
Xin Zhao,0
Xin Zhao,0
Lee Sin,0
Kayn,1
Nidalee,0
Xin Zhao,1
Xin Zhao,1
Sejuani,0
Karthus,0
Sejuani,0
Olaf,0
Nidalee,0
Kayn,0
Olaf,0
Rek'Sai,1
Kayn,0
Kayn,0
Lee Sin,1
Lee Sin,0
Lee Sin,0
Lee Sin,0
Nunu & Willump,0
Rek'Sai,1
Sylas,0
Kayn,0
Gragas,0
Sejuani,0
Sejuani,0
Elise,0
Xin Zhao,1
Olaf,0
Taliyah,0
Gragas,0
Olaf,0
Elise,0
Aatrox,0
Gragas,0
Aatrox,0
Sejuani,1
Taliyah,1
Gragas,0
Olaf,0
Rek'Sai,0
Kindred,0
Zac,1
Hecarim,0
Karthus,0
Gragas,0
Olaf,0
Olaf,0
Gragas,1
Lee Sin,0
Karthus,0
Elise,0
Lee Sin,0
Rek'Sai,0
Taliyah,0
Lee Sin,0
Olaf,0
Sejuani,0
Sejuani,0
Nunu & Willump,0
Xin Zhao,1
Rek'Sai,0
Kayn,1
Kayn,1
Rek'Sai,0
Vi,0
Lee Sin,1
Rek'Sai,1
Kindred,0
Hecarim,0
Lee Sin,0
Kindred,0
Graves,0
Gragas,0
Kayn,0
Shaco,0
Nunu & Willump,0
Nidalee,0
Rammus,0
Kindred,0
Ryze,0
Nunu & Willump,0
Hecarim,0
Kha'Zix,0
Hecarim,0
Rek'Sai,1
Taliyah,1
Karthus,0
Nunu & Willump,0
Lee Sin,0
Kayn,0
Kayn,1
Jarvan IV,0
Xin Zhao,0
Evelynn,1
Nunu & Willump,1
Warwick,0
Mordekaiser,0
Kayn,0
Graves,0
Elise,0
Kindred,1
Sejuani,0
Kha'Zix,0
Elise,0
Twitch,0
Kayn,0
Ryze,0
Sejuani,0
Lee Sin,0
Hecarim,0
Elise,0
Lee Sin,0
Hecarim,0
Ekko,1
Vi,1
Jarvan IV,0
Sylas,0
Rek'Sai,0
Gragas,0
Ryze,1
Elise,0
Fiddlesticks,0
Rengar,0
Elise,0
Olaf,0
Hecarim,0
Master Yi,1
Sejuani,0
Rengar,1
Evelynn,0
Ivern,0
Olaf,0
Lee Sin,1
Sejuani,0
Nidalee,0
Kayn,0
Elise,0
Shaco,0
Lee Sin,0
Shaco,0
Xin Zhao,1
Lee Sin,0
Lee Sin,0
Kha'Zix,1
Sejuani,0
Teemo,1
Shaco,0
Trundle,1
Teemo,1
Gragas,1
Jax,1
Elise,1
Cho'Gath,1
Shaco,0
Lee Sin,0
Xin Zhao,1
Sejuani,0
Poppy,0
Rumble,0
Elise,0
Hecarim,0
Zac,1
Rek'Sai,0
Lee Sin,1
Rek'Sai,1
Olaf,0
Lee Sin,0
Sylas,0
Hecarim,1
Graves,0
Lee Sin,0
Sylas,0
Rengar,1
Lee Sin,0
Hecarim,0
Kha'Zix,1
Xin Zhao,0
Rammus,1
Lee Sin,0
Jarvan IV,0
Volibear,0
Olaf,0
Jarvan IV,0
Elise,0
Jarvan IV,0
Hecarim,1
Lee Sin,0
Lee Sin,1
Zac,0
Kayn,0
Jarvan IV,0
Kindred,0
Talon,0
Rek'Sai,0
Master Yi,0
Karthus,1
Evelynn,0
Vi,0
Jarvan IV,1
Jax,0
Kha'Zix,0
Master Yi,0
Olaf,1
Hecarim,0
Evelynn,0
Jarvan IV,0
Lee Sin,0
Gragas,0
Hecarim,0
Kayn,0
Kha'Zix,0
Evelynn,0
Sejuani,0
Nunu & Willump,0
Gragas,0
Kayn,0
Hecarim,1
Jarvan IV,0
Hecarim,0
Aatrox,0
Olaf,0
Nunu & Willump,0
Rek'Sai,0
Jarvan IV,0
Jarvan IV,0
Jarvan IV,0
Evelynn,0
Hecarim,0
Hecarim,0
Evelynn,0
Lee Sin,0
Evelynn,0
Rengar,0
Master Yi,0
Kayn,0
Sylas,0
Kha'Zix,1
Lee Sin,0
Sejuani,0
Lee Sin,1
Hecarim,0
Warwick,0
Kayn,1
Kha'Zix,0
Hecarim,0
Hecarim,0
Amumu,0
Trundle,0
Rammus,0
Elise,0
Volibear,0
Hecarim,0
Jax,0
Kha'Zix,0
Kindred,0
Olaf,0
Lee Sin,0
Karthus,0
Rengar,0
Taric,0
Hecarim,0
Sejuani,0
Sion,0
Hecarim,0
Lee Sin,0
Zac,0
Kindred,0
Twitch,0
Wukong,0
Zac,0
Karthus,1
Jarvan IV,0
Taliyah,0
Elise,1
Taliyah,0
Karthus,0
Rengar,1
Elise,0
Twisted Fate,0
Nunu & Willump,0
Lee Sin,1
Lee Sin,0
Hecarim,0
Elise,0
Sejuani,1
Kha'Zix,1
Jax,0
Evelynn,0
Karthus,0
Xin Zhao,0
Kayn,0
Elise,0
Taliyah,0
Wukong,0
Rek'Sai,0
Kindred,0
Jarvan IV,1
Rengar,1
Volibear,0
Gragas,0
Aatrox,0
Kha'Zix,0
Karthus,1
Ivern,1
Amumu,1
Kayn,1
Lee Sin,1
Master Yi,0
Kha'Zix,0
Lee Sin,0
Shaco,1
Rengar,0
Hecarim,1
Rek'Sai,1
Hecarim,1
Hecarim,0
Taliyah,0
Gragas,0
Shaco,0
Jarvan IV,0
Xin Zhao,0
Hecarim,0
Urgot,0
Vi,0
Elise,0
Vi,0
Skarner,1
Hecarim,0
Rengar,0
Elise,0
Elise,0
Kha'Zix,1
Taliyah,0
Jarvan IV,0
Volibear,0
Fiddlesticks,0
Kayn,0
Trundle,0
Hecarim,0
Lee Sin,0
Kled,0
Aatrox,0
Jarvan IV,0
Hecarim,0
Master Yi,0
Skarner,0
Gragas,1
Sejuani,0
Hecarim,0
Lee Sin,0
Rek'Sai,0
Mordekaiser,0
Sylas,1
Rek'Sai,0
Lee Sin,0
Rek'Sai,0
Riven,1
Jarvan IV,0
Camille,0
Lee Sin,0
Jax,0
Jarvan IV,0
Sejuani,1
Graves,0
Lee Sin,1
Kindred,0
Kayn,0
Rek'Sai,0
Karthus,1
Kayn,0
Jax,0
Kindred,0
Aatrox,0
Lee Sin,1
Taliyah,0
Kindred,1
Jarvan IV,0
Rek'Sai,0
Rek'Sai,0
Jarvan IV,0
Gragas,0
Rengar,0
Rek'Sai,0
Kayn,1
Kha'Zix,0
Riven,1
Taliyah,0
Ryze,1
Sejuani,0
Jarvan IV,1
Evelynn,0
Rengar,1
Lee Sin,1
Sejuani,0
Kha'Zix,0
Elise,0
Sejuani,0
Lee Sin,0
Rengar,0
Hecarim,0
Rengar,0
Rek'Sai,0
Sejuani,0
Xin Zhao,0
Sylas,0
Gragas,0
Shyvana,0
Kindred,0
Fiddlesticks,0
Evelynn,1
Sejuani,1
Kha'Zix,0
Vi,0
Vi,0
Jarvan IV,0
Shaco,0
Jarvan IV,0
Lee Sin,1
Taliyah,0
Lee Sin,0
Sejuani,1
Sejuani,0
Sejuani,0
Lee Sin,0
Gragas,0
Lee Sin,0
Kindred,0
Nocturne,1
Elise,1
Volibear,1
Gragas,0
Ivern,0
Sejuani,0
Mordekaiser,0
Elise,0
Olaf,0
Kha'Zix,0
Evelynn,0
Taliyah,0
Zac,1
Evelynn,1
Karthus,0
