jung,result
Kindred,0
Xin Zhao,0
Evelynn,0
Lee Sin,1
Rek'Sai,0
Rammus,0
Evelynn,0
Shaco,0
Nidalee,0
Kayn,0
Trundle,1
Wukong,0
Kha'Zix,0
Nunu & Willump,0
Kindred,0
Olaf,0
Nidalee,0
Lee Sin,0
Elise,0
Kha'Zix,0
Taliyah,0
Kindred,0
Nidalee,0
Xin Zhao,0
Kayn,0
Lee Sin,0
Zac,0
Nunu & Willump,0
Kai'Sa,0
Lee Sin,0
Lee Sin,1
Sejuani,0
Rek'Sai,0
Gragas,0
Kindred,0
Elise,0
Rek'Sai,0
Lee Sin,0
Rek'Sai,1
Aatrox,0
Lee Sin,0
Rek'Sai,0
Gragas,0
Kindred,0
Elise,0
Elise,0
Lee Sin,0
Gragas,0
Graves,0
Lee Sin,0
Kayn,1
Rek'Sai,1
Aatrox,0
Aatrox,0
Xin Zhao,1
Karthus,0
Taliyah,0
Kayn,0
Sejuani,0
Olaf,0
Olaf,0
Kha'Zix,0
Elise,1
Gragas,1
Rek'Sai,0
Karthus,1
Gragas,0
Nidalee,0
Gragas,0
Nidalee,0
Rek'Sai,0
Olaf,1
Kayn,0
Taliyah,0
Olaf,0
Aatrox,1
Lee Sin,1
Kindred,0
Sejuani,0
Gragas,1
Evelynn,0
Rek'Sai,0
Olaf,0
Gragas,0
Olaf,0
Elise,0
Gragas,0
Lee Sin,1
Taliyah,0
Sejuani,0
Kha'Zix,0
Rengar,0
Taliyah,1
Gragas,0
Sejuani,0
Xin Zhao,0
Olaf,1
Xin Zhao,0
Elise,1
Rek'Sai,1
Lee Sin,1
Lee Sin,0
Elise,0
Jax,1
Kha'Zix,0
Rek'Sai,0
Nunu & Willump,1
Nidalee,1
Kindred,1
Karthus,0
Twitch,0
Taliyah,1
Taliyah,0
Xin Zhao,1
Elise,0
Elise,0
Olaf,0
Kayn,0
Olaf,0
Olaf,1
Rek'Sai,1
Xin Zhao,0
Nunu & Willump,0
Sejuani,0
Olaf,0
Lee Sin,0
Aatrox,0
Lee Sin,0
Olaf,0
Gragas,0
Kayn,0
Olaf,0
Taliyah,0
Elise,0
Sejuani,0
Lee Sin,0
Taliyah,1
Rek'Sai,0
Lee Sin,0
Olaf,0
Lee Sin,0
Rek'Sai,0
Olaf,0
Rek'Sai,0
Taliyah,0
Nidalee,1
Sejuani,0
Nidalee,0
Lee Sin,0
Elise,1
Sejuani,0
Taliyah,0
Karthus,0
Elise,1
Rek'Sai,0
Rek'Sai,0
Jarvan IV,0
Nidalee,0
Xin Zhao,0
Olaf,0
Rek'Sai,0
Lee Sin,0
Kayn,1
Nidalee,0
Taliyah,1
Kindred,0
Nidalee,0
Lee Sin,0
Xin Zhao,0
Sejuani,0
Sejuani,1
Olaf,0
Rek'Sai,0
Rek'Sai,0
Olaf,0
Xin Zhao,1
Gragas,0
Olaf,0
Elise,0
Gragas,0
Elise,0
Kai'Sa,0
Xin Zhao,0
Lee Sin,0
Nidalee,0
Rek'Sai,0
Rek'Sai,0
Hecarim,0
Sejuani,0
Jarvan IV,0
Rek'Sai,1
Olaf,0
Taliyah,0
Gragas,0
Kayn,0
Kayn,1
Kayn,0
Rek'Sai,0
Elise,0
Taliyah,1
Lee Sin,0
Elise,0
Olaf,1
Olaf,0
Kindred,0
Karthus,0
Karthus,0
Sejuani,0
Kayn,0
Kha'Zix,0
Kindred,1
Gragas,0
Aatrox,0
Olaf,0
Nidalee,1
Lee Sin,0
Kai'Sa,0
Kai'Sa,0
Elise,0
Taliyah,1
Kayn,1
Lee Sin,0
Elise,0
Taliyah,1
Lee Sin,1
Taliyah,1
Sejuani,1
Nidalee,0
Aatrox,0
Karthus,0
Kindred,1
Lee Sin,1
Sejuani,1
Lee Sin,1
Sejuani,0
Lee Sin,0
Jayce,0
Lee Sin,0
Olaf,0
Taliyah,0
Kayn,0
Gragas,0
Kindred,0
Kindred,0
Taliyah,0
Sejuani,1
Nocturne,0
Aatrox,0
