jung,result
Elise,0
Graves,0
Rek'Sai,0
Lee Sin,0
Rek'Sai,0
Kindred,0
Gragas,0
Kindred,0
Graves,0
Kha'Zix,0
Kha'Zix,0
Udyr,0
Elise,0
Kayn,0
Lee Sin,0
Kindred,0
Sejuani,0
Taliyah,1
Lee Sin,0
Karthus,0
Kha'Zix,0
Elise,0
Graves,0
Taliyah,0
Olaf,1
Olaf,0
Gragas,0
Karthus,1
Kayn,0
Olaf,1
Xin Zhao,0
Olaf,0
Taliyah,0
Sejuani,1
Gragas,0
Kayn,1
Elise,1
Rek'Sai,0
Kha'Zix,1
Xin Zhao,0
Karthus,1
Lee Sin,1
Elise,0
Rek'Sai,0
Olaf,1
Hecarim,0
Sejuani,0
Rek'Sai,0
Rengar,0
Mordekaiser,1
Kayn,0
Kayn,1
Kayn,0
Kayn,0
Elise,0
Kayn,0
Xin Zhao,0
Shaco,0
Vi,0
Nunu & Willump,0
Xin Zhao,1
Shaco,0
Evelynn,1
Lee Sin,0
Master Yi,0
Sylas,1
Lee Sin,0
Kha'Zix,1
Evelynn,0
Nidalee,0
Taliyah,0
Lee Sin,0
Jarvan IV,1
Lee Sin,0
Sejuani,0
Kindred,0
Rek'Sai,0
Jax,0
Kayn,1
Kayn,1
Skarner,0
Sejuani,0
Hecarim,0
Jarvan IV,0
Taliyah,0
Evelynn,0
Zac,0
Sejuani,0
Vi,0
Xin Zhao,0
Twitch,0
Evelynn,0
Kindred,0
Olaf,0
Hecarim,0
Xin Zhao,0
Evelynn,0
Lee Sin,0
Trundle,0
Sejuani,0
Trundle,0
Lee Sin,0
Zed,0
Lee Sin,0
Elise,0
Nidalee,0
Hecarim,0
Hecarim,0
Trundle,0
Skarner,1
Taliyah,0
Olaf,0
Olaf,1
Elise,0
Ivern,0
Nidalee,0
Lee Sin,0
Warwick,1
Lee Sin,0
Lee Sin,0
Zac,0
Graves,0
Rammus,0
Hecarim,0
Nunu & Willump,0
Rek'Sai,0
Riven,0
Evelynn,0
Kayn,0
Nunu & Willump,1
Rengar,0
Lee Sin,0
Zac,1
Lee Sin,0
Master Yi,0
Amumu,1
Lee Sin,0
Jarvan IV,1
Hecarim,1
Rek'Sai,1
Lee Sin,0
