jung,result
Elise,0
Hecarim,0
Hecarim,0
Karthus,0
Kha'Zix,0
Elise,1
Graves,1
Sejuani,0
Kha'Zix,1
Ekko,0
Taliyah,0
Lee Sin,0
Lee Sin,0
Jarvan IV,0
Kayn,0
Aatrox,1
Gragas,0
Xin Zhao,0
Rek'Sai,0
Twitch,0
Skarner,0
Karthus,0
Olaf,0
Rengar,1
Evelynn,0
Gragas,0
Sejuani,0
Karthus,0
Warwick,0
Sejuani,0
Jarvan IV,0
Gragas,0
Nunu & Willump,1
Amumu,0
Sejuani,0
Hecarim,1
Sejuani,1
Elise,1
Sejuani,1
Hecarim,1
Rek'Sai,0
Elise,0
Amumu,1
Elise,1
Kha'Zix,0
Kha'Zix,0
Kha'Zix,0
Evelynn,0
Kayn,0
Hecarim,0
Skarner,0
Rek'Sai,0
Lee Sin,1
Hecarim,0
Evelynn,0
Shaco,0
Vi,1
Kha'Zix,0
Warwick,0
Hecarim,0
Master Yi,0
Amumu,0
Kha'Zix,0
Gragas,0
Kha'Zix,0
Rek'Sai,0
Kha'Zix,1
Kindred,0
Poppy,0
Sejuani,0
Ryze,1
Evelynn,0
Sylas,0
Elise,0
Fiddlesticks,0
Hecarim,0
Master Yi,0
Rek'Sai,0
Hecarim,0
Kha'Zix,0
Xin Zhao,0
Lee Sin,0
Lee Sin,1
Zac,0
Olaf,0
Lee Sin,0
Mordekaiser,0
Rammus,1
Lee Sin,0
Lee Sin,0
Graves,1
Nocturne,0
Annie,0
Poppy,0
Sejuani,1
Sejuani,0
Vi,0
Hecarim,0
Kha'Zix,0
Rek'Sai,0
Nidalee,0
Kindred,0
Jarvan IV,0
Rek'Sai,1
Elise,1
Rek'Sai,0
Kayn,0
Sejuani,0
Shaco,0
Kha'Zix,0
Camille,0
Jarvan IV,1
Nidalee,1
Warwick,1
Xin Zhao,0
Jax,0
Ivern,1
Lee Sin,0
Karthus,0
Gragas,0
Kayn,0
Ivern,1
Nidalee,0
Sejuani,0
Vi,0
Elise,0
Hecarim,0
Lee Sin,1
Evelynn,1
Sejuani,0
Zac,0
Nidalee,0
Graves,0
Evelynn,0
Hecarim,0
Hecarim,0
Hecarim,0
Kha'Zix,0
Rammus,1
Rek'Sai,0
Mordekaiser,0
Hecarim,0
Jarvan IV,0
Amumu,1
Hecarim,0
Nunu & Willump,1
Sejuani,0
Zac,1
Jax,0
Gragas,0
Kha'Zix,0
Sejuani,0
Warwick,0
Elise,0
Nunu & Willump,0
Hecarim,0
Lee Sin,1
Nocturne,1
Xin Zhao,0
Lee Sin,1
Jarvan IV,0
Nidalee,1
Aatrox,0
Lee Sin,0
Karthus,0
Nidalee,1
Nidalee,0
Vi,0
Lee Sin,0
Jarvan IV,0
Nidalee,0
Taliyah,0
Kayn,0
Nidalee,0
Lee Sin,1
Aatrox,0
Lee Sin,1
Kha'Zix,0
Taliyah,0
Gragas,0
Kayn,0
Elise,0
Lee Sin,0
Xin Zhao,1
Kindred,0
Jarvan IV,0
Elise,1
Elise,0
Kha'Zix,1
Jarvan IV,0
Shaco,0
Amumu,1
Kindred,0
Elise,0
Rengar,1
Graves,1
Vi,1
Rammus,1
Aatrox,1
Lee Sin,1
Lee Sin,1
Vi,1
Zac,1
Graves,1
Rengar,1
Kayn,1
Rek'Sai,1
Olaf,1
Kayn,1
Kai'Sa,1
Lee Sin,1
Sejuani,1
Rammus,1
Taliyah,1
Rammus,1
Karthus,1
Lee Sin,1
Nidalee,1
Kha'Zix,1
Taliyah,0
Elise,1
Aatrox,0
Gragas,1
Lee Sin,1
Rek'Sai,1
Gragas,1
Aatrox,1
Jarvan IV,1
Kayn,1
Kayn,0
Lee Sin,1
Evelynn,1
Karthus,1
Sejuani,1
Karthus,1
Gragas,0
Lee Sin,0
Kha'Zix,1
Lee Sin,1
Skarner,0
Sejuani,1
Gragas,1
Hecarim,1
Evelynn,1
Elise,1
Jax,0
Kayn,0
Lee Sin,1
Sejuani,1
Kindred,0
Sejuani,0
Nidalee,1
Taliyah,1
Sejuani,1
Teemo,1
Warwick,1
Mordekaiser,1
Sejuani,0
Zac,1
Hecarim,1
Rengar,1
Zac,1
Nunu & Willump,1
Jarvan IV,1
Rek'Sai,1
Fiddlesticks,0
Jax,1
Sejuani,1
Kha'Zix,1
Rammus,0
Olaf,1
Lee Sin,0
Xin Zhao,1
Mordekaiser,0
Skarner,1
Rek'Sai,0
Elise,1
Gragas,0
Olaf,0
Fiddlesticks,1
Trundle,1
Sejuani,1
Zac,1
Elise,1
Olaf,1
Teemo,1
Sejuani,1
Elise,1
Hecarim,1
Elise,0
Lee Sin,1
Elise,1
Kindred,1
Rek'Sai,1
Lee Sin,1
Kindred,1
Skarner,0
Hecarim,1
Sejuani,1
Nunu & Willump,1
Sejuani,1
Graves,0
Jarvan IV,1
Zac,1
Master Yi,0
Taliyah,1
Karthus,1
Jarvan IV,1
Xin Zhao,1
Graves,1
Kayn,1
Elise,0
Rek'Sai,0
Warwick,1
Hecarim,1
Kindred,1
Rengar,1
Rengar,1
Vi,1
Nunu & Willump,1
Rek'Sai,1
Sejuani,1
Elise,1
Nidalee,1
Gragas,1
Sejuani,1
Nidalee,0
Sejuani,0
Hecarim,1
Vi,1
Taliyah,0
Kindred,0
Nunu & Willump,1
Nidalee,1
Hecarim,1
Hecarim,1
Xin Zhao,1
Shaco,0
Sejuani,1
Evelynn,0
Nidalee,1
Kayn,1
Amumu,1
Taliyah,1
Xin Zhao,1
Kha'Zix,1
Sejuani,1
Jarvan IV,1
Kindred,1
Zac,1
Hecarim,1
Sejuani,1
Hecarim,1
Kha'Zix,1
Camille,1
Hecarim,0
Jarvan IV,0
Kayn,1
Nasus,1
Hecarim,1
Rek'Sai,1
Kha'Zix,1
Evelynn,1
Rengar,0
Hecarim,1
Master Yi,1
Twitch,0
Xin Zhao,1
Hecarim,0
Sejuani,1
Gragas,1
Volibear,0
Karthus,1
Nocturne,0
Nidalee,0
Twitch,1
Shaco,1
Lee Sin,1
Lee Sin,1
Graves,1
Rek'Sai,0
Kayn,1
Rengar,1
Shaco,1
Xin Zhao,0
Hecarim,1
Amumu,1
Shaco,1
Hecarim,1
Kha'Zix,1
Kayn,1
Lee Sin,1
Kayn,1
Jarvan IV,0
Graves,1
Kayn,1
Kha'Zix,1
Lee Sin,1
Kha'Zix,1
Lee Sin,1
Master Yi,0
Gragas,0
Elise,1
Gragas,1
Kayn,1
Skarner,1
Elise,1
Kindred,1
Kha'Zix,1
Karthus,1
Lee Sin,1
Olaf,0
Elise,0
Lee Sin,1
Kha'Zix,1
Lee Sin,1
Aatrox,1
Kha'Zix,1
Kindred,1
Kha'Zix,1
Kha'Zix,1
Morgana,0
Jarvan IV,1
