jung,result
Elise,0
Nunu & Willump,0
Hecarim,0
Taliyah,1
Aatrox,1
Sejuani,0
Taliyah,0
Graves,0
Karthus,0
Xin Zhao,0
Sylas,0
Kayn,0
Olaf,0
Nidalee,0
Rengar,0
Hecarim,0
Kha'Zix,0
Kayn,0
Lee Sin,0
Taliyah,0
Aatrox,0
Sejuani,0
Lee Sin,0
Aatrox,0
Rek'Sai,0
Sejuani,1
Lee Sin,0
Taliyah,0
Olaf,0
Sejuani,0
Kayn,0
Sejuani,0
Rek'Sai,0
Lee Sin,0
Taliyah,1
Olaf,0
Nidalee,1
Gragas,0
Xin Zhao,0
Sejuani,0
Kindred,0
Sejuani,0
Elise,0
Sejuani,0
Olaf,0
Olaf,1
Gragas,0
Aatrox,0
Sejuani,0
Taliyah,0
Gragas,0
Gragas,0
Rek'Sai,1
Lee Sin,0
Trundle,0
Lee Sin,0
Taliyah,1
Rek'Sai,0
Taliyah,0
Nidalee,1
Kha'Zix,0
Olaf,1
Xin Zhao,0
Lee Sin,0
Lee Sin,1
Olaf,0
Kindred,0
Kayn,0
Karthus,1
Gragas,0
Karthus,0
Taliyah,0
Olaf,1
Lee Sin,0
Skarner,0
Elise,0
Rek'Sai,0
Sejuani,0
Elise,0
Lee Sin,0
Taliyah,0
Kayn,0
Gragas,0
Lee Sin,0
Olaf,0
Trundle,0
Sejuani,0
Lee Sin,0
Lee Sin,0
Gragas,0
Sejuani,0
Kayn,0
Lee Sin,0
Lee Sin,0
Olaf,0
Lee Sin,0
Sejuani,1
Sejuani,0
Nidalee,0
Rek'Sai,0
Nidalee,1
Lee Sin,0
Aatrox,0
Karthus,0
Sejuani,0
Lee Sin,1
Zac,0
Kindred,0
Sejuani,0
Sejuani,1
Xin Zhao,1
Taliyah,0
Gragas,0
Kayn,0
Xin Zhao,0
Xin Zhao,0
Graves,1
Xin Zhao,0
Sejuani,0
Sejuani,0
Olaf,0
Rek'Sai,0
Sejuani,0
Olaf,1
Taliyah,0
Xin Zhao,0
Shaco,1
Kindred,0
Nocturne,0
Hecarim,1
Elise,1
Sejuani,0
Gragas,0
Elise,1
Sejuani,1
Kayn,0
Lee Sin,1
Skarner,0
Rek'Sai,0
Nidalee,0
Rengar,0
Karthus,1
Nidalee,0
Olaf,0
Nidalee,0
Xin Zhao,0
Lee Sin,0
Rek'Sai,0
Ryze,0
Lee Sin,0
Trundle,0
Shyvana,1
Kayn,0
Hecarim,0
Vi,0
Kayn,1
Volibear,0
Xin Zhao,1
Graves,1
Sejuani,0
Nunu & Willump,0
Udyr,0
Evelynn,0
Kayn,0
Lee Sin,0
Kha'Zix,0
Ivern,0
Taliyah,0
Shyvana,0
Kha'Zix,0
Warwick,0
Shaco,1
Trundle,1
Amumu,0
Aatrox,0
Hecarim,1
Lee Sin,1
Elise,1
Lee Sin,0
Kha'Zix,0
Lee Sin,0
Poppy,1
Lee Sin,0
Gragas,0
Olaf,0
Shyvana,0
Elise,0
Lee Sin,0
Rek'Sai,0
Jarvan IV,0
Zac,1
Elise,0
Nidalee,0
Kayn,0
Elise,0
Sejuani,0
Kindred,0
Graves,1
Amumu,0
Master Yi,0
Sejuani,0
Elise,0
Kha'Zix,0
Lee Sin,1
Elise,1
Kindred,0
Kindred,0
Kayn,1
Kindred,1
Gragas,0
Hecarim,0
Nidalee,0
Hecarim,0
Nunu & Willump,0
Sejuani,0
Kayn,0
Rek'Sai,0
Rek'Sai,0
Lee Sin,0
Hecarim,0
Sylas,0
Elise,0
Nunu & Willump,0
Evelynn,0
Gragas,1
Lee Sin,0
Sejuani,0
Sejuani,0
Skarner,0
Ekko,0
Karthus,1
Trundle,0
Xin Zhao,0
Elise,0
Nidalee,0
Zac,0
Olaf,0
Taliyah,0
Gragas,1
Warwick,0
Elise,0
Nidalee,0
Zac,0
Elise,0
Nocturne,0
Taliyah,0
Sejuani,1
Kha'Zix,0
Hecarim,0
Xin Zhao,0
Xin Zhao,0
Vi,0
Kindred,0
Gragas,1
Karthus,0
Kayn,1
Lee Sin,0
Rek'Sai,0
Kayn,0
Hecarim,1
Evelynn,0
Lee Sin,1
Camille,0
Graves,0
Kayn,1
Rengar,1
Gragas,1
Sejuani,0
Hecarim,0
Vi,0
Jarvan IV,0
Sejuani,0
Rengar,0
Kha'Zix,0
Lee Sin,0
Gragas,0
Hecarim,0
Lee Sin,0
Evelynn,1
Xin Zhao,1
Mordekaiser,0
Nidalee,0
Rek'Sai,1
Lee Sin,0
Rek'Sai,0
Rek'Sai,0
Warwick,0
Jarvan IV,0
Lee Sin,1
Lee Sin,0
Kayn,0
Kayn,0
Elise,0
Sejuani,0
Lee Sin,0
Warwick,0
Kayn,1
Lee Sin,0
Elise,0
Hecarim,0
Rek'Sai,0
Jarvan IV,0
Ekko,0
Kha'Zix,0
Mordekaiser,1
Evelynn,0
Taliyah,0
Fiddlesticks,0
Lee Sin,1
Rek'Sai,0
Vi,1
Karthus,0
Kha'Zix,0
Graves,0
Hecarim,0
Elise,0
Rammus,0
Sylas,0
Fiddlesticks,0
Karthus,0
Kindred,0
Kha'Zix,0
Aatrox,0
Rek'Sai,0
Kha'Zix,0
Shaco,0
Sejuani,0
Shaco,0
Taliyah,0
Graves,0
Lee Sin,1
Evelynn,0
Lee Sin,0
Gragas,0
Evelynn,0
Mordekaiser,0
Elise,0
Elise,0
Kha'Zix,0
Elise,1
Elise,0
Amumu,0
Taliyah,1
Zac,1
Rengar,0
Skarner,0
Lee Sin,0
Jarvan IV,0
Elise,0
Kha'Zix,0
Rengar,0
Gragas,0
Taliyah,0
Elise,1
Rek'Sai,0
Nocturne,0
Trundle,1
Zac,0
Aatrox,0
Ivern,0
Zac,0
Karthus,1
Lee Sin,0
Sylas,0
Aatrox,0
Karthus,0
Nocturne,0
Teemo,1
Jarvan IV,0
Graves,0
Lee Sin,0
Kindred,0
Jarvan IV,1
Rek'Sai,0
Kayn,0
Kindred,0
Lee Sin,0
Sejuani,0
Karthus,0
Kindred,0
Elise,0
Elise,0
Jarvan IV,0
Lee Sin,0
Lee Sin,0
Sejuani,0
