jung,result
Lee Sin,1
Evelynn,0
Jarvan IV,0
Gragas,0
Kindred,0
Xin Zhao,0
Sejuani,0
Kayn,0
Rammus,0
Nidalee,0
Rek'Sai,0
Rek'Sai,0
Kha'Zix,0
Udyr,0
Nidalee,0
Lee Sin,1
Sejuani,0
Lee Sin,0
Karthus,0
Elise,0
Rek'Sai,0
Rek'Sai,1
Karthus,0
Kai'Sa,0
Kayn,1
Olaf,0
Xin Zhao,0
Elise,0
Kayn,1
Elise,0
Gragas,0
Elise,0
Lee Sin,0
Lee Sin,1
Rek'Sai,0
Sejuani,1
Olaf,0
Kindred,1
Nidalee,0
Karthus,0
Gragas,0
Elise,0
Fiddlesticks,0
Elise,0
Sejuani,0
Karthus,0
Fiddlesticks,0
Lee Sin,1
Sejuani,0
Nidalee,0
Gragas,0
Karthus,0
Lee Sin,0
Elise,1
Taliyah,0
Elise,0
Rek'Sai,0
Kindred,1
Sejuani,1
Karthus,0
Gragas,0
Kha'Zix,0
Karthus,0
Karthus,0
Rek'Sai,0
Sejuani,0
Sejuani,0
Lee Sin,0
Rek'Sai,1
Kha'Zix,1
Master Yi,0
Volibear,1
Sejuani,0
Lee Sin,0
Gragas,0
Karthus,1
Rek'Sai,1
Sejuani,0
Taliyah,0
Elise,0
Xin Zhao,0
Karthus,0
Rek'Sai,0
Elise,0
Kayn,1
Lee Sin,0
Lee Sin,0
Lee Sin,0
Elise,0
Lee Sin,0
Lee Sin,0
Aatrox,0
Sejuani,1
Gragas,0
Kindred,0
Hecarim,1
Lee Sin,0
Lee Sin,1
Sejuani,0
Sejuani,1
Olaf,0
Sejuani,1
Lee Sin,0
Lee Sin,0
Sejuani,0
Kha'Zix,0
Jarvan IV,0
Lee Sin,1
Rengar,0
Sejuani,0
Gragas,1
Kayn,0
Lee Sin,0
Xin Zhao,1
Nidalee,0
Taliyah,0
Olaf,1
Evelynn,0
Kayn,0
Lee Sin,0
Lee Sin,0
Taliyah,1
Sejuani,0
Karthus,0
Sejuani,0
Kayn,0
Hecarim,0
Elise,0
Warwick,0
Fiddlesticks,0
Vi,0
Taliyah,0
Rek'Sai,0
Olaf,0
Udyr,0
Rengar,0
Lee Sin,0
Olaf,0
Lee Sin,0
Olaf,0
Vi,0
Rek'Sai,0
Elise,0
Olaf,1
Taliyah,0
Kindred,0
Kayn,1
Kha'Zix,0
Hecarim,0
Amumu,1
Shaco,0
Kayn,1
Rengar,0
Kha'Zix,1
Kayn,0
Diana,0
Lee Sin,0
Kindred,1
Xin Zhao,0
Taliyah,0
Vi,0
Nidalee,1
Rengar,0
Jarvan IV,0
Lee Sin,0
Elise,0
Kindred,0
Jarvan IV,0
Karthus,0
Kindred,0
Kha'Zix,0
Kindred,0
Evelynn,0
Xin Zhao,0
Nunu & Willump,0
Zac,0
Shaco,0
Warwick,0
Sejuani,0
Zac,0
Shaco,1
Jarvan IV,0
Hecarim,0
Lee Sin,0
Lee Sin,0
Sejuani,1
Master Yi,0
Kha'Zix,1
Hecarim,0
Lee Sin,0
Kayn,0
Kha'Zix,0
Gragas,0
Taliyah,0
Elise,0
Lee Sin,0
Nunu & Willump,0
Kayn,1
Zac,1
Kindred,0
Nocturne,0
Kindred,0
Lee Sin,0
Elise,0
Nidalee,0
Rengar,0
Kayn,0
Hecarim,1
Kha'Zix,1
Sylas,0
Evelynn,0
Lee Sin,0
Elise,0
Rek'Sai,0
Sylas,0
Sejuani,0
Jarvan IV,0
Kha'Zix,0
Gragas,0
Kha'Zix,0
Vi,0
Rengar,0
Camille,0
Lee Sin,0
Olaf,0
Sejuani,0
Nunu & Willump,0
Gragas,0
Lee Sin,1
Sejuani,0
Rek'Sai,1
Elise,0
Hecarim,0
Sejuani,0
Rengar,0
Lee Sin,0
Evelynn,0
Jarvan IV,0
Kayn,0
Sejuani,0
Elise,0
Fiddlesticks,0
Lee Sin,0
Sejuani,0
Ivern,1
Zac,0
Elise,0
Karthus,0
Lee Sin,0
Rengar,0
Sejuani,0
Warwick,0
Kha'Zix,0
Master Yi,0
Lee Sin,0
Gragas,0
Sejuani,0
Hecarim,0
Evelynn,0
Jarvan IV,0
Jarvan IV,1
Jarvan IV,1
Kha'Zix,0
Rek'Sai,0
Evelynn,0
Jarvan IV,0
Elise,0
Elise,1
Nidalee,1
Master Yi,0
Rengar,0
Ivern,0
Hecarim,0
Ivern,0
Karthus,0
Karthus,0
Master Yi,0
Jarvan IV,1
Sejuani,0
Sylas,1
Taliyah,1
Sejuani,1
Taliyah,0
Hecarim,0
Elise,0
Nidalee,0
Rengar,0
Lee Sin,0
Xin Zhao,1
Xin Zhao,0
Kayn,1
Nidalee,1
Lee Sin,0
Shaco,0
Sejuani,0
Sejuani,0
Kayn,0
Cho'Gath,0
Hecarim,0
Nidalee,0
Karthus,0
Jarvan IV,0
Taliyah,0
Hecarim,0
Kha'Zix,0
Amumu,0
Kha'Zix,0
Taliyah,0
Kindred,0
Evelynn,0
Taliyah,0
Sejuani,0
