jung,result
Elise,0
Taliyah,1
Kindred,1
Zac,1
Sejuani,0
Sejuani,0
Karthus,0
Graves,1
Sejuani,1
Gragas,0
Lee Sin,1
Xin Zhao,0
Evelynn,0
Rek'Sai,0
Rek'Sai,0
Kayn,0
Jax,0
Kayn,0
Kindred,0
Lee Sin,1
Rek'Sai,0
Riven,0
Xin Zhao,1
Elise,1
Karthus,0
Rek'Sai,0
Olaf,0
Rek'Sai,0
Olaf,0
Taliyah,0
Lee Sin,0
Aatrox,0
Rek'Sai,0
Elise,0
Kindred,0
Lee Sin,0
Gragas,0
Sejuani,0
Rek'Sai,0
Xin Zhao,0
Lee Sin,0
Hecarim,0
Rek'Sai,0
Lee Sin,1
Rek'Sai,0
Sejuani,1
Lee Sin,0
Gragas,0
Olaf,0
Lee Sin,0
Jarvan IV,1
Nidalee,0
Lee Sin,0
Olaf,0
Pantheon,0
Sejuani,0
Elise,0
Nunu & Willump,0
Elise,0
Sejuani,0
Vi,0
Rek'Sai,1
Elise,0
Aatrox,0
Olaf,0
Olaf,1
Rek'Sai,1
Olaf,0
Sejuani,0
Gragas,0
Lee Sin,0
Elise,1
Olaf,1
Rammus,0
Aatrox,0
Lee Sin,0
Lee Sin,0
Sejuani,0
Hecarim,0
Lee Sin,1
Lee Sin,0
Rek'Sai,0
Gragas,0
Kayn,0
Kayn,0
Rengar,1
Xin Zhao,1
Elise,1
Evelynn,0
Lee Sin,0
Evelynn,0
Elise,0
Kindred,0
Evelynn,0
Lee Sin,0
Vi,1
Shaco,0
Skarner,0
Mordekaiser,0
Shaco,0
Sejuani,0
Sejuani,0
Gragas,0
Lee Sin,1
Nidalee,0
Xin Zhao,1
Amumu,1
Camille,0
Rammus,0
Rek'Sai,0
Sejuani,1
Hecarim,0
Olaf,0
Hecarim,0
Kha'Zix,0
Sejuani,0
Kayn,0
Nidalee,0
Graves,0
Sylas,0
Nautilus,0
Nunu & Willump,0
Olaf,0
Zac,0
Shaco,0
Jarvan IV,1
Sejuani,0
Kha'Zix,0
Evelynn,1
Vi,1
Volibear,1
Rengar,0
Hecarim,0
Kindred,1
Kindred,1
Vi,0
Nunu & Willump,1
Jarvan IV,1
Elise,1
Olaf,0
Sejuani,0
Olaf,0
Rengar,0
Shaco,1
Rek'Sai,0
Sejuani,0
Skarner,0
Ivern,0
Lee Sin,0
Taliyah,0
Lee Sin,0
Rammus,0
Sejuani,0
Kayn,0
Elise,0
Elise,0
Kha'Zix,1
Taliyah,0
Lee Sin,0
Olaf,0
Jax,0
Kindred,0
Kha'Zix,0
Olaf,0
Kha'Zix,0
Lee Sin,0
Kayn,0
Kayn,0
Hecarim,0
Lee Sin,0
Hecarim,0
Elise,0
Elise,0
Kindred,0
Taliyah,1
Hecarim,0
Lee Sin,0
Kha'Zix,0
Nidalee,0
Lee Sin,0
Jarvan IV,0
Kindred,0
Gragas,1
Lee Sin,0
Lee Sin,0
Rek'Sai,0
Gragas,1
Hecarim,1
Hecarim,0
Graves,0
Vi,0
Rumble,0
Vi,0
Hecarim,0
Kayn,1
Elise,0
Taliyah,0
Sejuani,0
Hecarim,0
Jarvan IV,1
Kha'Zix,0
Jax,0
Hecarim,0
Rek'Sai,1
Gragas,0
Lee Sin,1
Twitch,0
Nidalee,0
Gragas,0
Lee Sin,0
Lee Sin,1
Sejuani,0
Aatrox,1
Hecarim,0
Vi,0
Sejuani,0
Hecarim,0
Nocturne,1
Elise,1
Master Yi,0
Udyr,0
Elise,0
Sylas,0
Jarvan IV,0
Rek'Sai,0
Rengar,0
Gragas,0
Jarvan IV,0
Shaco,0
Evelynn,0
Kayn,0
Elise,0
Elise,0
Hecarim,0
Camille,0
Kha'Zix,0
Pantheon,0
Elise,0
Graves,1
Rek'Sai,1
Rammus,0
Elise,0
Kindred,0
Camille,0
Elise,0
Aatrox,0
Karthus,0
Elise,0
Sejuani,0
Olaf,0
Jarvan IV,0
Shaco,0
Ivern,1
Kindred,0
Karthus,1
Elise,0
Taliyah,0
Karthus,0
Lee Sin,0
Skarner,0
Lee Sin,0
Pantheon,0
Elise,0
Kha'Zix,0
Sejuani,1
Urgot,0
Trundle,0
Sejuani,0
Sylas,0
Kindred,0
Kha'Zix,0
Taliyah,0
Zac,0
Evelynn,0
Jax,1
Karthus,0
Kindred,0
Jarvan IV,0
Hecarim,0
Hecarim,0
Lee Sin,0
Kha'Zix,0
Vi,0
Lee Sin,0
Kha'Zix,0
Sejuani,0
Lee Sin,0
Kindred,0
Lee Sin,0
Taliyah,0
Jarvan IV,0
Elise,0
Shyvana,0
Poppy,0
Karthus,0
Taliyah,0
Skarner,0
Evelynn,0
Hecarim,0
Kha'Zix,1
Urgot,1
Master Yi,0
Hecarim,0
Lee Sin,1
Olaf,1
Jarvan IV,1
Rammus,1
Elise,1
Master Yi,1
Kha'Zix,0
Rammus,1
Elise,1
Karthus,1
Hecarim,1
Gragas,1
Rek'Sai,1
Kai'Sa,1
Taliyah,1
Rek'Sai,1
Kayn,1
Lee Sin,1
Kindred,1
Elise,1
Karthus,0
Karthus,1
Gragas,0
Elise,1
Sejuani,1
Kayn,1
Lee Sin,1
Olaf,0
Elise,1
Gragas,1
Sejuani,1
Nidalee,1
Kha'Zix,0
Lee Sin,1
Gragas,1
Nidalee,0
Olaf,0
Nidalee,1
Lee Sin,1
Taliyah,0
Lee Sin,1
Aatrox,1
Kayn,1
Sejuani,1
Taliyah,1
Gragas,0
Rek'Sai,1
Gragas,1
Xin Zhao,1
Gragas,1
Sejuani,1
Sylas,0
Kindred,1
Lee Sin,1
Rek'Sai,1
Gragas,1
Karthus,1
Jarvan IV,1
Karthus,1
Kayn,0
Karthus,1
Elise,1
Lee Sin,1
Skarner,1
Nidalee,1
Gragas,0
Sylas,1
Olaf,0
Nidalee,1
Nidalee,0
Rek'Sai,0
Aatrox,1
Aatrox,1
Master Yi,1
Lee Sin,0
Taliyah,1
Rumble,1
Taliyah,0
Aatrox,1
Taliyah,1
Kha'Zix,1
Lee Sin,1
Kayn,1
Lee Sin,1
Lee Sin,0
Gragas,1
Kayn,1
Rek'Sai,1
Sejuani,1
Nidalee,1
Kayn,0
Karthus,1
Kayn,1
Rek'Sai,1
Lee Sin,1
Karthus,1
Kayn,1
Trundle,1
Sejuani,1
Kayn,1
Jarvan IV,1
Kayn,1
Shaco,0
Jarvan IV,1
Lee Sin,1
Rengar,0
Pyke,0
Lee Sin,1
Olaf,1
Sejuani,1
Aatrox,1
Kayn,1
Shyvana,0
Aatrox,1
Sejuani,1
Sejuani,1
Skarner,0
Master Yi,1
Master Yi,1
Sejuani,0
Kayn,1
Sejuani,1
Lee Sin,0
Kayn,1
Kha'Zix,1
Sylas,1
Nunu & Willump,0
Lee Sin,0
Lee Sin,0
Sejuani,0
Vi,1
Nunu & Willump,1
Hecarim,1
Xin Zhao,0
Ivern,1
Karthus,0
Kindred,1
Olaf,0
Udyr,0
Olaf,1
Jax,1
Sejuani,0
Kindred,1
Rek'Sai,1
Gragas,0
Sejuani,1
Karthus,1
Vi,1
Elise,1
Nunu & Willump,1
Udyr,1
Jax,1
Kindred,0
Sejuani,1
Sejuani,1
Tryndamere,1
Nunu & Willump,1
Nunu & Willump,1
Nunu & Willump,0
Xin Zhao,0
Sylas,1
Elise,1
Rengar,1
Olaf,1
Vi,1
Lee Sin,1
Aatrox,0
Rek'Sai,1
Taliyah,1
Kayn,1
Kindred,1
Olaf,1
Gragas,1
Lee Sin,1
Lee Sin,1
Lee Sin,1
Rammus,1
Evelynn,1
Hecarim,1
Rammus,1
Gragas,0
Lee Sin,1
Elise,1
Olaf,1
Lee Sin,1
Karthus,1
Evelynn,1
Kha'Zix,1
Warwick,1
Skarner,1
Evelynn,1
Mordekaiser,0
Kayn,1
Kayn,1
Kha'Zix,0
Lee Sin,1
Gragas,0
Nidalee,1
Nidalee,1
Kayn,1
Taliyah,1
Nunu & Willump,0
Nidalee,1
Lee Sin,1
Sejuani,0
Sejuani,1
Evelynn,0
Kha'Zix,1
Fiddlesticks,1
Kindred,0
Rek'Sai,1
Xin Zhao,1
Rek'Sai,0
Mordekaiser,1
Lee Sin,1
Lee Sin,1
Kayn,1
Twitch,0
Gragas,1
Kayn,0
Kayn,1
Evelynn,1
Kayn,0
Kayn,0
Jayce,0
Nidalee,0
Elise,1
Kayn,1
Ivern,1
Xin Zhao,0
Gragas,0
Mordekaiser,1
Sylas,1
Elise,1
Nunu & Willump,0
Nidalee,0
Rek'Sai,1
Kayn,1
Elise,1
Xin Zhao,1
Udyr,1
Rengar,0
Udyr,1
Rengar,1
Olaf,1
Xin Zhao,1
Kindred,1
Shaco,1
Shaco,0
Evelynn,1
Elise,1
Sejuani,0
Master Yi,1
Master Yi,1
Vi,1
Taliyah,1
Evelynn,1
Elise,1
Gragas,1
Sejuani,1
Graves,1
Rek'Sai,1
Mordekaiser,1
Vi,0
Taliyah,1
Taliyah,1
Kindred,1
Rek'Sai,1
Kindred,1
Gragas,1
Lee Sin,1
Karthus,0
Lee Sin,1
Elise,1
Rek'Sai,1
Elise,0
Hecarim,1
Lee Sin,1
Kayn,1
Kindred,0
Gragas,1
Karthus,1
Evelynn,0
Taliyah,1
Kindred,1
Sejuani,1
Aatrox,1
Kindred,0
Sylas,1
Skarner,1
Elise,0
Aatrox,0
Camille,1
Lee Sin,1
Kayn,1
Mordekaiser,1
Sejuani,1
Kha'Zix,1
Jarvan IV,1
Lee Sin,0
Jarvan IV,1
Lee Sin,0
Evelynn,1
Kha'Zix,1
Kayn,1
Rek'Sai,0
Ivern,1
Rek'Sai,0
Karthus,1
Taliyah,1
Gragas,1
Olaf,1
Elise,0
Jarvan IV,0
Taliyah,1
Olaf,0
Nunu & Willump,0
Gragas,1
Jarvan IV,1
Elise,1
Mordekaiser,1
Lee Sin,1
Elise,1
Lee Sin,0
Nunu & Willump,1
Sejuani,1
Evelynn,1
Lee Sin,1
Olaf,1
Kayn,1
Jarvan IV,1
Elise,0
Rammus,1
Elise,1
Kayn,1
Lee Sin,0
Lee Sin,1
Elise,1
Lee Sin,1
Olaf,1
Jarvan IV,1
Sejuani,1
Taliyah,1
Jarvan IV,1
Nidalee,0
Rek'Sai,1
Kha'Zix,1
Kindred,0
Gragas,1
Elise,1
Shaco,1
Rengar,1
Kayn,1
Rek'Sai,1
Lee Sin,1
Nidalee,1
Kha'Zix,1
