jung,result
Graves,0
Amumu,0
Xin Zhao,0
Vi,0
Rek'Sai,1
Lee Sin,0
Kayn,0
Kha'Zix,0
Shaco,0
Hecarim,0
Kindred,0
Sejuani,0
Kha'Zix,0
Trundle,0
Kayn,0
Taliyah,0
Nidalee,0
Xin Zhao,0
Rek'Sai,0
Kayn,1
Karthus,0
Aatrox,1
Olaf,0
Nidalee,0
Karthus,0
Camille,1
Rek'Sai,0
Rek'Sai,0
Lee Sin,1
Rek'Sai,0
Elise,0
Sejuani,1
Rek'Sai,0
Nidalee,0
Evelynn,0
Rammus,1
Lee Sin,0
Rek'Sai,0
Lee Sin,1
Kindred,0
Aatrox,0
Xin Zhao,1
Xin Zhao,0
Lee Sin,0
Rek'Sai,1
Gragas,0
Kayn,0
Gragas,1
Rek'Sai,0
Master Yi,0
Aatrox,0
Lee Sin,0
Taliyah,0
Gragas,0
Jarvan IV,0
Olaf,0
Elise,0
Sejuani,1
Lee Sin,0
Sejuani,0
Karthus,0
Olaf,0
Nidalee,0
Taliyah,0
Gragas,0
Rek'Sai,1
Rek'Sai,0
Lee Sin,0
Rammus,0
Kha'Zix,0
Olaf,0
Aatrox,0
Olaf,0
Taliyah,0
Kai'Sa,0
Lee Sin,0
Kindred,1
Xin Zhao,0
Lee Sin,0
Sejuani,1
Sejuani,0
Nidalee,0
Aatrox,0
Sejuani,1
Aatrox,1
Karthus,0
Karthus,0
Taliyah,0
Aatrox,1
Nidalee,0
Rek'Sai,0
Lee Sin,0
Taliyah,1
Sejuani,1
Sejuani,0
Karthus,0
Olaf,0
Gragas,0
Taliyah,0
Hecarim,0
Sylas,0
Kha'Zix,1
Hecarim,0
Gragas,0
Shyvana,0
Sejuani,0
Lee Sin,0
Xin Zhao,0
Evelynn,1
Kayn,1
Sejuani,0
Lee Sin,0
Rek'Sai,0
Ivern,0
Evelynn,0
Kha'Zix,1
Kayn,0
Kayn,1
Rek'Sai,0
Kindred,0
Kayn,1
Kayn,1
Gragas,0
Skarner,0
Evelynn,1
Kayn,0
Zac,0
Elise,0
Shaco,0
Kayn,0
Karthus,1
Zac,0
Rengar,0
Olaf,0
Karthus,0
Xin Zhao,0
Kha'Zix,0
Sejuani,1
Hecarim,0
Shyvana,0
Graves,0
Kayn,0
Evelynn,0
Fiddlesticks,0
Kha'Zix,0
Kindred,0
Twitch,0
Elise,0
Jarvan IV,0
Twitch,0
Karthus,0
Fiddlesticks,0
Taliyah,0
Mordekaiser,0
Sejuani,0
Vi,0
Elise,0
Hecarim,0
Jarvan IV,1
Gragas,0
Aatrox,1
Rek'Sai,0
Kindred,0
Evelynn,0
Rek'Sai,1
Elise,0
Rek'Sai,1
Mordekaiser,0
Nidalee,0
Rek'Sai,1
Kindred,0
Camille,1
Sejuani,0
Camille,0
Kha'Zix,0
Ryze,0
Kayn,1
Kayn,0
Vi,1
Lee Sin,1
Sejuani,0
Kha'Zix,0
Zac,0
Hecarim,1
Kayn,0
Skarner,0
Master Yi,0
Fiddlesticks,1
Sejuani,0
Taliyah,0
Aatrox,0
Hecarim,0
Evelynn,0
Hecarim,0
Lee Sin,0
Jax,1
Lee Sin,1
Shyvana,0
Gragas,0
Nidalee,0
Vi,0
Camille,0
Sejuani,0
Rengar,1
Rengar,1
Kha'Zix,0
Jarvan IV,0
Sejuani,1
Rek'Sai,0
Rengar,1
Lee Sin,0
Taliyah,0
Olaf,0
Hecarim,0
Jarvan IV,0
Kayn,0
Olaf,0
Lee Sin,0
Elise,0
Sejuani,1
Evelynn,0
Jarvan IV,0
Lee Sin,1
Xin Zhao,0
Volibear,0
Jarvan IV,0
Shaco,0
Lee Sin,0
Elise,0
Hecarim,1
Rek'Sai,0
Nunu & Willump,0
Hecarim,0
Lee Sin,0
Jarvan IV,1
Nocturne,0
Sejuani,0
Sejuani,0
Nidalee,0
Jarvan IV,0
Hecarim,0
Rek'Sai,0
Master Yi,0
Hecarim,0
Zac,0
Lee Sin,0
Pantheon,1
Hecarim,0
Karthus,0
Kindred,1
Udyr,1
Ekko,0
Lee Sin,0
Karthus,0
Pantheon,1
Graves,0
Zac,0
Kha'Zix,0
Elise,0
Nidalee,0
Elise,0
Lee Sin,0
Hecarim,0
Nidalee,0
Sejuani,0
Vi,0
Amumu,0
Rengar,1
Rengar,1
Kha'Zix,1
Evelynn,0
Sejuani,1
Rek'Sai,1
Xin Zhao,0
Jax,0
Rammus,0
Jax,0
Hecarim,0
Hecarim,0
Kha'Zix,0
Evelynn,0
Shyvana,1
Vi,0
Jax,0
Kindred,0
Karthus,0
Sejuani,1
Hecarim,1
