jung,result
Graves,0
Kha'Zix,0
Rengar,0
Rek'Sai,1
Jarvan IV,0
Nidalee,0
Camille,0
Rek'Sai,0
Gragas,0
Amumu,0
Vi,0
Rengar,0
Hecarim,0
Vi,0
Nidalee,0
Poppy,1
Graves,0
Evelynn,0
Urgot,0
Sejuani,1
Elise,0
Olaf,0
Olaf,0
Taliyah,1
Neeko,0
Olaf,0
Lee Sin,0
Lee Sin,0
Gragas,0
Kayn,1
Camille,0
Rek'Sai,0
Karthus,1
Nidalee,0
Elise,1
Kayn,1
Gragas,1
Cho'Gath,0
Jarvan IV,1
Nunu & Willump,1
Sejuani,0
Pantheon,0
Gragas,0
Karthus,0
Mordekaiser,0
Nunu & Willump,0
Olaf,0
Kayn,0
Olaf,0
Olaf,0
Kayn,1
Xin Zhao,1
Sejuani,0
Sejuani,0
Sejuani,0
Sejuani,0
Skarner,0
Gragas,0
Kindred,0
Sejuani,0
Evelynn,0
Sejuani,0
Nidalee,0
Zac,1
Xin Zhao,0
Trundle,0
Lee Sin,1
Aatrox,0
Evelynn,0
Elise,1
Kayn,0
Gragas,0
Gragas,0
Lee Sin,0
Xin Zhao,0
Rek'Sai,1
Sejuani,1
Kayn,0
Rek'Sai,0
Xin Zhao,0
Karthus,0
Rek'Sai,0
Gragas,0
Gragas,0
Graves,1
Rammus,0
Lee Sin,0
Olaf,1
Kindred,0
Gragas,0
Elise,0
Elise,0
Lee Sin,0
Taliyah,0
Kayn,0
Xin Zhao,0
Kayn,0
Karthus,0
Olaf,0
Sejuani,0
Kayn,0
Taliyah,0
Jarvan IV,0
Rek'Sai,0
Elise,1
Aatrox,0
Karthus,0
Lee Sin,0
Sylas,0
Trundle,0
Lee Sin,0
Karthus,0
Nidalee,0
Taliyah,0
Kindred,0
Gragas,1
Sejuani,0
Xin Zhao,0
Rek'Sai,0
Jarvan IV,0
Kindred,0
Taliyah,0
Elise,0
Elise,0
Rek'Sai,0
Sejuani,1
Rek'Sai,0
Pantheon,0
Kha'Zix,0
Ivern,0
Olaf,1
Sejuani,0
Sejuani,0
Lee Sin,0
Rengar,0
Nunu & Willump,0
Kindred,0
Rek'Sai,1
Gragas,0
Elise,0
Kha'Zix,0
Elise,0
Graves,0
Gragas,0
Nunu & Willump,0
Kayn,0
Hecarim,0
Graves,1
Elise,0
Lee Sin,0
Hecarim,0
Hecarim,0
Kha'Zix,0
Sejuani,0
Lee Sin,0
Nunu & Willump,0
Lee Sin,0
Kayn,0
Kayn,0
Jarvan IV,0
Jarvan IV,0
Sejuani,0
Sejuani,0
Kindred,0
Ivern,0
Kayn,1
Nunu & Willump,0
