jung,result
Rek'Sai,0
Lee Sin,0
Hecarim,0
Taliyah,1
Rek'Sai,1
Vi,0
Mordekaiser,0
Elise,0
Elise,0
Sejuani,1
Elise,0
Taliyah,0
Olaf,0
Kayn,0
Xin Zhao,0
Lee Sin,0
Xin Zhao,0
Elise,1
Nunu & Willump,0
Neeko,0
Sejuani,0
Taliyah,0
Lee Sin,0
Karthus,0
Rek'Sai,0
Kindred,0
Elise,0
Elise,0
Hecarim,1
Rek'Sai,1
Karthus,0
Sylas,1
Xin Zhao,0
Kayn,1
Lee Sin,1
Taliyah,0
Gragas,0
Xin Zhao,0
Kayn,0
Kayn,0
Rek'Sai,0
Nidalee,1
Elise,1
Gragas,1
Rek'Sai,0
Gragas,0
Sejuani,0
Jarvan IV,0
Kindred,1
Sejuani,0
Kindred,0
Nunu & Willump,1
Elise,1
Gragas,0
Elise,0
Kindred,0
Gragas,0
Nidalee,0
Gragas,0
Gragas,0
Nunu & Willump,0
Rek'Sai,0
Taliyah,1
Kayn,1
Lee Sin,1
Rek'Sai,0
Elise,1
Olaf,1
Nunu & Willump,1
Rek'Sai,1
Rek'Sai,0
Sejuani,0
Rek'Sai,0
Skarner,0
Graves,0
Olaf,0
Evelynn,0
Sejuani,0
Xin Zhao,1
Karthus,1
Karthus,0
Kindred,0
Olaf,1
Rammus,0
Lee Sin,0
Elise,0
Karthus,0
Olaf,0
Rek'Sai,0
Sejuani,0
Lee Sin,0
Sejuani,0
Gragas,1
Rek'Sai,0
Sejuani,0
Jarvan IV,0
Sejuani,0
Olaf,0
Karthus,1
Xin Zhao,0
Nidalee,0
Lee Sin,1
Xin Zhao,1
Olaf,1
Taliyah,1
Lee Sin,0
Xin Zhao,0
Kha'Zix,0
Karthus,0
Gragas,0
Sejuani,1
Rek'Sai,0
Olaf,0
Taliyah,0
Rek'Sai,0
Xin Zhao,0
Olaf,0
Xin Zhao,1
Rek'Sai,1
Lee Sin,0
Taliyah,0
Rek'Sai,0
Kayn,0
Nidalee,0
Lee Sin,0
Evelynn,1
Sejuani,0
Kindred,0
Olaf,0
Sejuani,0
Kindred,0
Elise,0
Jarvan IV,1
Kindred,1
Kindred,0
Jarvan IV,0
Nidalee,0
Nocturne,0
Sejuani,1
Sejuani,1
Olaf,0
Kayn,0
Kindred,0
Lee Sin,0
Olaf,0
Nidalee,0
Kayn,0
Lee Sin,0
Elise,0
Vi,0
Nunu & Willump,0
Nidalee,1
Taliyah,0
Kayn,0
Taliyah,0
Gragas,0
Taliyah,1
Lee Sin,0
Nidalee,0
Karthus,0
Sejuani,0
Evelynn,0
Elise,0
Kindred,0
Evelynn,0
Taliyah,1
Sejuani,0
Lee Sin,0
Lee Sin,0
Kayn,0
Karthus,0
Sejuani,0
Karthus,0
Rammus,0
Xin Zhao,1
Rek'Sai,0
Fiddlesticks,1
Kindred,0
Sejuani,0
Lee Sin,0
Olaf,1
Elise,0
Gragas,1
Taliyah,0
Hecarim,0
Zac,0
Taliyah,0
Zac,1
Gragas,0
Taliyah,0
Olaf,0
Lee Sin,0
Sejuani,0
Lee Sin,0
Olaf,1
Nidalee,0
Xin Zhao,0
Pantheon,0
Taliyah,0
Kayn,1
Nunu & Willump,0
Lee Sin,0
Elise,0
Vi,1
Sejuani,0
Jarvan IV,0
Hecarim,0
Kha'Zix,0
Twitch,0
Twitch,0
Evelynn,1
Sejuani,0
Sejuani,0
Sejuani,0
Lee Sin,1
Hecarim,1
Nidalee,0
Rengar,0
Lee Sin,0
Jarvan IV,0
Sejuani,1
Lee Sin,1
Elise,0
Jarvan IV,0
Jax,0
Nidalee,0
Kindred,0
Elise,0
Elise,0
Jax,0
Jarvan IV,1
Sejuani,0
Karthus,1
Olaf,0
Vi,1
Rek'Sai,0
Gragas,0
Rek'Sai,1
Elise,0
Zac,0
Gragas,0
Ivern,1
Kindred,0
Rek'Sai,0
Sejuani,1
Elise,0
Lee Sin,0
Taliyah,0
Karthus,0
Olaf,0
Lee Sin,0
Xin Zhao,1
Warwick,0
Kayn,0
Lee Sin,0
Trundle,0
Warwick,0
Jarvan IV,1
Shyvana,1
Udyr,0
Kayn,0
Nidalee,0
Nocturne,0
Lee Sin,0
Taliyah,0
Lee Sin,0
Sejuani,0
Udyr,0
Kayn,0
Evelynn,0
Hecarim,0
Sejuani,0
Hecarim,0
Taliyah,1
Zac,0
Elise,0
Elise,0
Jarvan IV,0
Gragas,1
Rek'Sai,0
Kha'Zix,0
Lee Sin,1
Evelynn,1
Hecarim,0
Rammus,0
Olaf,0
Hecarim,0
Taric,0
Hecarim,0
Kindred,0
Xin Zhao,0
Jarvan IV,0
Karthus,1
Zac,1
Elise,0
Hecarim,0
Jarvan IV,0
Jarvan IV,0
Sejuani,1
Taliyah,0
Kindred,0
Gragas,1
Kha'Zix,0
Jax,0
Jax,0
Rengar,0
Xin Zhao,0
Master Yi,0
Elise,0
Kayn,0
Wukong,0
Rek'Sai,0
Urgot,0
Rengar,0
Amumu,0
Lee Sin,0
Elise,0
Twitch,0
Lee Sin,0
Skarner,0
Rammus,1
Shaco,0
Olaf,1
Nidalee,1
Master Yi,0
Lee Sin,0
Hecarim,1
Kha'Zix,0
Lee Sin,0
Zac,0
Hecarim,1
Jarvan IV,0
Jarvan IV,0
Skarner,0
Evelynn,0
Nidalee,0
Karthus,0
Sejuani,0
Sejuani,0
Evelynn,0
Kayn,0
Elise,0
Gragas,1
Evelynn,0
Kha'Zix,0
Zed,0
Sejuani,0
Xin Zhao,0
Lee Sin,1
Jarvan IV,0
Amumu,0
Elise,0
Lee Sin,0
Elise,0
Lee Sin,1
Karthus,0
Shaco,0
Kayn,0
Gragas,0
Lee Sin,0
Ivern,0
Kindred,1
Rek'Sai,0
Nocturne,1
Kha'Zix,0
Singed,0
Dr. Mundo,0
Zac,0
Master Yi,0
Kindred,1
Karthus,1
Elise,0
Evelynn,0
Teemo,1
Sejuani,0
Vi,0
Lee Sin,0
Nidalee,0
Rek'Sai,0
Karthus,0
Lee Sin,0
Kayn,0
Elise,0
Sejuani,0
Xin Zhao,0
Evelynn,1
Elise,0
Kha'Zix,0
Kha'Zix,0
Lee Sin,1
Jarvan IV,0
Taliyah,0
Rengar,1
Kindred,0
Gragas,0
Rek'Sai,0
Jayce,0
Sejuani,0
Taliyah,1
Elise,0
Ivern,0
Lee Sin,1
Sylas,0
Kha'Zix,1
Sejuani,0
Karthus,0
Elise,0
Karthus,0
Evelynn,1
Kha'Zix,1
Nidalee,1
Zac,1
Sejuani,0
Sejuani,0
Hecarim,0
Riven,0
Graves,1
