jung,result
Kindred,0
Xin Zhao,0
Gragas,1
Rek'Sai,0
Shaco,0
Nidalee,0
Karthus,0
Wukong,0
Elise,0
Elise,0
Olaf,0
Nidalee,0
Zac,0
Karthus,0
Elise,0
Gragas,0
Graves,0
Rek'Sai,0
Sejuani,0
Sejuani,0
Taliyah,1
Karthus,1
Lee Sin,0
Olaf,0
Rek'Sai,0
Olaf,0
Gragas,0
Lee Sin,0
Gragas,0
Sejuani,0
Sejuani,0
Lee Sin,1
Elise,0
Kha'Zix,0
Rek'Sai,0
Taliyah,0
Taliyah,0
Sejuani,0
Sylas,0
Taliyah,1
Gragas,0
Sejuani,0
Sejuani,0
Jarvan IV,0
Taliyah,0
Sejuani,0
Nidalee,0
Gragas,0
Lee Sin,0
Rek'Sai,0
Kha'Zix,1
Xin Zhao,0
Evelynn,0
Volibear,1
Karthus,0
Lee Sin,0
Nidalee,0
Sejuani,0
Gragas,1
Kayn,0
Sejuani,1
Lee Sin,0
Kayn,1
Rek'Sai,0
Sylas,0
Nidalee,0
Olaf,1
Sejuani,0
Aatrox,0
Jarvan IV,0
Kayn,1
Kayn,0
Kayn,0
Sejuani,0
Karthus,0
Lee Sin,0
Gragas,0
Jarvan IV,0
Sejuani,0
Elise,0
Sejuani,1
Elise,1
Sejuani,0
Gragas,1
Evelynn,1
Lee Sin,1
Karthus,0
Olaf,0
Sejuani,0
Zac,0
Lee Sin,0
Xin Zhao,0
Sejuani,0
Nidalee,0
Kha'Zix,1
Nidalee,1
Sejuani,0
Taliyah,0
Sejuani,0
Rek'Sai,0
Lee Sin,1
Kindred,0
Xin Zhao,0
Elise,0
Zac,1
Gragas,0
Elise,0
Xin Zhao,0
Kai'Sa,0
Lee Sin,0
Lee Sin,0
Lee Sin,1
Skarner,0
Karthus,0
Elise,0
Olaf,1
Taliyah,0
Kindred,0
Sejuani,0
Kayn,1
Lee Sin,0
Zac,0
Taliyah,0
Kayn,0
Nunu & Willump,0
Lee Sin,0
Sejuani,0
Kayn,0
Rek'Sai,1
Xin Zhao,1
Amumu,0
Poppy,0
Nocturne,0
Lee Sin,0
Sylas,1
Elise,0
Sejuani,0
Warwick,1
Ryze,1
Aatrox,1
Kindred,0
Kayn,0
Nunu & Willump,1
Jarvan IV,0
Lee Sin,0
Mordekaiser,0
Amumu,0
Kayn,0
Nunu & Willump,0
Hecarim,1
Zac,1
Vi,1
Sejuani,1
Sejuani,0
Lee Sin,0
Sejuani,0
Xin Zhao,1
Lee Sin,0
Kha'Zix,0
Evelynn,0
Karthus,0
Evelynn,0
Vi,0
Jayce,0
Sejuani,0
Kindred,0
Elise,0
Sejuani,0
Sejuani,0
Teemo,1
Trundle,1
Zac,0
Kindred,0
Hecarim,0
Rengar,0
Sejuani,1
Jax,1
Nunu & Willump,1
Karthus,0
Kindred,0
Sejuani,0
Xin Zhao,1
Elise,0
Nunu & Willump,0
Lee Sin,0
Sejuani,0
Sejuani,0
Sejuani,1
Skarner,0
Sejuani,0
Sejuani,0
Rek'Sai,0
Hecarim,1
Olaf,0
Ivern,0
Shaco,0
Rek'Sai,1
Sejuani,0
Karthus,1
Jarvan IV,1
Kayn,0
Vi,0
Ivern,0
Master Yi,0
Elise,0
Gragas,0
Elise,0
Skarner,0
Kha'Zix,0
Kayn,0
Kayn,1
Hecarim,0
Evelynn,0
Master Yi,0
Lee Sin,0
Hecarim,0
Kha'Zix,1
Rek'Sai,1
Rammus,0
Shen,0
Skarner,1
Zac,0
Rammus,0
Shyvana,1
Vi,0
Kayn,0
Sejuani,0
Karthus,1
Hecarim,0
Rek'Sai,0
Kha'Zix,0
Lee Sin,1
Karthus,0
Sejuani,0
Kayn,0
Kindred,0
Jarvan IV,0
Sejuani,1
Rengar,1
Rengar,1
Taliyah,0
Karthus,0
Kha'Zix,0
Kai'Sa,0
Ryze,1
Sejuani,0
Taliyah,0
Evelynn,0
Hecarim,0
Kayn,1
Graves,0
Sejuani,0
Rengar,1
