jung,result
Vi,0
Poppy,1
Mordekaiser,0
Elise,0
Karthus,0
Rek'Sai,0
Elise,0
Taliyah,0
Volibear,1
Kindred,0
Kindred,0
Sejuani,0
Xin Zhao,0
Olaf,0
Kindred,0
Olaf,0
Aatrox,0
Aatrox,0
Karthus,0
Olaf,0
Rek'Sai,0
Nidalee,0
Gragas,0
Lee Sin,0
Fiddlesticks,0
Olaf,0
Taliyah,0
Aatrox,0
Lee Sin,0
Sejuani,0
Kindred,1
Kindred,0
Olaf,0
Karthus,1
Olaf,0
Jarvan IV,0
Elise,1
Lee Sin,1
Sejuani,0
Elise,1
Rek'Sai,0
Graves,1
Lee Sin,0
Evelynn,0
Olaf,0
Gragas,0
Lee Sin,0
Olaf,0
Skarner,0
Nidalee,0
Kindred,0
Xin Zhao,1
Hecarim,1
Elise,0
Elise,0
Sejuani,0
Lee Sin,0
Nidalee,1
Kayn,0
Karthus,0
Olaf,0
Rek'Sai,0
Lee Sin,0
Karthus,0
Xin Zhao,1
Lee Sin,0
Taliyah,0
Xin Zhao,1
Lee Sin,1
Gragas,0
Olaf,0
Pantheon,0
Rek'Sai,0
Sejuani,0
Nidalee,0
Hecarim,0
Shyvana,1
Nunu & Willump,1
Kayn,0
Vi,0
Jarvan IV,0
Elise,1
Kha'Zix,0
Lee Sin,0
Evelynn,1
Hecarim,0
Shaco,0
Vi,0
Kha'Zix,0
Lee Sin,0
Aatrox,0
Poppy,0
Nidalee,0
Lee Sin,1
Kindred,0
Evelynn,0
Rek'Sai,1
Ryze,1
Kindred,0
Olaf,0
Sejuani,0
Kha'Zix,0
Taliyah,0
Sejuani,0
Ekko,1
Kha'Zix,0
Fiddlesticks,0
Hecarim,0
Xin Zhao,0
Zac,0
Jarvan IV,0
Kha'Zix,1
Elise,0
Kindred,0
Karthus,0
Jarvan IV,0
Sejuani,0
Evelynn,0
Hecarim,0
Lee Sin,0
Kayn,0
Sejuani,0
Hecarim,0
Sejuani,0
Hecarim,0
Vi,0
Jarvan IV,1
Kha'Zix,0
Xin Zhao,0
Kha'Zix,0
Zac,0
Jarvan IV,0
Kha'Zix,0
Lee Sin,0
Nunu & Willump,1
Kayn,0
Zac,0
Rek'Sai,0
Rek'Sai,0
Elise,0
Jarvan IV,0
Riven,0
Elise,0
Olaf,0
Sejuani,0
Evelynn,0
Nidalee,0
Sejuani,0
Xin Zhao,0
Lee Sin,0
Sejuani,0
Karthus,0
Jarvan IV,0
Mordekaiser,0
Rek'Sai,1
Hecarim,0
Aatrox,0
Karthus,0
Sejuani,0
Jarvan IV,1
Mordekaiser,0
Ivern,1
Kha'Zix,1
Aatrox,0
Rek'Sai,0
Elise,1
Kayn,1
Kayn,0
Elise,0
Hecarim,0
Twitch,0
Lee Sin,0
Twitch,0
Kayn,0
Elise,0
Karthus,0
Aatrox,0
Lee Sin,0
Elise,0
Rek'Sai,0
Lee Sin,1
Rek'Sai,0
Sejuani,1
Elise,1
Jarvan IV,0
Rumble,0
Lee Sin,0
Urgot,0
Lee Sin,1
Fiddlesticks,0
Gragas,0
Karthus,0
Jax,1
Sejuani,0
Jarvan IV,1
Kayn,1
Sejuani,0
Sejuani,0
Olaf,0
Elise,0
Sejuani,0
Kha'Zix,1
Sejuani,1
Sejuani,1
Nunu & Willump,1
Taliyah,0
Lee Sin,1
Kindred,1
Olaf,1
Olaf,1
Taliyah,1
Rek'Sai,0
Sylas,0
Olaf,1
Sejuani,1
Kha'Zix,1
Rek'Sai,1
Evelynn,1
Lee Sin,0
Lee Sin,1
Olaf,1
Karthus,1
Rek'Sai,0
Nidalee,0
Elise,0
Taliyah,1
Olaf,1
Rammus,1
Lee Sin,1
Lee Sin,1
Elise,1
Olaf,1
Taliyah,1
Rek'Sai,1
Sejuani,1
Lee Sin,1
Kindred,0
Gragas,0
Karthus,1
Lee Sin,0
Karthus,1
Olaf,1
Olaf,1
Aatrox,1
Elise,1
Sejuani,1
Rek'Sai,1
Taliyah,0
Elise,1
Gragas,1
Jarvan IV,0
Gragas,1
Lee Sin,1
Sejuani,0
Taliyah,1
Taliyah,0
Gragas,1
Olaf,1
Taliyah,0
Sejuani,1
Rengar,1
Elise,1
Lee Sin,1
Kayn,1
Xin Zhao,1
Rek'Sai,0
Sejuani,1
Hecarim,1
Wukong,1
Graves,0
Lee Sin,1
Rek'Sai,1
Xin Zhao,0
Kayn,1
Kayn,1
Lee Sin,1
Nidalee,1
Evelynn,1
Sejuani,1
Kayn,1
Sejuani,0
Evelynn,1
Sejuani,1
Sejuani,1
Gragas,0
Volibear,0
Elise,1
Zac,1
Elise,0
Jarvan IV,1
Elise,1
Elise,1
Kayn,1
Taliyah,1
Kayn,1
Gragas,1
Kha'Zix,1
Master Yi,1
Diana,1
Vi,1
Rammus,0
Ivern,1
Kha'Zix,1
Lee Sin,1
Gragas,1
