jung,result
Elise,1
Xin Zhao,0
Rek'Sai,0
Karthus,0
Rek'Sai,0
Jarvan IV,0
Elise,0
Xin Zhao,0
Kha'Zix,0
Elise,1
Rek'Sai,0
Karthus,0
Gragas,0
Taliyah,0
Elise,0
Xin Zhao,0
Elise,0
Nidalee,1
Aatrox,1
Ekko,0
Olaf,1
Kayn,0
Kindred,1
Aatrox,0
Sejuani,0
Sejuani,1
Sejuani,0
Gragas,0
Gragas,0
Gragas,1
Lee Sin,0
Gragas,0
Sejuani,0
Gragas,0
Kai'Sa,0
Lee Sin,0
Kayn,0
Elise,0
Jayce,0
Taliyah,0
Karthus,0
Kindred,0
Graves,0
Lee Sin,1
Lee Sin,0
Taliyah,0
Rengar,1
Nidalee,0
Rek'Sai,0
Evelynn,0
Rek'Sai,0
Lee Sin,0
Evelynn,0
Evelynn,0
Kayn,0
Amumu,0
Gragas,0
Jarvan IV,0
Janna,0
Kha'Zix,0
Evelynn,1
Lee Sin,0
Kha'Zix,0
Kindred,1
Kha'Zix,1
Kha'Zix,0
Kha'Zix,1
Sylas,0
Elise,0
Rek'Sai,1
Rek'Sai,0
Kayn,1
Nidalee,0
Sejuani,0
Jarvan IV,0
Hecarim,0
Skarner,0
Lee Sin,0
Sejuani,0
Taliyah,0
Lee Sin,0
Kayn,0
Lee Sin,1
Gragas,0
Rammus,0
Lee Sin,1
Rammus,0
Aatrox,0
Kindred,1
Gragas,0
Lee Sin,1
Sylas,1
Hecarim,0
Aatrox,0
Nidalee,0
Evelynn,0
Hecarim,0
Gragas,0
Jarvan IV,0
Volibear,0
Ekko,0
Zac,0
Xin Zhao,0
Gragas,1
Elise,1
Hecarim,1
Sejuani,1
Hecarim,1
Xin Zhao,0
Gragas,1
Zac,0
Amumu,0
Lee Sin,0
Rengar,0
Jarvan IV,0
Karthus,0
Elise,0
Jarvan IV,0
Skarner,0
Nidalee,1
Twitch,0
Gragas,0
Kindred,0
Sejuani,0
Lee Sin,1
Lee Sin,1
Elise,1
Lee Sin,0
Shaco,1
Nidalee,1
Karthus,1
Jarvan IV,0
Xin Zhao,0
Rengar,0
Gragas,0
Gragas,0
Evelynn,0
Jarvan IV,0
Sejuani,0
Lee Sin,0
Mordekaiser,0
Taliyah,0
Lee Sin,0
Kayn,0
Xin Zhao,0
Kha'Zix,0
Evelynn,1
Taliyah,0
Elise,0
Kha'Zix,0
Lee Sin,0
Jarvan IV,0
Elise,0
Jarvan IV,1
Gragas,0
Sejuani,0
Taliyah,0
Jarvan IV,0
Lee Sin,0
Trundle,0
Nunu & Willump,0
Vi,0
