jung,result
Kindred,0
Jarvan IV,0
Rengar,0
Gragas,0
Kindred,0
Vi,0
Graves,0
Gragas,0
Karthus,0
Graves,1
Kha'Zix,0
Kha'Zix,0
Nidalee,0
Elise,1
Sejuani,0
Karthus,0
Aatrox,1
Karthus,0
Lee Sin,0
Aatrox,0
Graves,0
Kindred,0
Elise,0
Gragas,0
Kha'Zix,0
Elise,1
Sejuani,0
Olaf,0
Sylas,1
Gragas,0
Elise,0
Karthus,0
Elise,0
Sejuani,0
Olaf,1
Mordekaiser,0
Lee Sin,0
Olaf,0
Lee Sin,0
Taliyah,1
Sejuani,0
Taliyah,1
Aatrox,0
Aatrox,0
Elise,0
Elise,0
Taliyah,0
Sejuani,0
Sejuani,0
Karthus,0
Olaf,0
Kayn,0
Elise,1
Rek'Sai,1
Lee Sin,0
Nidalee,0
Nidalee,1
Rammus,0
Elise,0
Rek'Sai,0
Kayn,1
Sejuani,1
Taliyah,1
Kindred,0
Karthus,0
Karthus,0
Olaf,0
Lee Sin,0
Olaf,0
Karthus,0
Rengar,1
Kayn,0
Kindred,0
Taliyah,0
Sejuani,1
Kayn,0
Kayn,0
Olaf,0
Rek'Sai,1
Taliyah,1
Lee Sin,1
Sejuani,1
Sejuani,0
Sylas,1
Aatrox,1
Kindred,1
Kai'Sa,1
Olaf,0
Lee Sin,0
Aatrox,0
Olaf,0
Sejuani,1
Nidalee,0
Aatrox,0
Sejuani,1
Lee Sin,0
Taliyah,1
Sejuani,1
Lee Sin,0
Xin Zhao,0
Taliyah,0
Karthus,1
Nunu & Willump,0
Elise,0
Lee Sin,0
Karthus,0
Olaf,0
Taliyah,1
Fiddlesticks,0
Rek'Sai,0
Lee Sin,1
Rengar,0
Olaf,0
Gragas,0
Nocturne,0
Evelynn,0
Rek'Sai,0
Gragas,0
Kayn,0
Elise,1
Rengar,0
Elise,0
Elise,1
Sejuani,1
Rengar,0
Fiddlesticks,0
Lee Sin,0
Ryze,0
Kayn,0
Karthus,0
Rek'Sai,0
Nunu & Willump,0
Evelynn,1
Kayn,1
Lee Sin,0
