jung,result
Kindred,1
Gragas,0
Vi,0
Kindred,0
Lee Sin,1
Hecarim,1
Udyr,0
Trundle,0
Hecarim,0
Kayn,0
Kha'Zix,0
Kayn,0
Rek'Sai,0
Sejuani,1
Xin Zhao,0
Aatrox,0
Sejuani,0
Kayn,0
Karthus,1
Olaf,0
Xin Zhao,0
Olaf,0
Jarvan IV,0
Aatrox,0
Sejuani,0
Nidalee,0
Olaf,0
Nidalee,1
Taliyah,0
Lee Sin,1
Rek'Sai,0
Taliyah,0
Skarner,0
Gragas,0
Rengar,0
Lee Sin,0
Lee Sin,0
Master Yi,0
Xin Zhao,0
Hecarim,0
Karthus,0
Rek'Sai,0
Lee Sin,0
Elise,0
Lee Sin,0
Lee Sin,0
Lee Sin,0
Gragas,0
Olaf,0
Rek'Sai,0
Olaf,0
Karthus,0
Kayn,1
Lee Sin,1
Karthus,0
Lee Sin,1
Elise,0
Elise,0
Xin Zhao,0
Kha'Zix,0
Kai'Sa,0
Aatrox,1
Sejuani,1
Olaf,0
Sejuani,0
Sejuani,1
Rek'Sai,0
Nidalee,0
Taliyah,0
Elise,0
Taliyah,0
Lee Sin,1
Olaf,0
Karthus,0
Sejuani,0
Olaf,1
Elise,0
Lee Sin,0
Kayn,0
Kayn,1
Kayn,0
Lee Sin,0
Rek'Sai,0
Rengar,1
Kha'Zix,1
Amumu,0
Kindred,0
Gragas,0
Sejuani,1
Lee Sin,0
Nidalee,0
Kayn,0
Vi,0
Karthus,0
Hecarim,0
Jarvan IV,0
Master Yi,0
Evelynn,0
Kha'Zix,1
Kha'Zix,0
Jarvan IV,0
Mordekaiser,0
Warwick,0
Warwick,0
Amumu,0
Rengar,1
Elise,1
Sylas,0
Poppy,0
Kha'Zix,0
Hecarim,0
Elise,0
Kha'Zix,0
Jarvan IV,0
Rek'Sai,0
Kha'Zix,0
Rengar,0
Lee Sin,0
Kayn,0
Rengar,1
Sylas,0
Rengar,0
Ivern,0
Kindred,0
Sylas,0
Volibear,1
Xin Zhao,1
Karthus,1
Vi,0
Olaf,0
Nidalee,0
Kha'Zix,0
Xin Zhao,0
Sejuani,1
Kayn,0
Elise,0
Elise,1
Elise,0
Taliyah,0
Elise,0
Nunu & Willump,0
Elise,0
Lee Sin,0
Sejuani,0
Graves,0
Gragas,0
Vi,0
Karthus,0
Sejuani,0
Lee Sin,0
Rek'Sai,0
Nunu & Willump,0
Hecarim,0
Hecarim,1
Nocturne,0
Vi,0
Karthus,0
Lee Sin,0
Karthus,0
Lee Sin,0
Kayn,0
Vi,0
Vi,0
Ivern,0
Kayn,1
Hecarim,0
Gragas,1
Jarvan IV,0
Rek'Sai,1
Hecarim,0
Hecarim,0
Xin Zhao,0
Jarvan IV,0
Vi,0
Rengar,0
Amumu,0
Wukong,0
Sejuani,0
Sion,0
Lee Sin,0
Tryndamere,0
Evelynn,1
Nidalee,0
Zac,0
Lee Sin,0
Rek'Sai,0
Karthus,0
Rek'Sai,0
Elise,0
Sejuani,0
Hecarim,0
Zac,1
Sejuani,0
Vi,1
Nunu & Willump,0
Sejuani,0
Rek'Sai,1
Mordekaiser,1
Kayn,0
Rek'Sai,0
Nocturne,0
Twitch,0
Mordekaiser,0
Kindred,0
Taliyah,1
Nidalee,0
Taliyah,0
Hecarim,0
Taliyah,1
Sejuani,0
Lee Sin,0
Kha'Zix,0
Kayn,1
Nidalee,1
Skarner,1
Master Yi,0
Vayne,0
Elise,0
Vi,0
Taliyah,0
Kha'Zix,0
Taliyah,0
Skarner,0
Evelynn,0
Lee Sin,0
Lee Sin,0
Elise,1
Sejuani,0
Lee Sin,0
Pantheon,0
Sejuani,0
Sejuani,1
Taliyah,1
Volibear,0
Xin Zhao,1
Hecarim,0
Lee Sin,0
Jarvan IV,0
Rengar,0
Nidalee,1
Evelynn,1
Hecarim,1
Elise,0
Ivern,0
Taliyah,0
Zac,0
Sylas,0
Jarvan IV,0
Volibear,1
Gragas,0
Kindred,0
Nocturne,0
Vi,1
Sejuani,0
Elise,0
Jarvan IV,0
Aatrox,0
Jarvan IV,0
Kindred,0
Volibear,0
Lee Sin,1
Lee Sin,0
Rek'Sai,0
Karthus,0
Sejuani,1
Riven,0
Kled,0
Jarvan IV,1
Taliyah,0
Sejuani,1
Hecarim,0
Rengar,0
Rengar,1
Kha'Zix,1
Sejuani,1
Kayn,0
Shaco,1
Kayn,1
Rek'Sai,0
Jarvan IV,1
Olaf,1
Elise,1
Evelynn,1
Nidalee,0
Taliyah,1
Kindred,1
Olaf,0
Taliyah,0
Sejuani,1
Gragas,1
Karthus,0
Karthus,0
Rammus,1
Rek'Sai,0
Gragas,0
Taliyah,0
Lee Sin,1
Kindred,1
Kayn,0
Lee Sin,1
Kayn,1
Elise,1
Olaf,1
Sejuani,1
Elise,1
Lee Sin,0
Xin Zhao,1
Sejuani,1
Aatrox,1
Olaf,0
Xin Zhao,0
Kayn,0
Olaf,1
Sejuani,1
Olaf,1
Olaf,1
Sejuani,1
Taliyah,1
Kayn,1
Gragas,1
Lee Sin,1
Graves,0
Rek'Sai,1
Taliyah,1
Rek'Sai,1
Lee Sin,1
Sejuani,1
Lee Sin,1
Lee Sin,1
Lee Sin,0
Lee Sin,1
Rek'Sai,1
Lee Sin,1
Rammus,1
Aatrox,0
Kha'Zix,1
Sejuani,1
Nidalee,1
Olaf,1
