jung,result
Sejuani,0
Sejuani,1
Xin Zhao,0
Taliyah,0
Trundle,1
Lee Sin,1
Ryze,1
Sejuani,0
Evelynn,0
Ivern,0
Olaf,0
Kai'Sa,0
Jax,0
Aatrox,0
Lee Sin,0
Kha'Zix,0
Lee Sin,0
Olaf,0
Kayn,0
Nidalee,0
Taliyah,0
Rek'Sai,0
Kha'Zix,0
Gragas,1
Sejuani,0
Rek'Sai,0
Elise,0
Karthus,0
Trundle,0
Lee Sin,0
Rek'Sai,0
Lee Sin,0
Kindred,1
Taliyah,0
Xin Zhao,1
Kindred,0
Sejuani,1
Karthus,0
Kindred,0
Lee Sin,0
Olaf,0
Lee Sin,0
Taliyah,1
Nidalee,0
Olaf,0
Lee Sin,0
Gragas,1
Kayn,1
Olaf,0
Lee Sin,0
Elise,0
Lee Sin,0
Sejuani,0
Xin Zhao,0
Nunu & Willump,0
Gragas,0
Rek'Sai,0
Kai'Sa,0
Karthus,0
Sejuani,0
Nidalee,0
Sejuani,0
Rek'Sai,0
Lee Sin,0
Taliyah,0
Kindred,0
Rek'Sai,1
Elise,0
Olaf,1
Olaf,0
Rengar,0
Rek'Sai,0
Hecarim,0
Lee Sin,0
Karthus,0
Elise,0
Sejuani,0
Xin Zhao,1
Shaco,0
Kayn,1
Rengar,1
Rek'Sai,1
Rek'Sai,1
Hecarim,0
Hecarim,1
Kindred,0
Graves,0
Lee Sin,0
Kayn,0
Gragas,0
Lee Sin,0
Sejuani,1
Kayn,0
Rek'Sai,1
Rammus,1
Kayn,1
Kha'Zix,0
Kha'Zix,0
Sejuani,0
Shaco,0
Graves,0
Kayn,0
Jarvan IV,0
Fiddlesticks,0
Rek'Sai,1
Warwick,0
Lee Sin,1
Nunu & Willump,0
Jarvan IV,0
Kayn,0
Rengar,0
Rek'Sai,0
Elise,0
Gragas,0
Aatrox,1
Twisted Fate,0
Evelynn,0
Kayn,0
Amumu,0
Lee Sin,0
Vi,0
Lee Sin,0
Camille,0
Xin Zhao,0
Sejuani,0
Sejuani,0
Elise,1
Udyr,0
Gragas,0
Lee Sin,0
Zac,0
Xin Zhao,0
Jarvan IV,1
Kha'Zix,0
Evelynn,0
Kindred,1
Shaco,0
Xin Zhao,0
Taliyah,0
Gragas,0
Elise,0
Rengar,1
Olaf,1
Kha'Zix,0
Master Yi,0
Nidalee,0
Kindred,0
Rek'Sai,0
Xin Zhao,0
Lee Sin,0
Jarvan IV,1
Jarvan IV,1
Xin Zhao,0
Jarvan IV,0
Udyr,0
Kayn,0
Hecarim,0
Sylas,0
Graves,0
Sejuani,1
Gragas,1
Lee Sin,0
Vi,0
Ivern,0
Kayn,0
Rek'Sai,0
Olaf,0
Rengar,0
Sejuani,0
Lee Sin,0
Cho'Gath,0
Lee Sin,1
Jax,0
Kindred,0
Jarvan IV,0
Talon,0
Kha'Zix,0
Gragas,1
Urgot,0
Kha'Zix,0
Jarvan IV,1
Rek'Sai,0
Ivern,1
Pantheon,1
Lee Sin,1
Rengar,0
Skarner,0
Zac,0
Skarner,0
Rek'Sai,0
Hecarim,0
Kha'Zix,0
Jarvan IV,0
Lee Sin,0
Kha'Zix,0
Warwick,0
Rek'Sai,0
Vi,0
Hecarim,0
Hecarim,0
Jarvan IV,0
Evelynn,0
Kha'Zix,0
Gragas,0
Lee Sin,0
Kha'Zix,0
Gragas,0
Xin Zhao,1
Ivern,0
Jarvan IV,0
Hecarim,0
Elise,0
Master Yi,0
Nocturne,0
Jarvan IV,1
Jarvan IV,0
Sejuani,0
