jung,result
Taliyah,1
Jarvan IV,0
Rek'Sai,0
Lee Sin,0
Vi,0
Kayn,0
Kayn,0
Lee Sin,0
Rek'Sai,1
Lee Sin,0
Elise,0
Rek'Sai,0
Lee Sin,0
Karthus,0
Xin Zhao,0
Kayn,1
Xin Zhao,0
Rek'Sai,1
Lee Sin,0
Gragas,0
Kindred,0
Aatrox,0
Aatrox,0
Kayn,0
Lee Sin,0
Sejuani,1
Lee Sin,0
Xin Zhao,0
Rek'Sai,0
Lee Sin,0
Jarvan IV,1
Xin Zhao,0
Kayn,0
Elise,0
Sejuani,1
Kai'Sa,0
Rek'Sai,1
Lee Sin,0
Lee Sin,1
Sylas,0
Aatrox,0
Olaf,0
Gragas,0
Olaf,0
Gragas,1
Kha'Zix,0
Kindred,0
Kayn,0
Jarvan IV,0
Karthus,0
Elise,1
Graves,0
Olaf,1
Sejuani,1
Hecarim,1
Elise,0
Rammus,0
Lee Sin,0
Lee Sin,0
Lee Sin,0
Lee Sin,0
Sejuani,1
Skarner,0
Kayn,0
Kha'Zix,0
Gragas,0
Gragas,0
Rek'Sai,0
Kayn,0
Kindred,0
Kindred,0
Sylas,1
Kindred,0
Olaf,0
Kha'Zix,1
Rengar,0
Poppy,0
Gragas,1
Hecarim,0
Sejuani,0
Olaf,1
Elise,0
Lee Sin,1
Mordekaiser,0
Lee Sin,0
Sejuani,1
Evelynn,0
Jax,0
Graves,1
Graves,0
Karthus,0
Kha'Zix,0
Rengar,0
Aatrox,0
Jarvan IV,0
Rengar,0
Gragas,1
Aatrox,0
Mordekaiser,0
Lee Sin,0
Kha'Zix,0
Rammus,1
Lee Sin,0
Gragas,0
Sylas,0
Lee Sin,0
Karthus,0
Trundle,0
Fiddlesticks,0
Elise,0
Master Yi,0
Hecarim,1
Rek'Sai,0
Evelynn,0
Skarner,0
Olaf,1
Gragas,0
Elise,0
Kayn,0
Xin Zhao,0
Kindred,0
Kindred,0
Nidalee,0
Aatrox,0
Kayn,0
Jarvan IV,0
Kindred,0
Lee Sin,1
Gragas,1
Trundle,1
Elise,0
Rek'Sai,0
Lee Sin,1
Lee Sin,0
Lee Sin,0
Mordekaiser,0
Olaf,0
Hecarim,0
Rengar,0
Lee Sin,1
Kayn,1
Jarvan IV,1
Rengar,0
Gragas,0
Rengar,0
Skarner,0
Vi,0
Kindred,0
Sejuani,0
Lee Sin,0
Sejuani,0
Lee Sin,0
Gragas,0
Jarvan IV,1
Kindred,0
Kayn,1
Kayn,0
Lee Sin,0
Kayn,1
Gragas,1
Kayn,1
Sejuani,1
Aatrox,1
Xin Zhao,1
Trundle,1
Rek'Sai,1
Karthus,1
Xin Zhao,0
Sejuani,1
Xin Zhao,1
Graves,0
Olaf,1
Lee Sin,1
Sylas,0
Olaf,1
Gragas,1
Olaf,1
Nocturne,1
Sejuani,0
Elise,0
Kai'Sa,1
Lee Sin,0
Sejuani,1
Lee Sin,1
Sejuani,1
Kindred,1
Kha'Zix,1
Olaf,1
Sejuani,0
Xin Zhao,1
Olaf,1
Lee Sin,1
Pantheon,1
Kayn,1
Olaf,0
Kai'Sa,0
Rek'Sai,1
Aatrox,1
Taliyah,0
Elise,1
Taliyah,1
Rek'Sai,1
Aatrox,0
Kayn,1
Lee Sin,1
Taliyah,1
Kha'Zix,1
Jarvan IV,1
Jarvan IV,1
Nunu & Willump,1
Olaf,1
Kayn,1
Evelynn,1
Kha'Zix,1
Poppy,1
Kindred,0
Kayn,1
Sejuani,0
Olaf,1
Hecarim,1
Sejuani,0
Vi,1
Lee Sin,1
Olaf,1
Lee Sin,1
Lee Sin,1
Gragas,1
Zac,1
Hecarim,1
Rek'Sai,1
Hecarim,1
Kha'Zix,1
Elise,1
Trundle,1
Lee Sin,1
Rek'Sai,1
Hecarim,1
Hecarim,1
Karthus,1
Teemo,1
Zac,0
Elise,1
Sejuani,0
Kindred,1
Rek'Sai,1
Kindred,1
Kayn,1
Kha'Zix,1
Nunu & Willump,1
Camille,0
Nunu & Willump,1
Gragas,0
Jarvan IV,1
Mordekaiser,1
Jarvan IV,1
Kayn,1
Master Yi,1
Kayn,1
Kha'Zix,0
Rengar,1
Skarner,1
Kindred,1
Gragas,1
Nidalee,1
Sejuani,0
Kha'Zix,1
Ivern,1
Rengar,0
Xin Zhao,1
Twitch,0
Kha'Zix,0
Kindred,0
Lee Sin,1
Lee Sin,1
Gragas,1
Master Yi,1
Udyr,0
Sejuani,1
Kindred,1
Taliyah,1
Ekko,1
Graves,1
Kha'Zix,1
Shaco,1
Hecarim,1
Rek'Sai,1
Rek'Sai,1
Jarvan IV,1
Kayn,1
Vi,1
Master Yi,0
Hecarim,1
Sejuani,1
Hecarim,1
Kha'Zix,1
Mordekaiser,1
Rek'Sai,1
Kindred,1
Kindred,1
Kayn,0
Kha'Zix,1
Nunu & Willump,0
Nidalee,0
Lee Sin,1
Kindred,1
Xin Zhao,1
Vi,0
Mordekaiser,1
Xin Zhao,1
Mordekaiser,1
Olaf,1
Lee Sin,0
Gragas,0
Zac,1
Taliyah,1
Kindred,1
Olaf,1
Taliyah,1
Hecarim,1
Kayn,1
Lee Sin,1
Lee Sin,1
Zac,1
Sejuani,1
Hecarim,1
Kha'Zix,1
Sejuani,1
Rammus,1
Sylas,1
Elise,1
Kindred,1
Aatrox,1
Jarvan IV,1
Evelynn,0
Xin Zhao,0
Vi,1
Hecarim,1
Gragas,1
Vi,0
