jung,result
Lee Sin,0
Sejuani,0
Rengar,0
Nidalee,0
Rengar,0
Jarvan IV,0
Rek'Sai,1
Taliyah,0
Kayn,0
Rek'Sai,0
Shaco,0
Kayn,0
Kha'Zix,0
Hecarim,0
Nidalee,0
Kayn,0
Poppy,0
Sejuani,0
Kindred,0
Kha'Zix,0
Gragas,0
Taliyah,0
Lee Sin,0
Lee Sin,0
Kindred,0
Jarvan IV,1
Sejuani,0
Graves,0
Rammus,0
Nidalee,1
Karthus,0
Kha'Zix,0
Olaf,0
Gragas,0
Sejuani,0
Elise,0
Rek'Sai,1
Elise,0
Elise,0
Gragas,0
Gragas,0
Sejuani,0
Nidalee,0
Rek'Sai,1
Xin Zhao,0
Nidalee,0
Hecarim,0
Xin Zhao,0
Elise,0
Twitch,1
Kha'Zix,0
Ivern,0
Lee Sin,0
Sejuani,0
Rek'Sai,0
Sejuani,0
Ryze,0
Hecarim,1
Fiddlesticks,1
Twitch,0
Gragas,0
Kayn,0
Skarner,0
Kindred,0
Sejuani,0
Hecarim,0
Nunu & Willump,0
Amumu,1
Lee Sin,0
Rek'Sai,0
Jarvan IV,0
Lee Sin,0
Nunu & Willump,0
Kayn,0
Nunu & Willump,0
Nunu & Willump,0
Taliyah,1
Hecarim,0
Hecarim,0
Nunu & Willump,0
Evelynn,0
Kha'Zix,0
Zac,0
Jax,0
Vi,1
Lee Sin,0
Kayn,0
Kha'Zix,0
Sejuani,1
Gragas,0
Gragas,0
Sejuani,0
Karthus,0
Evelynn,0
Jarvan IV,0
Lee Sin,0
Olaf,1
Lee Sin,1
Lee Sin,0
Elise,0
Sejuani,0
Vi,0
Olaf,1
Lee Sin,0
Nunu & Willump,0
Xin Zhao,0
Rammus,0
Sejuani,0
Jarvan IV,0
Shaco,1
Gragas,0
Jarvan IV,0
Sejuani,0
Olaf,1
Olaf,1
Kayn,0
Shaco,0
Sejuani,1
Warwick,1
Rengar,0
Master Yi,0
Jarvan IV,0
Trundle,0
Zac,1
Sejuani,1
Sejuani,1
Elise,0
Nidalee,0
Fiddlesticks,0
Jarvan IV,0
Vi,0
Shaco,0
Sejuani,0
Sejuani,1
Rek'Sai,0
Elise,0
Olaf,0
Hecarim,0
Lee Sin,0
Graves,0
Taliyah,0
Kha'Zix,0
Lee Sin,0
Nocturne,0
Rengar,0
Sylas,0
Ekko,0
Jarvan IV,0
Sejuani,0
Hecarim,0
Rengar,0
Sejuani,0
Lee Sin,1
Vi,0
Yorick,0
Warwick,0
Lee Sin,0
Zac,0
Karthus,0
Aatrox,0
Rammus,0
Nidalee,0
Zac,1
Lee Sin,0
Twisted Fate,0
Nunu & Willump,1
Elise,1
Nunu & Willump,0
Kayn,1
Jarvan IV,1
Jarvan IV,0
Jarvan IV,0
Ivern,0
Lee Sin,0
Kindred,1
Volibear,0
Evelynn,0
Mordekaiser,1
Ekko,0
Rengar,0
Lee Sin,0
Elise,0
Nidalee,0
Master Yi,0
Taliyah,0
Elise,1
Lee Sin,0
Kha'Zix,0
Shaco,0
Jarvan IV,0
Gragas,0
Kayn,0
Master Yi,0
Taliyah,0
Karthus,0
Hecarim,0
Jarvan IV,0
Fiddlesticks,0
Kindred,0
Nidalee,0
Kayn,0
Jarvan IV,0
Rengar,1
Aatrox,0
Evelynn,0
Vi,0
Sejuani,0
Lee Sin,0
Evelynn,0
Trundle,0
Olaf,0
Evelynn,0
Kayn,0
Lee Sin,0
Lee Sin,0
Gragas,1
Rek'Sai,1
Kha'Zix,1
Elise,1
Kha'Zix,0
Zac,1
Rek'Sai,0
Rek'Sai,0
Elise,0
Hecarim,0
Taliyah,0
Karthus,1
Karthus,0
Kindred,1
Gragas,0
Taliyah,0
Lee Sin,0
Sejuani,1
Sejuani,1
Ekko,1
Ryze,1
Sejuani,0
Elise,0
Sejuani,0
Elise,0
Graves,0
Jarvan IV,0
Elise,1
Gragas,0
Elise,0
Elise,0
Gragas,0
Hecarim,0
Shaco,0
Elise,0
Ryze,0
Elise,0
Elise,1
Jarvan IV,1
Elise,0
Elise,0
Olaf,0
Rek'Sai,0
Lee Sin,0
Sejuani,1
Rek'Sai,0
Zac,1
Master Yi,0
Aatrox,0
Camille,1
Karthus,1
Evelynn,1
Hecarim,1
Kayn,0
Sejuani,1
Graves,1
Sejuani,1
Kayn,1
Evelynn,1
Kayn,1
Lee Sin,1
Karthus,1
Hecarim,1
Sylas,1
Nidalee,1
Hecarim,1
Xin Zhao,1
Taliyah,0
Taliyah,0
Gragas,0
Sejuani,1
Nidalee,0
Olaf,0
Kayn,1
Olaf,1
Elise,1
Rammus,1
Elise,1
Elise,1
Taric,1
Karthus,0
Rek'Sai,0
Elise,0
Taliyah,1
Xin Zhao,1
Karthus,1
Taliyah,1
Lee Sin,1
Kayn,1
Rek'Sai,0
Gragas,1
Hecarim,1
Kayn,0
Evelynn,0
Rammus,1
Xin Zhao,0
Evelynn,0
Warwick,1
Gragas,0
Warwick,1
Shaco,1
Vi,1
Taliyah,0
Taliyah,0
Kindred,0
Kayn,0
Kayn,0
Sejuani,1
Rengar,1
Kha'Zix,0
Rek'Sai,1
Lee Sin,0
Evelynn,1
Kayn,1
Gragas,1
Kindred,1
Xin Zhao,1
Kha'Zix,1
Udyr,1
Udyr,1
Hecarim,1
Jarvan IV,1
Evelynn,1
Elise,1
Karthus,1
Rengar,1
Fiddlesticks,1
Ivern,1
Sejuani,1
Master Yi,0
Olaf,0
Sejuani,1
Lee Sin,0
Lee Sin,1
Nidalee,0
Rammus,1
Lee Sin,0
Aatrox,1
