,Ryze,Yasuo,Irelia,Zed,Ahri,Neeko,Talon,Sylas,Vladimir,Akali,Win_rate
Aatrox,0.0347682119205298,0.0,0.0,0.0,0.0,0.03827751196172249,0.0,0.0,0.0,0.05080213903743316,0.5
Ahri,0.041390728476821195,0.0,0.03300970873786408,0.05818965517241379,0.0,0.0,0.05432098765432099,0.0,0.026525198938992044,0.0,0.5284360189573459
Irelia,0.048013245033112585,0.036231884057971016,0.0,0.04310344827586207,0.04028436018957346,0.05263157894736842,0.04938271604938271,0.04050632911392405,0.042440318302387266,0.06951871657754011,0.49514563106796117
Neeko,0.056291390728476824,0.043478260869565216,0.04271844660194175,0.032327586206896554,0.03317535545023697,0.0,0.02962962962962963,0.04050632911392405,0.042440318302387266,0.0481283422459893,0.48086124401913877
Sylas,0.06291390728476821,0.03804347826086957,0.0,0.0,0.0,0.03827751196172249,0.0,0.0,0.03713527851458886,0.0,0.47341772151898737
Taliyah,0.03642384105960265,0.0,0.0,0.0,0.0,0.0,0.03209876543209877,0.0,0.0,0.0,0.468
Talon,0.033112582781456956,0.036231884057971016,0.038834951456310676,0.040948275862068964,0.052132701421800945,0.0,0.0,0.0,0.034482758620689655,0.053475935828877004,0.5160493827160494
Yasuo,0.04966887417218543,0.0,0.038834951456310676,0.05387931034482758,0.0,0.05741626794258373,0.04938271604938271,0.053164556962025315,0.0636604774535809,0.08021390374331551,0.4891304347826087
Zed,0.046357615894039736,0.04528985507246377,0.038834951456310676,0.0,0.06398104265402843,0.03588516746411483,0.04691358024691358,0.030379746835443037,0.0636604774535809,0.040106951871657755,0.4676724137931034
Zoe,0.0347682119205298,0.0,0.05048543689320388,0.0,0.04739336492890995,0.0,0.0,0.04556962025316456,0.04774535809018567,0.0,0.5098591549295775
Akali,0.0,0.05434782608695652,0.05048543689320388,0.032327586206896554,0.0,0.0430622009569378,0.04938271604938271,0.030379746835443037,0.0,0.0,0.5133689839572193
Azir,0.0,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824
Camille,0.0,0.03260869565217391,0.036893203883495145,0.0,0.0,0.0430622009569378,0.0,0.04810126582278481,0.0,0.0,0.4453125
Ryze,0.0,0.05434782608695652,0.05631067961165048,0.0603448275862069,0.05924170616113744,0.08133971291866028,0.04938271604938271,0.09620253164556962,0.050397877984084884,0.045454545454545456,0.49834437086092714
Vladimir,0.0,0.043478260869565216,0.031067961165048542,0.05172413793103448,0.0,0.03827751196172249,0.03209876543209877,0.035443037974683546,0.0,0.0,0.4827586206896552
Corki,0.0,0.0,0.0,0.02586206896551724,0.03317535545023697,0.0,0.0,0.0,0.0,0.0,0.5141509433962265
Katarina,0.0,0.0,0.0,0.032327586206896554,0.04265402843601896,0.0,0.0,0.0,0.0,0.034759358288770054,0.5292096219931272
LeBlanc,0.0,0.0,0.0,0.0,0.037914691943127965,0.0,0.0,0.0,0.03713527851458886,0.0,0.4894366197183099
Twisted Fate,0.0,0.0,0.0,0.0,0.030805687203791468,0.0,0.0,0.030379746835443037,0.0,0.0,0.5203252032520326
Karma,0.0,0.0,0.0,0.0,0.0,0.03827751196172249,0.0,0.0,0.0,0.03208556149732621,0.5543859649122806
Orianna,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,0.5461847389558233
Pyke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040106951871657755,0.46153846153846156
