,Ryze,Yasuo,Irelia,Zed,Ahri,Neeko,Talon,Sylas,Vladimir,Akali
Aatrox,0.5714285714285714,0.46153846153846156,0.25,0.4444444444444444,0.375,0.6875,0.3333333333333333,0.45454545454545453,0.4444444444444444,0.42105263157894735
Ahri,0.52,0.36363636363636365,0.5294117647058824,0.5555555555555556,0.0,0.21428571428571427,0.5,0.36363636363636365,0.7,0.5
Irelia,0.5862068965517241,0.45,0.0,0.35,0.47058823529411764,0.5454545454545454,0.65,0.4375,0.375,0.4230769230769231
Neeko,0.5294117647058824,0.5,0.45454545454545453,0.5333333333333333,0.7857142857142857,0.0,0.3333333333333333,0.5625,0.5,0.3333333333333333
Sylas,0.4473684210526316,0.47619047619047616,0.5625,0.3333333333333333,0.6363636363636364,0.4375,0.5,0.0,0.42857142857142855,0.6666666666666666
Taliyah,0.5,0.7142857142857143,0.18181818181818182,0.8,0.1,0.45454545454545453,0.6153846153846154,0.5,0.4444444444444444,0.625
Talon,0.45,0.6,0.35,0.3684210526315789,0.5,0.6666666666666666,0.0,0.5,0.38461538461538464,0.55
Yasuo,0.5333333333333333,0.0,0.55,0.56,0.6363636363636364,0.5,0.4,0.5238095238095238,0.5416666666666666,0.5
Zed,0.42857142857142855,0.44,0.65,0.0,0.4444444444444444,0.4666666666666667,0.631578947368421,0.6666666666666666,0.6666666666666666,0.3333333333333333
Zoe,0.5238095238095238,0.6470588235294118,0.38461538461538464,0.6666666666666666,0.6,0.42857142857142855,0.45454545454545453,0.5555555555555556,0.5555555555555556,0.42857142857142855
Akali,0.47058823529411764,0.5,0.5769230769230769,0.6666666666666666,0.5,0.6666666666666666,0.45,0.3333333333333333,0.6,0.0
Azir,0.0,0.5,0.4444444444444444,1.0,0.3333333333333333,0.625,0.0,0.0,0.6,0.4
Camille,0.45454545454545453,0.6111111111111112,0.47368421052631576,0.8571428571428571,0.6666666666666666,0.3888888888888889,0.5555555555555556,0.42105263157894735,0.3333333333333333,0.6
Ryze,0.0,0.4666666666666667,0.41379310344827586,0.5714285714285714,0.48,0.47058823529411764,0.55,0.5526315789473685,0.5789473684210527,0.5294117647058824
Vladimir,0.42105263157894735,0.4583333333333333,0.625,0.3333333333333333,0.3,0.5,0.6153846153846154,0.5714285714285714,0.0,0.4
Corki,0.6,0.8,0.75,0.5,0.21428571428571427,0.7142857142857143,0.6666666666666666,0.4,0.6,0.5714285714285714
Katarina,0.8,0.5,0.5833333333333334,0.6,0.4444444444444444,0.7777777777777778,0.6363636363636364,0.6,0.5555555555555556,0.46153846153846156
LeBlanc,0.5,0.3333333333333333,0.7692307692307693,0.2222222222222222,0.625,0.625,0.45454545454545453,0.6666666666666666,0.42857142857142855,0.2
Twisted Fate,0.35714285714285715,0.3076923076923077,0.7142857142857143,0.75,0.3076923076923077,0.5,0.4444444444444444,0.75,0.5,0.75
Karma,0.5882352941176471,0.6,0.8,0.7777777777777778,0.14285714285714285,0.625,0.6,0.3333333333333333,0.42857142857142855,0.5
Orianna,0.375,0.5,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.4,0.5833333333333334,0.6,0.5714285714285714,0.7
Pyke,0.5,0.375,0.6923076923076923,0.45454545454545453,0.3,0.5,0.6666666666666666,0.25,0.8,0.4
