mmr,result,server,timestamp,top_1,jung_1,mid_1,adc_1,supp_1,top_2,jung_2,mid_2,adc_2,supp_2
Challenger,Defeat,euw,2019-06-18,Camille,Kindred,Corki,Caitlyn,Lux,Jax,Jarvan IV,Kai'Sa,Orianna,Rakan
Challenger,Defeat,euw,2019-06-18,Yasuo,Elise,Malzahar,Xayah,Rakan,Tryndamere,Sejuani,Aatrox,Kai'Sa,Lux
Challenger,Victory,euw,2019-06-16,Rengar,Lee Sin,Akali,Kai'Sa,Pyke,Jax,Taliyah,Zed,Caitlyn,Lux
Challenger,Defeat,jp,2019-06-19,Tahm Kench,Graves,Ahri,Kai'Sa,Yuumi,Riven,Karthus,Katarina,Caitlyn,Janna
Challenger,Defeat,jp,2019-06-19,Shen,Graves,Rumble,Vayne,Karma,Ryze,Rek'Sai,Aatrox,Vladimir,Bard
Challenger,Victory,br,2019-06-18,Quinn,Fiddlesticks,Talon,Ezreal,Alistar,Gangplank,Xin Zhao,Zilean,Sivir,Leona
Challenger,Defeat,jp,2019-06-19,Aatrox,Rek'Sai,Camille,Ezreal,Bard,Kennen,Hecarim,Irelia,Xayah,Karma
Challenger,Victory,br,2019-06-17,Gangplank,Elise,Talon,Vayne,Bard,Camille,Sejuani,Katarina,Draven,Nautilus
Challenger,Defeat,jp,2019-06-19,Ryze,Graves,Zed,Jinx,Thresh,Riven,Evelynn,Fizz,Ezreal,Nautilus
Challenger,Victory,br,2019-06-17,Neeko,Taliyah,Zed,Xayah,Rakan,Sion,Sejuani,Camille,Kai'Sa,Lux
Challenger,Defeat,jp,2019-06-19,Fiora,Vi,Anivia,Ezreal,Karma,Hecarim,Elise,Ryze,Xayah,Morgana
Challenger,Defeat,br,2019-06-17,Renekton,Kha'Zix,Ahri,Sivir,Yuumi,Kled,Elise,Zed,Heimerdinger,Morgana
Challenger,Defeat,jp,2019-06-19,Cho'Gath,Elise,Zed,Ezreal,Morgana,Aatrox,Graves,Akali,Sivir,Karma
Challenger,Defeat,br,2019-06-17,Irelia,Kindred,Mordekaiser,Sivir,Karma,Jax,Sejuani,Talon,Sona,Tahm Kench
Challenger,Defeat,jp,2019-06-19,Kled,Graves,Talon,Kai'Sa,Alistar,Cho'Gath,Kayn,Rumble,Zed,Taliyah
Challenger,Defeat,br,2019-06-16,Gangplank,Xin Zhao,Yasuo,Caitlyn,Lux,Swain,Rengar,Talon,Ezreal,Nami
Challenger,Defeat,jp,2019-06-19,Cho'Gath,Nidalee,Ahri,Sivir,Bard,Udyr,Hecarim,Twisted Fate,Ezreal,Karma
Challenger,Victory,br,2019-06-16,Jax,Kindred,Talon,Xayah,Rakan,Olaf,Xin Zhao,Zed,Galio,Sona
Challenger,Defeat,jp,2019-06-18,Karma,Evelynn,Ahri,Ezreal,Pyke,Akali,Hecarim,Orianna,Sivir,Lux
Challenger,Defeat,br,2019-06-16,Gangplank,Rek'Sai,Irelia,Twitch,Ahri,Talon,Rengar,Zed,Ezreal,Lux
Challenger,Defeat,jp,2019-06-18,Irelia,Jarvan IV,Katarina,Draven,Pyke,Renekton,Hecarim,Ekko,Kai'Sa,Yuumi
Challenger,Defeat,br,2019-06-15,Pyke,Elise,Ryze,Draven,Nautilus,Gangplank,Evelynn,Talon,Heimerdinger,Karma
Challenger,Defeat,lan,2019-06-18,Trundle,Graves,Cassiopeia,Jinx,Morgana,Wukong,Warwick,Anivia,Lucian,Pyke
Challenger,Defeat,lan,2019-06-15,Jax,Gragas,Veigar,Ezreal,Pyke,Camille,Sejuani,LeBlanc,Tristana,Lux
